scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_24db_fm62p5_cp0p3,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0,0.00000000,0.21532964,0,1,0.00000000,0.00000000,0.00000000,-0.04313763,4562.50000000,200.41959371,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00000100,0,100.00000060,0.50000002,1.00000000,1.00000000,4500.00092360,62.49907640,0.04618032,-0.04618032,200.11795545,0.30163826,24.00000000
pullin_24db_fm62p5_cp0p3,1.00000000,50,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0,0.00000000,0.08164156,0,1,-5.28593199,-5.49110882,3.64136198,-0.01865996,4508.56017280,205.95576329,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.08676444,0.00000092,1,2.37399366,0.49905869,1.26624717,1.00000000,4500.04617798,8.51399482,0.04616406,-0.13292850,205.89780222,0.05796108,24.00000000
pullin_24db_fm62p5_cp0p3,2.00000000,100,PullIn,0,1,1,M2M4,1000,22.92300877,0,0.00000000,0,0.00000000,0.01732325,0,1,-6.69531386,-8.60488071,2.00651260,-0.00611799,4503.89864441,211.65375263,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.26814887,0.00000084,1,1.97079027,0.49510203,0.74105645,1.00000000,4500.09230423,3.80634018,0.04607652,-0.31422539,211.79566493,-0.14191229,24.00000000
pullin_24db_fm62p5_cp0p3,3.00000000,150,PullIn,0,1,0,M2M4,1000,23.57008549,0,0.00000000,0,0.00000000,0.04375380,0,1,-6.95734116,-6.09937081,1.55629183,0.00556636,4502.87923644,217.49481455,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.30560331,0.00000077,1,1.76722283,0.48293801,0.64792054,1.00000000,4500.13830723,2.74092920,0.04591762,-0.35152093,217.69358802,-0.19877347,24.00000000
pullin_24db_fm62p5_cp0p3,4.00000000,200,PullIn,0,1,1,M2M4,1000,24.31762511,0,0.00000000,0,0.00000000,0.01245830,1,1,-4.72408947,-4.10421846,1.43640469,0.01234871,4501.16559855,223.57936860,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.48438716,0.00000071,1,1.69188385,0.45977352,0.42889123,1.00000000,4500.18411585,0.98148270,0.04568784,-0.53007501,223.59157128,-0.01220268,24.00000000
pullin_24db_fm62p5_cp0p3,5.00000000,250,Lock,0,1,0,NWPR,1500,0.00000000,1,23.81457969,0,0.00000000,0.78120479,1,1,-0.56622484,0.17413429,0.79986932,-0.06260094,4500.08368875,229.58544620,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.52129814,0.00000065,1,0.57000159,0.42905182,1.47206937,1.00000000,4500.22965952,-0.14597077,0.04538788,-0.56668602,229.48961442,0.09583178,24.00000000
pullin_24db_fm62p5_cp0p3,6.00000000,300,Strong,0,1,0,NWPR,200,0.00000000,1,24.63973465,1,22.70983267,0.08651321,1,1,1.34181367,1.13212791,1.64588335,0.02563651,4500.41742044,235.37369238,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,-0.15279754,0.00000060,0,0.34311160,0.26962440,1.00000000,1.00000000,4500.27486850,0.14255194,0.04501860,-0.19781615,235.38771703,-0.01402465,24.00000000
pullin_24db_fm62p5_cp0p3,7.00000000,350,Strong,0,1,0,NWPR,200,0.00000000,1,22.98988566,1,23.50323162,0.44957749,1,1,-2.47507552,0.13597785,0.64681630,0.00730516,4500.25244353,241.25190342,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,-0.07714783,0.00000055,0,0.07154733,0.11515448,1.00000000,1.00000000,4500.31967397,-0.06723045,0.04458108,-0.12172891,241.28587864,-0.03397522,24.00000000
pullin_24db_fm62p5_cp0p3,8.00000000,400,Strong,0,1,0,NWPR,200,0.00000000,1,24.41247748,1,22.68623076,0.62394888,1,1,5.29246922,0.12809086,0.45849921,0.01788546,4500.36903093,247.13870903,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03893643,0.00000051,0,0.04206982,0.04009350,1.00000000,1.00000000,4500.36400832,0.00502261,0.04407656,-0.00514014,247.18409867,-0.04538964,24.00000000
pullin_24db_fm62p5_cp0p3,9.00000000,450,Strong,0,1,1,NWPR,200,22.99721431,1,25.09261348,1,23.14598367,0.74692776,1,1,-1.27530287,0.04722127,0.39212546,0.03979260,4500.38828108,253.03812672,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03100350,0.00000047,0,0.03284850,0.02433800,1.00000000,1.00000000,4500.40780525,-0.01952417,0.04350650,-0.01250300,253.08237646,-0.04424974,24.00000000
