"time_s","state","frame_valid","cn0_valid","cn0_db_hz","truth_cn0_db_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","carrier_rate_hz_s","truth_doppler_rate_hz_s","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","PullIn","1","0","0.00000000","22.00000000","0","1","4437.50000000","4500.00092360","-62.50092360","0.00000000","0.04618032","200.35762987","200.05844156","0.29918831"
"1.00000000","PullIn","1","1","23.01708030","22.00000000","0","1","4499.10801480","4500.04617798","-0.93816318","0.02995016","0.04616406","202.91965905","202.92209292","-0.00243386"
"2.00000000","PullIn","1","1","22.79917164","22.00000000","1","1","4499.53669933","4500.09230423","-0.55560490","0.04654810","0.04607652","205.77635122","205.84421580","-0.06786459"
"3.00000000","Lock","1","0","0.00000000","22.00000000","0","1","4500.39813131","4500.13830723","0.25982408","0.10544994","0.04591762","208.68622794","208.76636861","-0.08014067"
"4.00000000","Lock","1","0","0.00000000","22.00000000","1","1","4500.17458008","4500.18411585","-0.00953576","0.01934995","0.04568784","211.64506348","211.68855123","-0.04348775"
"5.00000000","Lock","1","0","0.00000000","22.00000000","1","1","4500.26339814","4500.22965952","0.03373861","0.03887142","0.04538788","214.65128271","214.61076351","0.04051921"
"6.00000000","Lock","1","0","0.00000000","22.00000000","1","1","4499.88659085","4500.27486850","-0.38827765","-0.10832831","0.04501860","217.66594337","217.53300526","0.13293812"
"7.00000000","Lock","1","1","21.81415828","22.00000000","1","1","4500.06714237","4500.31967397","-0.25253161","-0.02916611","0.04458108","220.50753751","220.45527624","0.05226128"
"8.00000000","LongFast","1","1","21.72286987","22.00000000","1","1","4500.20268637","4500.36400832","-0.16132195","0.00951507","0.04407656","223.37464521","223.37757616","-0.00293095"
"9.00000000","LongFast","1","1","21.62051062","22.00000000","1","1","4500.20759069","4500.40780525","-0.20021456","0.00864013","0.04350650","226.24863958","226.29990470","-0.05126512"
"10.00000000","LongFast","1","1","21.56653601","22.00000000","1","1","4500.35312108","4500.45100000","-0.09787892","0.03188049","0.04287249","229.36272961","229.22226149","0.14046812"
"11.00000000","LongLock","1","1","21.61724407","22.00000000","0","0","4500.23291699","4500.49352952","-0.26061253","0.00923191","0.04217634","232.13599969","232.14464612","-0.00864643"
"12.00000000","LongLock","1","1","21.71490247","22.00000000","1","1","4500.29376136","4500.53533263","-0.24157127","0.01599985","0.04142002","235.01352506","235.06705813","-0.05353306"
"13.00000000","LongLock","1","1","21.73470666","22.00000000","1","1","4500.45857497","4500.57635020","-0.11777522","0.03354650","0.04060563","237.98530575","237.98949703","-0.00419127"
"14.00000000","LongLock","1","1","21.83664059","22.00000000","1","1","4500.47183421","4500.61652530","-0.14469110","0.03134822","0.03973549","240.88287859","240.91196229","-0.02908370"
"15.00000000","Medium","1","1","21.66363039","22.00000000","1","1","4500.59168865","4500.65580339","-0.06411474","0.04048970","0.03881201","243.80367353","243.83445336","-0.03077983"
"16.00000000","Medium","1","1","21.61112120","22.00000000","1","1","4500.55982437","4500.69413241","-0.13430804","0.03497403","0.03783780","246.71784666","246.75696963","-0.03912297"
"17.00000000","Medium","1","1","21.53023600","22.00000000","1","1","4500.68932602","4500.73146298","-0.04213696","0.04456448","0.03681557","249.64428987","249.67951046","-0.03522058"
"18.00000000","Medium","1","1","21.31278791","22.00000000","1","1","4500.73600586","4500.76774850","-0.03174264","0.04536817","0.03574818","252.55279228","252.60207520","-0.04928292"
"19.00000000","Medium","1","1","21.40183855","22.00000000","1","1","4500.78526550","4500.80294528","-0.01767978","0.04591815","0.03463862","255.45961977","255.52466314","-0.06504338"
"20.00000000","Medium","1","1","21.46604989","22.00000000","1","1","4500.78238900","4500.83701270","-0.05462370","0.03978254","0.03348997","258.38205003","258.44727358","-0.06522355"
"21.00000000","Medium","1","1","21.55964303","22.00000000","1","1","4500.84284630","4500.86991326","-0.02706696","0.04247610","0.03230544","261.30885113","261.36990576","-0.06105463"
"22.00000000","Medium","1","1","21.59086545","22.00000000","1","1","4500.83618362","4500.90161273","-0.06542911","0.03581752","0.03108834","264.23133832","264.29255892","-0.06122060"
