seed,scenario,status,pullin_time_s,doppler_rms_hz,doppler_p95_hz,code_phase_p95_chips,carrier_valid_ratio,cn0_bias_db,cn0_rmse_db
20260716,pullin_22db_fm62p5_cp0p30,PASS,3.42,0.16198045902095168,0.27568357,0.02787589,1.0,-0.34782944721311465,0.4017368427292714
20260717,pullin_22db_fm62p5_cp0p30,PASS,2.18,0.13744340814157302,0.19726307,0.02796454,1.0,-0.5410598196721313,0.59497685149866
20260718,pullin_22db_fm62p5_cp0p30,PASS,2.36,0.16618781205557973,0.28503405,0.02321454,1.0,-0.5350756860655738,0.5704156574390084
20260719,pullin_22db_fm62p5_cp0p30,PASS,5.7,0.10035268003707819,0.17709882,0.03130632,1.0,-0.5048903754098362,0.6026677788778902
20260720,pullin_22db_fm62p5_cp0p30,PASS,5.4,0.11380289927886844,0.2113792,0.03122774,1.0,-0.5634588860655737,0.6321680621341779
20260716,pullin_22db_fp0p0_cp0p30,PASS,3.1,0.16147922635882786,0.27459934,0.0278607,1.0,-0.34767904475409855,0.4014529803940372
20260717,pullin_22db_fp0p0_cp0p30,PASS,2.22,0.14532707089621663,0.22452155,0.0283674,1.0,-0.5375960296721312,0.5918513983541027
20260718,pullin_22db_fp0p0_cp0p30,PASS,2.14,0.12900746963123697,0.25167526,0.02228542,1.0,-0.5391223291803278,0.5744616914893471
20260719,pullin_22db_fp0p0_cp0p30,PASS,4.74,0.15351483584981696,0.26249425,0.03143655,1.0,-0.50918049852459,0.6067273159091434
20260720,pullin_22db_fp0p0_cp0p30,PASS,9.22,0.14366778515707587,0.25819685,0.03215064,1.0,-0.5623676047540984,0.6308188276660633
20260716,pullin_22db_fp62p5_cm0p3,PASS,6.1,0.11748627556794988,0.21162794,0.02728007,1.0,-0.35103234459016397,0.40380583281676874
20260717,pullin_22db_fp62p5_cm0p3,PASS,2.02,0.1428891007282294,0.19375761,0.02753154,1.0,-0.5394918898360657,0.5931271882738988
20260718,pullin_22db_fp62p5_cm0p3,PASS,2.36,0.16592343272727056,0.27966661,0.02331975,1.0,-0.5375732963934426,0.5729374252507167
20260719,pullin_22db_fp62p5_cm0p3,PASS,3.72,0.15149286079161994,0.23382797,0.03179142,1.0,-0.5041132968852461,0.6019769657395441
20260720,pullin_22db_fp62p5_cm0p3,PASS,4.18,0.11102042029197563,0.17885927,0.03162344,1.0,-0.5639535622950821,0.6323516098497465
20260716,pullin_22db_fp62p5_cp0p0,PASS,4.28,0.13598416055113813,0.21839544,0.0281638,1.0,-0.3491509299999999,0.4025274362402927
20260717,pullin_22db_fp62p5_cp0p0,PASS,2.12,0.14237758693077104,0.26489169,0.02818182,1.0,-0.5411524649180328,0.5945212323451691
20260718,pullin_22db_fp62p5_cp0p0,PASS,7.36,0.12609711356123424,0.20377043,0.02332575,1.0,-0.5367494740983605,0.5718964985381224
20260719,pullin_22db_fp62p5_cp0p0,PASS,3.86,0.1140417755194536,0.2113222,0.03023618,1.0,-0.5055861426229512,0.6044755802734013
20260720,pullin_22db_fp62p5_cp0p0,PASS,2.8,0.12466205965887928,0.21072435,0.03139191,1.0,-0.5632164073770491,0.6313171047821567
20260716,pullin_22db_fp62p5_cp0p30,PASS,2.78,0.1608567017100881,0.27333495,0.02796454,1.0,-0.3483317050819671,0.40204999063523283
20260717,pullin_22db_fp62p5_cp0p30,PASS,2.18,0.13717849644764354,0.19708931,0.02784315,1.0,-0.5401861981967211,0.593711776188472
20260718,pullin_22db_fp62p5_cp0p30,PASS,2.22,0.12785176117209152,0.22154444,0.02314206,1.0,-0.5362739850819672,0.5713760312655441
20260719,pullin_22db_fp62p5_cp0p30,PASS,4.72,0.1103837983709191,0.18969983,0.03332485,1.0,-0.5095071677049179,0.6073958825397376
20260720,pullin_22db_fp62p5_cp0p30,PASS,4.36,0.13436005711185053,0.21351497,0.033681,1.0,-0.5647239886885245,0.6327592908816352
20260716,pullin_30db_fp62p5_cp0p30,PASS,1.5,0.1201800664473138,0.19433416,0.01137481,1.0,-0.42240072081967195,0.43134806845501067
20260717,pullin_30db_fp62p5_cp0p30,PASS,1.12,0.1099980565498197,0.18284668,0.01112223,1.0,-0.517605262295082,0.5269531501178123
20260718,pullin_30db_fp62p5_cp0p30,PASS,1.48,0.10454624779897498,0.19093524,0.00776654,1.0,-0.4994932786885249,0.5063513898941734
20260719,pullin_30db_fp62p5_cp0p30,PASS,1.48,0.09757250484732896,0.16170943,0.01017845,1.0,-0.48174954262295094,0.4994161005338743
20260720,pullin_30db_fp62p5_cp0p30,PASS,1.48,0.11697700552468371,0.18377268,0.01541099,1.0,-0.5251307057377047,0.5423659082467958
20260716,pullin_40db_fp62p5_cp0p30,PASS,1.48,0.011052569496928876,0.02057917,0.00359033,1.0,-0.462348791147541,0.47062305238624585
20260717,pullin_40db_fp62p5_cp0p30,PASS,1.12,0.010325291098319507,0.01943286,0.00332136,1.0,-0.515213985737705,0.5243023083801847
20260718,pullin_40db_fp62p5_cp0p30,PASS,1.48,0.010662668072035716,0.02218813,0.00220437,1.0,-0.4872934339344259,0.4942945783848934
20260719,pullin_40db_fp62p5_cp0p30,PASS,1.48,0.009413060039868047,0.0179556,0.00319038,1.0,-0.47334175344262297,0.4831144132098236
20260720,pullin_40db_fp62p5_cp0p30,PASS,1.48,0.009599975216510017,0.01657215,0.00438495,1.0,-0.501395043114754,0.5109834930410363
