scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_22db_fm62p5_cp0p30,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0.37721378,0,1,0.00000000,0.00000000,0.00000000,-0.00323298,4562.50000000,200.35925325,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00000100,0,100.00000060,0.50000002,1.00000000,1.00000000,4500.00092360,62.49907640,0.04618032,-0.04618032,200.05844156,0.30081168,22.00000000
pullin_22db_fm62p5_cp0p30,1.00000000,50,PullIn,0,1,1,M2M4,1000,21.11682134,0,0.00000000,0.18189421,0,1,11.36363636,-3.95365972,2.59179332,-0.01681609,4502.55387204,202.93182166,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.00080718,0.00000092,1,2.55192988,0.49939247,0.98059929,1.00000000,4500.04617798,2.50769406,0.04616406,-0.04697124,202.92209292,0.00972874,22.00000000
pullin_22db_fm62p5_cp0p30,2.00000000,100,PullIn,0,1,1,M2M4,1000,21.61074690,0,0.00000000,0.07615329,1,1,4.12366897,-3.71811448,1.61524522,-0.00307005,4501.65614749,205.78193041,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.03238156,0.00000084,1,2.31119263,0.49723186,0.46616286,1.00000000,4500.09230423,1.56384326,0.04607652,-0.07845808,205.84421580,-0.06228540,22.00000000
pullin_22db_fm62p5_cp0p30,3.00000000,150,PullIn,0,1,1,M2M4,1000,23.36981317,0,0.00000000,0.01898245,1,1,-3.39126644,-1.29649394,1.47439722,0.00607904,4502.10936191,208.67729631,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.01350271,0.00000077,1,2.00410711,0.48417060,0.45228398,1.00000000,4500.13830723,1.97105468,0.04591762,-0.03241491,208.76636861,-0.08907230,22.00000000
pullin_22db_fm62p5_cp0p30,4.00000000,200,Lock,0,1,0,NWPR,500,0.00000000,1,22.02712007,0.43130976,0,1,-4.86569581,-0.52508404,1.08619976,-0.01544226,4500.11264055,211.64785787,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.20668952,0.00000071,1,0.61929008,0.44238533,1.70036005,1.00000000,4500.18411585,-0.07147530,0.04568784,-0.25237736,211.68855123,-0.04069335,22.00000000
pullin_22db_fm62p5_cp0p30,5.00000000,250,Lock,0,1,0,NWPR,200,0.00000000,1,17.33260393,0.37522529,1,1,3.72585583,-0.12841568,0.59129998,0.00303764,4500.12729917,214.65645151,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.16321420,0.00000065,1,0.49243436,0.37110245,2.10998435,1.00000000,4500.22965952,-0.10236036,0.04538788,-0.20860208,214.61076351,0.04568801,22.00000000
pullin_22db_fm62p5_cp0p30,6.00000000,300,Lock,0,1,0,NWPR,200,0.00000000,1,20.84282075,0.48049064,1,1,-0.74430437,-0.20547656,0.48323139,-0.00158805,4499.59747057,217.67805250,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.33468963,0.00000060,1,0.47429157,0.27564230,2.82178077,1.00000000,4500.27486850,-0.67739792,0.04501860,-0.37970823,217.53300526,0.14504725,22.00000000
pullin_22db_fm62p5_cp0p30,7.00000000,350,Lock,0,1,0,NWPR,200,0.00000000,1,21.79990953,0.30374869,1,1,4.63843890,0.07418124,0.45619736,-0.00302619,4499.90338358,220.51429771,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.11947125,0.00000055,1,0.44400105,0.19959160,2.14429558,1.00000000,4500.31967397,-0.41629039,0.04458108,-0.16405233,220.45527624,0.05902148,22.00000000
pullin_22db_fm62p5_cp0p30,8.00000000,400,Lock,0,1,1,NWPR,200,21.69892792,1,20.47745220,0.25181683,1,1,0.16258239,0.32923657,0.45557981,-0.02551238,4500.28228283,223.41436916,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.02200572,0.00000051,1,0.46546051,0.16198113,1.59642403,1.00000000,4500.36400832,-0.08172549,0.04407656,-0.02207085,223.37757616,0.03679300,22.00000000
pullin_22db_fm62p5_cp0p30,9.00000000,450,LongFast,0,1,1,NWPR,200,21.58622673,1,22.38596130,0.50587479,1,1,1.01924053,-0.67976445,1.13628813,0.06217069,4500.28394635,226.28882594,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.01734978,0.00000047,0,0.55330303,0.14954900,0.65829450,1.00000000,4500.40780525,-0.12385890,0.04350650,-0.02615672,226.29990470,-0.01107876,22.00000000
