scenario,time_s,frame_id,event,from_state,to_state,command_id
pullin_22db_fm62p5_cp0p30,1.32000000,66,SyncReady,PullIn,PullIn,66
pullin_22db_fm62p5_cp0p30,5.68000000,284,StateRequested,PullIn,Lock,285
pullin_22db_fm62p5_cp0p30,5.70000000,285,StateCommitted,PullIn,Lock,285
pullin_22db_fm62p5_cp0p30,5.70000000,285,TrackingReady,PullIn,Lock,285
pullin_22db_fm62p5_cp0p30,10.68000000,534,StateRequested,Lock,LongFast,535
pullin_22db_fm62p5_cp0p30,10.70000000,535,StateCommitted,Lock,LongFast,535
pullin_22db_fm62p5_cp0p30,13.88000000,694,StateRequested,LongFast,LongLock,695
pullin_22db_fm62p5_cp0p30,13.90000000,695,StateCommitted,LongFast,LongLock,695
pullin_22db_fm62p5_cp0p30,17.72000000,886,StateRequested,LongLock,Medium,887
pullin_22db_fm62p5_cp0p30,17.74000000,887,StateCommitted,LongLock,Medium,887
pullin_22db_fp0p0_cp0p30,1.42000000,71,SyncReady,PullIn,PullIn,71
pullin_22db_fp0p0_cp0p30,4.72000000,236,StateRequested,PullIn,Lock,237
pullin_22db_fp0p0_cp0p30,4.74000000,237,StateCommitted,PullIn,Lock,237
pullin_22db_fp0p0_cp0p30,4.74000000,237,TrackingReady,PullIn,Lock,237
pullin_22db_fp0p0_cp0p30,9.72000000,486,StateRequested,Lock,LongFast,487
pullin_22db_fp0p0_cp0p30,9.74000000,487,StateCommitted,Lock,LongFast,487
pullin_22db_fp0p0_cp0p30,12.92000000,646,StateRequested,LongFast,LongLock,647
pullin_22db_fp0p0_cp0p30,12.94000000,647,StateCommitted,LongFast,LongLock,647
pullin_22db_fp0p0_cp0p30,17.56000000,878,StateRequested,LongLock,Medium,879
pullin_22db_fp0p0_cp0p30,17.58000000,879,StateCommitted,LongLock,Medium,879
pullin_22db_fp62p5_cm0p3,2.60000000,130,SyncReady,PullIn,PullIn,130
pullin_22db_fp62p5_cm0p3,3.70000000,185,StateRequested,PullIn,Lock,186
pullin_22db_fp62p5_cm0p3,3.72000000,186,StateCommitted,PullIn,Lock,186
pullin_22db_fp62p5_cm0p3,3.72000000,186,TrackingReady,PullIn,Lock,186
pullin_22db_fp62p5_cm0p3,8.70000000,435,StateRequested,Lock,LongFast,436
pullin_22db_fp62p5_cm0p3,8.72000000,436,StateCommitted,Lock,LongFast,436
pullin_22db_fp62p5_cm0p3,13.34000000,667,StateRequested,LongFast,LongLock,668
pullin_22db_fp62p5_cm0p3,13.36000000,668,StateCommitted,LongFast,LongLock,668
pullin_22db_fp62p5_cm0p3,16.54000000,827,StateRequested,LongLock,Medium,828
pullin_22db_fp62p5_cm0p3,16.56000000,828,StateCommitted,LongLock,Medium,828
pullin_22db_fp62p5_cp0p0,1.46000000,73,SyncReady,PullIn,PullIn,73
pullin_22db_fp62p5_cp0p0,3.84000000,192,StateRequested,PullIn,Lock,193
pullin_22db_fp62p5_cp0p0,3.86000000,193,StateCommitted,PullIn,Lock,193
pullin_22db_fp62p5_cp0p0,3.86000000,193,TrackingReady,PullIn,Lock,193
pullin_22db_fp62p5_cp0p0,8.84000000,442,StateRequested,Lock,LongFast,443
pullin_22db_fp62p5_cp0p0,8.86000000,443,StateCommitted,Lock,LongFast,443
pullin_22db_fp62p5_cp0p0,12.68000000,634,StateRequested,LongFast,LongLock,635
pullin_22db_fp62p5_cp0p0,12.70000000,635,StateCommitted,LongFast,LongLock,635
pullin_22db_fp62p5_cp0p0,15.88000000,794,StateRequested,LongLock,Medium,795
pullin_22db_fp62p5_cp0p0,15.90000000,795,StateCommitted,LongLock,Medium,795
pullin_22db_fp62p5_cp0p30,2.70000000,135,SyncReady,PullIn,PullIn,135
pullin_22db_fp62p5_cp0p30,4.70000000,235,StateRequested,PullIn,Lock,236
pullin_22db_fp62p5_cp0p30,4.72000000,236,StateCommitted,PullIn,Lock,236
pullin_22db_fp62p5_cp0p30,4.72000000,236,TrackingReady,PullIn,Lock,236
pullin_22db_fp62p5_cp0p30,9.70000000,485,StateRequested,Lock,LongFast,486
pullin_22db_fp62p5_cp0p30,9.72000000,486,StateCommitted,Lock,LongFast,486
pullin_22db_fp62p5_cp0p30,12.90000000,645,StateRequested,LongFast,LongLock,646
pullin_22db_fp62p5_cp0p30,12.92000000,646,StateCommitted,LongFast,LongLock,646
pullin_22db_fp62p5_cp0p30,16.10000000,805,StateRequested,LongLock,Medium,806
pullin_22db_fp62p5_cp0p30,16.12000000,806,StateCommitted,LongLock,Medium,806
pullin_30db_fp62p5_cp0p30,1.08000000,54,SyncReady,PullIn,PullIn,54
pullin_30db_fp62p5_cp0p30,1.46000000,73,StateRequested,PullIn,Lock,74
pullin_30db_fp62p5_cp0p30,1.48000000,74,StateCommitted,PullIn,Lock,74
pullin_30db_fp62p5_cp0p30,1.48000000,74,TrackingReady,PullIn,Lock,74
pullin_30db_fp62p5_cp0p30,6.46000000,323,StateRequested,Lock,LongFast,324
pullin_30db_fp62p5_cp0p30,6.48000000,324,StateCommitted,Lock,LongFast,324
pullin_30db_fp62p5_cp0p30,9.66000000,483,StateRequested,LongFast,LongLock,484
pullin_30db_fp62p5_cp0p30,9.68000000,484,StateCommitted,LongFast,LongLock,484
pullin_30db_fp62p5_cp0p30,12.86000000,643,StateRequested,LongLock,Medium,644
pullin_30db_fp62p5_cp0p30,12.88000000,644,StateCommitted,LongLock,Medium,644
pullin_40db_fp62p5_cp0p30,1.08000000,54,SyncReady,PullIn,PullIn,54
pullin_40db_fp62p5_cp0p30,1.46000000,73,StateRequested,PullIn,Lock,74
pullin_40db_fp62p5_cp0p30,1.48000000,74,StateCommitted,PullIn,Lock,74
pullin_40db_fp62p5_cp0p30,1.48000000,74,TrackingReady,PullIn,Lock,74
pullin_40db_fp62p5_cp0p30,6.46000000,323,StateRequested,Lock,Strong,324
pullin_40db_fp62p5_cp0p30,6.48000000,324,StateCommitted,Lock,Strong,324
