"time_s","state","frame_valid","cn0_valid","cn0_db_hz","truth_cn0_db_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","carrier_rate_hz_s","truth_doppler_rate_hz_s","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","Deep","1","0","0.00000000","30.00000000","0","0","4499.90000000","4500.00092360","-0.10092360","0.00000000","0.04618032","200.10844026","200.05844156","0.04999870"
"1.00000000","Deep","1","0","0.00000000","30.00000000","0","0","4499.90000000","4500.04617798","-0.14617798","0.00000000","0.04616406","202.97201299","202.92209292","0.04992007"
"2.00000000","Deep","1","0","0.00000000","30.00000000","1","1","4499.98425082","4500.09230423","-0.10805342","0.03649705","0.04607652","205.89370116","205.84421580","0.04948536"
"3.00000000","Deep","1","0","0.00000000","30.00000000","1","1","4500.10172134","4500.13830723","-0.03658589","0.08729561","0.04591762","208.81440117","208.76636861","0.04803256"
"4.00000000","Deep","1","1","29.49073023","30.00000000","1","1","4500.37137415","4500.18411585","0.18725830","0.14429039","0.04568784","211.73510578","211.68855123","0.04655455"
"5.00000000","Deep","1","1","29.52421675","30.00000000","1","1","4500.39994067","4500.22965952","0.17028114","0.10873047","0.04538788","214.65556908","214.61076351","0.04480557"
"6.00000000","Deep","1","1","29.52985898","30.00000000","1","1","4500.44205733","4500.27486850","0.16718883","0.09040891","0.04501860","217.57615151","217.53300526","0.04314625"
"7.00000000","Deep","1","1","29.57186928","30.00000000","1","1","4500.50106499","4500.31967397","0.18139102","0.08336166","0.04458108","220.49681714","220.45527624","0.04154090"
"8.00000000","Deep","1","1","29.54389867","30.00000000","1","1","4500.42864275","4500.36400832","0.06463443","0.05199283","0.04407656","223.41794726","223.37757616","0.04037110"
"9.00000000","Deep","1","1","29.50664380","30.00000000","1","1","4500.56456058","4500.40780525","0.15675533","0.06641673","0.04350650","226.33918999","226.29990470","0.03928529"
"10.00000000","Deep","1","1","29.50589467","30.00000000","1","1","4500.64313959","4500.45100000","0.19213959","0.06816278","0.04287249","229.26029948","229.22226149","0.03803799"
"11.00000000","Deep","1","1","29.52541374","30.00000000","1","1","4500.63030360","4500.49352952","0.13677408","0.05673543","0.04217634","232.18152115","232.14464612","0.03687504"
"12.00000000","Deep","1","1","29.56875711","30.00000000","1","1","4500.72867853","4500.53533263","0.19334590","0.06185124","0.04142002","235.10315297","235.06705813","0.03609484"
"13.00000000","Deep","1","1","29.60978994","30.00000000","1","1","4500.76203562","4500.57635020","0.18568542","0.05850692","0.04060563","238.02474479","237.98949703","0.03524776"
"14.00000000","Deep","1","1","29.66518702","30.00000000","1","1","4500.83481367","4500.61652530","0.21828837","0.06023215","0.03973549","240.94628565","240.91196229","0.03432335"
"15.00000000","Deep","1","1","29.60230122","30.00000000","1","1","4500.84932259","4500.65580339","0.19351920","0.05545074","0.03881201","243.86771217","243.83445336","0.03325881"
"16.00000000","Deep","1","1","29.61198109","30.00000000","1","1","4500.81947567","4500.69413241","0.12534326","0.04682756","0.03783780","246.78905487","246.75696963","0.03208524"
"17.00000000","Deep","1","1","29.58458392","30.00000000","1","1","4500.92962386","4500.73146298","0.19816088","0.05282185","0.03681557","249.71069357","249.67951046","0.03118311"
"18.00000000","Deep","1","1","29.49941359","30.00000000","1","1","4500.93432888","4500.76774850","0.16658038","0.04845058","0.03574818","252.63243634","252.60207520","0.03036114"
"19.00000000","Deep","1","1","29.51607334","30.00000000","1","1","4500.99493945","4500.80294528","0.19199417","0.04951158","0.03463862","255.55378002","255.52466314","0.02911687"
"20.00000000","Deep","1","1","29.51018462","30.00000000","1","1","4501.01757416","4500.83701270","0.18056146","0.04736209","0.03348997","258.47506636","258.44727358","0.02779278"
"21.00000000","Deep","1","1","29.54817951","30.00000000","1","1","4501.06958962","4500.86991326","0.19967636","0.04775352","0.03230544","261.39609698","261.36990576","0.02619122"
"22.00000000","Deep","1","1","29.57188996","30.00000000","1","1","4501.07163748","4500.90161273","0.17002475","0.04416190","0.03108834","264.31743769","264.29255892","0.02487877"
"23.00000000","Deep","1","1","29.52478130","30.00000000","1","1","4501.10140596","4500.93208021","0.16932575","0.04307688","0.02984205","267.23920172","267.21523227","0.02396945"
"24.00000000","Deep","1","1","29.48770149","30.00000000","1","1","4501.14231296","4500.96128826","0.18102471","0.04303165","0.02857005","270.16112909","270.13792499","0.02320411"
"25.00000000","Deep","1","1","29.44210056","30.00000000","1","1","4501.09136619","4500.98921291","0.10215327","0.03616878","0.02727587","273.08318680","273.06063626","0.02255054"
"26.00000000","Deep","1","1","29.42493943","30.00000000","1","1","4501.19658517","4501.01583380","0.18075137","0.04098793","0.02596312","276.00514926","275.98336524","0.02178402"
"27.00000000","Deep","1","1","29.47274772","30.00000000","1","1","4501.21184874","4501.04113417","0.17071457","0.03918779","0.02463544","278.92710548","278.90611108","0.02099439"
"28.00000000","Deep","1","1","29.47954225","30.00000000","1","1","4501.23937379","4501.06510095","0.17427284","0.03839017","0.02329655","281.84897160","281.82887292","0.02009868"
"29.00000000","Deep","1","1","29.45215808","30.00000000","1","1","4501.31987038","4501.08772477","0.23214561","0.04137008","0.02195015","284.77075447","284.75164988","0.01910459"
"30.00000000","Deep","1","1","29.46601269","30.00000000","1","1","4501.29839149","4501.10900000","0.18939149","0.03707592","0.02060000","287.69214044","287.67444110","0.01769934"
"31.00000000","Deep","1","1","29.00809806","10.00000000","1","1","4501.14696337","4501.12892477","0.01803861","0.02420870","0.01924985","290.61389418","290.59724570","0.01664848"
"32.00000000","Deep","1","1","28.58890246","10.00000000","1","1","4501.29586862","4501.14750095","0.14836767","0.03324504","0.01790345","293.53630049","293.52006279","0.01623770"
"33.00000000","Deep","1","1","28.33067910","10.00000000","1","1","4501.17747349","4501.16473417","0.01273932","0.02179479","0.01656456","296.45795781","296.44289151","0.01506630"
"34.00000000","Deep","1","1","27.82454890","10.00000000","1","1","4501.11965884","4501.18063380","-0.06097496","0.01573097","0.01523688","299.37903671","299.36573099","0.01330572"
"35.00000000","Deep","1","1","27.16700504","10.00000000","1","1","4501.26561131","4501.19521291","0.07039840","0.02556897","0.01392413","302.30077908","302.28858036","0.01219872"
"36.00000000","Deep","1","1","26.38910703","10.00000000","1","1","4501.34232802","4501.20848826","0.13383976","0.02946953","0.01262995","305.22272122","305.21143877","0.01128245"
"37.00000000","Deep","1","1","25.42225500","10.00000000","1","1","4501.18822376","4501.22048021","-0.03225645","0.01431515","0.01135795","308.14474638","308.13430539","0.01044099"
"38.00000000","Deep","1","1","24.15970953","10.00000000","1","1","4501.06223319","4501.23121273","-0.16897954","0.00294146","0.01011166","311.06670337","311.05717938","0.00952398"
"39.00000000","Deep","1","1","22.32711267","10.00000000","1","1","4500.80197142","4501.24071326","-0.43874184","-0.01810209","0.00889456","313.98874205","313.98005995","0.00868210"
"40.00000000","Deep","1","1","18.49172427","10.00000000","1","1","4500.84862792","4501.24901270","-0.40038478","-0.01266903","0.00771003","316.91064730","316.90294628","0.00770102"
"41.00000000","Deep","1","1","13.92580893","10.00000000","1","1","4501.12004670","4501.25614528","-0.13609858","0.00959476","0.00656138","319.83265997","319.82583763","0.00682234"
"42.00000000","Deep","1","1","11.88833367","10.00000000","1","1","4501.04490508","4501.26214850","-0.21724341","0.00223717","0.00545182","322.75446392","322.74873324","0.00573068"
"43.00000000","Deep","1","1","10.87937035","10.00000000","1","1","4501.37392827","4501.26706298","0.10686529","0.02755067","0.00438443","325.67599546","325.67163239","0.00436306"
"44.00000000","Deep","1","1","10.53179302","10.00000000","1","1","4501.54226020","4501.27093241","0.27132778","0.03814766","0.00336220","328.59860825","328.59453440","0.00407385"
"45.00000000","Deep","1","1","10.20510962","10.00000000","1","1","4501.69521741","4501.27380339","0.42141402","0.04665505","0.00238799","331.52154957","331.51743858","0.00411099"
"46.00000000","Deep","1","1","9.89227027","10.00000000","1","1","4501.41295765","4501.27572530","0.13723235","0.02155441","0.00146451","334.44445575","334.44034432","0.00411143"
"47.00000000","Deep","1","1","9.72019431","10.00000000","1","1","4501.10582231","4501.27675020","-0.17092788","-0.00302244","0.00059437","337.36738775","337.36325102","0.00413673"
"48.00000000","Deep","1","1","9.53699365","10.00000000","1","1","4500.89373488","4501.27693263","-0.38319775","-0.01831709","-0.00022002","340.29115529","340.28615810","0.00499719"
"49.00000000","Deep","1","1","9.14760950","10.00000000","1","1","4500.70335477","4501.27632952","-0.57297475","-0.03146905","-0.00097634","343.21421014","343.20906505","0.00514509"
"50.00000000","Deep","1","1","8.90488041","10.00000000","1","1","4500.53806766","4501.27500000","-0.73693234","-0.04153731","-0.00167249","346.13616162","346.13197136","0.00419026"
"51.00000000","Deep","1","1","7.89754461","10.00000000","1","1","4500.47106131","4501.27300525","-0.80194394","-0.04341579","-0.00230650","349.05760511","349.05487659","0.00272852"
"52.00000000","Deep","1","1","7.83898310","10.00000000","1","1","4500.21030961","4501.27040832","-1.06009871","-0.05973674","-0.00287656","351.97862981","351.97778033","0.00084948"
"53.00000000","Deep","1","1","8.12441599","10.00000000","1","1","4499.57618798","4501.26727397","-1.69108600","-0.10424776","-0.00338108","354.90052686","354.90068220","-0.00015534"
"54.00000000","Deep","1","1","8.46544236","10.00000000","1","1","4499.42728459","4501.26366850","-1.83638391","-0.10700179","-0.00381860","357.82231379","357.82358188","-0.00126809"
"55.00000000","Deep","1","1","8.97804444","10.00000000","1","1","4499.71514673","4501.25965952","-1.54451279","-0.07716059","-0.00418788","360.74408040","360.74647909","-0.00239869"
"56.00000000","Deep","1","1","9.22142698","10.00000000","1","1","4499.86281524","4501.25531585","-1.39250061","-0.06042083","-0.00448784","363.66589819","363.66937357","-0.00347539"
"57.00000000","Deep","1","1","9.41833542","10.00000000","1","1","4499.99634852","4501.25070723","-1.25435871","-0.04502154","-0.00471762","366.58728509","366.59226515","-0.00498006"
"58.00000000","Deep","1","1","9.81453351","10.00000000","1","1","4499.83259727","4501.24590423","-1.41330696","-0.05403066","-0.00487652","369.50893837","369.51515367","-0.00621530"
"59.00000000","Deep","1","1","10.10642690","10.00000000","1","1","4499.28773573","4501.24097798","-1.95324225","-0.09237613","-0.00496406","372.43080440","372.43803903","-0.00723463"
"60.00000000","Deep","1","1","10.43620793","10.00000000","1","1","4499.29462619","4501.23600000","-1.94137381","-0.08525162","-0.00497994","375.35241447","375.36092116","-0.00850669"
"61.00000000","Deep","1","1","10.86288136","10.00000000","1","1","4498.91627143","4501.23104202","-2.31477059","-0.10741866","-0.00492406","378.27378594","378.28380007","-0.01001413"
"62.00000000","Deep","1","1","11.03525699","10.00000000","1","1","4498.57507705","4501.22617577","-2.65109872","-0.12551826","-0.00479652","381.19548583","381.20667578","-0.01118995"
"63.00000000","Deep","1","1","11.00399437","10.00000000","1","1","4498.23721565","4501.22147277","-2.98425712","-0.14165077","-0.00459762","384.11706594","384.12954839","-0.01248245"
"64.00000000","Deep","1","1","10.83417413","10.00000000","1","1","4498.16133882","4501.21700415","-3.05566534","-0.13598502","-0.00432784","387.03884627","387.05241801","-0.01357174"
"65.00000000","Deep","1","1","10.36996722","10.00000000","1","1","4498.72065650","4501.21284048","-2.49218398","-0.08375554","-0.00398788","389.96071172","389.97528482","-0.01457310"
"66.00000000","Deep","1","1","10.31106206","10.00000000","1","1","4498.59556127","4501.20905150","-2.61349023","-0.08700928","-0.00357860","392.88208101","392.89814905","-0.01606804"
"67.00000000","Deep","1","1","10.13448344","10.00000000","1","1","4498.91211472","4501.20570603","-2.29359131","-0.05702582","-0.00310108","395.80335784","395.82101096","-0.01765312"
"68.00000000","Deep","1","1","9.67769757","10.00000000","1","1","4499.09203214","4501.20287168","-2.11083953","-0.03953444","-0.00255656","398.72458777","398.74387086","-0.01928309"
"69.00000000","Deep","1","1","9.51001959","10.00000000","1","1","4498.71217030","4501.20061475","-2.48844445","-0.06452164","-0.00194650","401.64565994","401.66672910","-0.02106916"
"70.00000000","Deep","1","1","9.16245389","10.00000000","1","1","4499.27016453","4501.19900000","-1.92883547","-0.01916132","-0.00127249","404.56675967","404.58958608","-0.02282641"
"71.00000000","Deep","1","1","9.14007682","10.00000000","1","1","4499.69887522","4501.19809048","-1.49921526","0.01311674","-0.00053634","407.48693439","407.51244224","-0.02550784"
"72.00000000","Deep","1","1","9.80478450","10.00000000","1","1","4499.35486734","4501.19794737","-1.84308003","-0.01347534","0.00025998","410.40681580","410.43529805","-0.02848226"
"73.00000000","Deep","1","1","9.89231538","10.00000000","1","1","4499.60384099","4501.19862980","-1.59478881","0.00603957","0.00111437","413.32780580","413.35815404","-0.03034824"
"74.00000000","Deep","1","1","9.68843853","10.00000000","1","1","4499.66983527","4501.20019470","-1.53035943","0.01018165","0.00202451","416.24910989","416.28101075","-0.03190086"
"75.00000000","Deep","1","1","9.86200927","10.00000000","1","1","4499.39310000","4501.20269661","-1.80959661","-0.01136434","0.00298799","419.17099263","419.20386878","-0.03287615"
"76.00000000","Deep","1","1","10.05384582","10.00000000","1","1","4499.29704314","4501.20618759","-1.90914445","-0.01782820","0.00400220","422.09212903","422.12672875","-0.03459972"
"77.00000000","Deep","1","1","10.10337767","10.00000000","1","1","4499.11448123","4501.21071702","-2.09623579","-0.03027640","0.00506443","425.01221533","425.04959132","-0.03737600"
"78.00000000","Deep","1","1","10.50260848","10.00000000","1","1","4499.30478991","4501.21633150","-1.91154159","-0.01381477","0.00617182","427.93242806","427.97245719","-0.04002913"
"79.00000000","Deep","1","1","10.87883191","10.00000000","1","1","4499.43274231","4501.22307472","-1.79033240","-0.00350748","0.00732138","430.85286089","430.89532706","-0.04246617"
"80.00000000","Deep","1","1","10.91842256","10.00000000","1","1","4498.98284908","4501.23098730","-2.24813822","-0.03679945","0.00851003","433.77386083","433.81820170","-0.04434086"
"81.00000000","Deep","1","1","10.60779299","10.00000000","1","1","4498.81865565","4501.24010674","-2.42145109","-0.04649481","0.00973456","436.69484169","436.74108185","-0.04624017"
"82.00000000","Deep","1","1","9.82509022","10.00000000","1","1","4499.19167321","4501.25046727","-2.05879406","-0.01504055","0.01099166","439.61652672","439.66396834","-0.04744162"
"83.00000000","Deep","1","1","9.58447864","10.00000000","1","1","4499.06844844","4501.26209979","-2.19365135","-0.02343921","0.01227795","442.53834689","442.58686196","-0.04851507"
"84.00000000","Deep","1","1","10.18666281","10.00000000","1","1","4498.98154716","4501.27503174","-2.29348458","-0.02826661","0.01358995","445.45960425","445.50976355","-0.05015930"
"85.00000000","Deep","1","1","10.42511508","10.00000000","1","1","4498.22920243","4501.28928709","-3.06008466","-0.08008688","0.01492413","448.37994665","448.43267397","-0.05272732"
"86.00000000","Deep","1","1","10.61004624","10.00000000","1","1","4497.82978570","4501.30488620","-3.47510050","-0.10310737","0.01627688","451.29908265","451.35559409","-0.05651143"
"87.00000000","Deep","1","1","10.33534572","10.00000000","1","1","4497.70564393","4501.32184583","-3.61620190","-0.10447037","0.01764456","454.21890947","454.27852477","-0.05961530"
"88.00000000","Deep","1","1","9.48819165","10.00000000","1","1","4497.74688210","4501.34017905","-3.59329695","-0.09389547","0.01902345","457.13932554","457.20146691","-0.06214137"
"89.00000000","Deep","1","1","8.34814244","10.00000000","1","1","4498.40794441","4501.35989523","-2.95195082","-0.03866079","0.02040985","460.06005787","460.12442141","-0.06436353"
"90.00000000","Deep","1","1","8.12265045","10.00000000","1","1","4498.20307609","4501.38100000","-3.17792391","-0.05134375","0.02180000","462.98100987","463.04738915","-0.06637928"
"91.00000000","Deep","1","1","8.84455492","10.00000000","1","1","4498.37845110","4501.40349523","-3.02504413","-0.03413955","0.02319015","465.90188889","465.97037106","-0.06848217"
"92.00000000","Deep","1","1","9.20572016","10.00000000","1","1","4499.10541581","4501.42737905","-2.32196324","0.02142972","0.02457655","468.82305032","468.89336802","-0.07031770"
"93.00000000","Deep","1","1","9.40423328","10.00000000","1","1","4499.56866734","4501.45264583","-1.88397848","0.05367277","0.02595544","471.74420442","471.81638094","-0.07217652"
"94.00000000","Deep","1","1","9.39998184","10.00000000","1","1","4499.98909076","4501.47928620","-1.49019544","0.08097014","0.02732312","474.66592567","474.73941071","-0.07348504"
"95.00000000","Deep","1","1","9.82071788","10.00000000","1","1","4499.97555743","4501.50728709","-1.53172966","0.07377118","0.02867587","477.58831135","477.66245823","-0.07414688"
"96.00000000","Deep","1","1","9.81425561","10.00000000","1","1","4500.35266860","4501.53663174","-1.18396314","0.09578206","0.03001005","480.51135840","480.58552436","-0.07416596"
"97.00000000","Deep","1","1","10.35854733","10.00000000","1","1","4500.04222867","4501.56729979","-1.52507112","0.06554146","0.03132205","483.43467643","483.50860999","-0.07393356"
"98.00000000","Deep","1","1","10.86659524","10.00000000","1","1","4500.35861033","4501.59926727","-1.24065694","0.08405420","0.03260834","486.35774538","486.43171594","-0.07397056"
"99.00000000","Deep","1","1","11.30325518","10.00000000","1","1","4500.17845838","4501.63250674","-1.45404835","0.06365189","0.03386544","489.28081181","489.35484308","-0.07403127"
"100.00000000","Deep","1","1","11.57933761","10.00000000","1","1","4500.11866142","4501.66698730","-1.54832588","0.05443013","0.03508997","492.20255232","492.27799220","-0.07543988"
"101.00000000","Deep","1","1","11.41470962","10.00000000","1","1","4499.55684517","4501.70267472","-2.14582954","0.00747412","0.03627862","495.12435182","495.20116410","-0.07681228"
"102.00000000","Deep","1","1","11.12858752","10.00000000","1","1","4499.69792282","4501.73953150","-2.04160868","0.01808791","0.03742818","498.04686295","498.12435956","-0.07749661"
"103.00000000","Deep","1","1","10.79079264","10.00000000","1","1","4499.78876064","4501.77751702","-1.98875638","0.02338686","0.03853557","500.96842890","501.04757932","-0.07915042"
"104.00000000","Deep","1","1","10.40390463","10.00000000","1","1","4499.53110017","4501.81658759","-2.28548742","0.00133322","0.03959780","503.88833003","503.97082410","-0.08249407"
