"time_s","state","frame_valid","cn0_valid","cn0_db_hz","truth_cn0_db_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","carrier_rate_hz_s","truth_doppler_rate_hz_s","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","Deep","1","0","0.00000000","30.00000000","0","0","4499.90000000","4500.00540000","-0.10540000","0.00000000","0.26999984","200.10844026","200.05844159","0.04999867"
"1.00000000","Deep","1","0","0.00000000","30.00000000","0","0","4499.90000000","4500.26955331","-0.36955331","0.00000000","0.26865046","202.97201299","202.92216551","0.04984747"
"2.00000000","Deep","1","0","0.00000000","30.00000000","1","1","4500.22185266","4500.53639257","-0.31453991","0.01470007","0.26457689","205.89385573","205.84450533","0.04935041"
"3.00000000","Deep","1","0","0.00000000","30.00000000","1","1","4500.48800471","4500.79781369","-0.30980898","0.08424688","0.25782411","208.81466582","208.76701680","0.04764903"
"4.00000000","Deep","1","1","29.55363076","30.00000000","1","1","4500.73034031","4501.05117215","-0.32083184","0.13699837","0.24846635","211.73571129","211.68969555","0.04601574"
"5.00000000","Deep","1","1","29.59792218","30.00000000","1","1","4501.32711291","4501.29391200","0.03320091","0.27757119","0.23660634","214.65713258","214.61253550","0.04459708"
"6.00000000","Deep","1","1","29.64694728","30.00000000","1","1","4501.41162379","4501.52359384","-0.11197005","0.22476852","0.22237424","217.57870112","217.53552897","0.04317216"
"7.00000000","Deep","1","1","29.71095117","30.00000000","1","1","4501.81871840","4501.73792156","0.08079685","0.26682414","0.20592619","220.50036019","220.45866671","0.04169348"
"8.00000000","Deep","1","1","29.67898885","30.00000000","1","1","4502.00166878","4501.93476748","0.06690131","0.25008346","0.18744264","223.42187126","223.38193807","0.03993319"
"9.00000000","Deep","1","1","29.59765120","30.00000000","1","1","4502.23190636","4502.11219569","0.11971067","0.24669545","0.16712630","226.34341735","226.30533104","0.03808632"
"10.00000000","Deep","1","1","29.54017819","30.00000000","1","1","4502.40057318","4502.26848323","0.13208995","0.23455061","0.14519999","229.26544117","229.22883245","0.03660873"
"11.00000000","Deep","1","1","29.45292279","30.00000000","1","1","4502.23825931","4502.40213900","-0.16387969","0.17673259","0.12190415","232.18759336","232.15242806","0.03516530"
"12.00000000","Deep","1","1","29.41497098","30.00000000","1","1","4502.66805423","4502.51192005","0.15613419","0.21098430","0.09749424","235.10988795","235.07610278","0.03378517"
"13.00000000","Deep","1","1","29.43310223","30.00000000","1","1","4502.74691511","4502.59684524","0.15006986","0.19480863","0.07223792","238.03251637","237.99984076","0.03267561"
"14.00000000","Deep","1","1","29.41825540","30.00000000","1","1","4502.83961565","4502.65620599","0.18340966","0.18280871","0.04641211","240.95533638","240.92362562","0.03171077"
"15.00000000","Deep","1","1","29.44075173","30.00000000","1","1","4502.91392449","4502.68957400","0.22435049","0.17076845","0.02030000","243.87804165","243.84744059","0.03060106"
"16.00000000","Deep","1","1","29.46982290","30.00000000","1","1","4502.94917276","4502.69680599","0.25236677","0.15601504","-0.00581211","246.80068676","246.77126875","0.02941800"
"17.00000000","Deep","1","1","29.48124770","30.00000000","1","1","4502.95010980","4502.67804524","0.27206455","0.13924139","-0.03163792","249.72335901","249.69509316","0.02826585"
"18.00000000","Deep","1","1","29.45614839","30.00000000","1","1","4502.95746627","4502.63372005","0.32374622","0.12489294","-0.05689424","252.64603454","252.61889704","0.02713750"
"19.00000000","Deep","1","1","29.43562279","30.00000000","1","1","4502.90970192","4502.56453900","0.34516292","0.10575695","-0.08130415","255.56866487","255.54266403","0.02600084"
"20.00000000","Deep","1","1","29.42795014","30.00000000","1","1","4502.86309256","4502.47148323","0.39160933","0.08844130","-0.10459999","258.49123809","258.46637829","0.02485980"
"21.00000000","Deep","1","1","29.37392400","30.00000000","1","1","4502.76966961","4502.35579569","0.41387393","0.06683289","-0.12652630","261.41368804","261.39002470","0.02366334"
"22.00000000","Deep","1","1","29.33797225","30.00000000","1","1","4502.65606345","4502.21896748","0.43709597","0.04475519","-0.14684264","264.33625511","264.31358903","0.02266608"
"23.00000000","Deep","1","1","29.27873934","30.00000000","1","1","4502.53510849","4502.06272156","0.47238693","0.02356896","-0.16532619","267.25903632","267.23705811","0.02197821"
"24.00000000","Deep","1","1","29.26289775","30.00000000","1","1","4502.36079610","4501.88899384","0.47180226","-0.00239862","-0.18177424","270.18160118","270.16041995","0.02118123"
"25.00000000","Deep","1","1","29.28241461","30.00000000","1","1","4502.20110872","4501.69991200","0.50119672","-0.02362098","-0.19600634","273.10397711","273.08366387","0.02031324"
"26.00000000","Deep","1","1","29.34634943","30.00000000","1","1","4501.99452867","4501.49777215","0.49675652","-0.04851882","-0.20786635","276.02623323","276.00678064","0.01945259"
"27.00000000","Deep","1","1","29.44220840","30.00000000","1","1","4501.80222637","4501.28501369","0.51721268","-0.06845933","-0.21722411","278.94836586","278.92976257","0.01860329"
"28.00000000","Deep","1","1","29.45887002","30.00000000","1","1","4501.57126100","4501.06419257","0.50706843","-0.09092720","-0.22397689","281.87028064","281.85260359","0.01767705"
"29.00000000","Deep","1","1","29.52194265","30.00000000","1","1","4501.33416413","4500.83795331","0.49621082","-0.11112648","-0.22805046","284.79221305","284.77529931","0.01691374"
"30.00000000","Deep","1","1","29.59044990","30.00000000","1","1","4501.10031258","4500.60900000","0.49131258","-0.12792105","-0.22939998","287.71466247","287.69784710","0.01681537"
"31.00000000","Deep","1","1","29.15462065","10.00000000","1","1","4500.85750198","4500.38006669","0.47743529","-0.14336702","-0.22801046","290.63684309","290.62024607","0.01659702"
"32.00000000","Deep","1","1","28.70562426","10.00000000","1","1","4500.67619511","4500.15388743","0.52230768","-0.14848320","-0.22389689","293.55872575","293.54249713","0.01622862"
"33.00000000","Deep","1","1","28.41482341","10.00000000","1","1","4500.49578385","4499.93316631","0.56261754","-0.15235637","-0.21710411","296.48025215","296.46460295","0.01564920"
"34.00000000","Deep","1","1","27.89908328","10.00000000","1","1","4500.32875812","4499.72054785","0.60821027","-0.15426105","-0.20770635","299.40153707","299.38656793","0.01496914"
"35.00000000","Deep","1","1","27.27372268","10.00000000","1","1","4500.37403176","4499.51858800","0.85544376","-0.13108158","-0.19580634","302.32320586","302.30839818","0.01480768"
"36.00000000","Deep","1","1","26.50414961","10.00000000","1","1","4500.38251780","4499.32972616","1.05279164","-0.11609757","-0.18153424","305.24505097","305.23010140","0.01494957"
"37.00000000","Deep","1","1","25.54144828","10.00000000","1","1","4500.20891512","4499.15625844","1.05265668","-0.12207359","-0.16504619","308.16716600","308.15168687","0.01547913"
"38.00000000","Deep","1","1","24.31980505","10.00000000","1","1","4500.13366366","4499.00031252","1.13335114","-0.11768205","-0.14652264","311.08914697","311.07316527","0.01598170"
"39.00000000","Deep","1","1","22.44579844","10.00000000","1","1","4500.09076181","4498.86382431","1.22693750","-0.11054950","-0.12616630","314.01073855","313.99454863","0.01618992"
"40.00000000","Deep","1","1","18.36901872","10.00000000","1","1","4499.85918907","4498.74851677","1.11067230","-0.12176413","-0.10419999","316.93241882","316.91585015","0.01656867"
"41.00000000","Deep","1","1","13.36364754","10.00000000","1","1","4500.08322216","4498.65588100","1.42734115","-0.09088243","-0.08086415","319.85418723","319.83708408","0.01710315"
"42.00000000","Deep","1","1","11.16282081","10.00000000","1","1","4499.76584173","4498.58715995","1.17868178","-0.11055300","-0.05641424","322.77546657","322.75826556","0.01720101"
"43.00000000","Deep","1","1","10.06038227","10.00000000","1","1","4499.88701450","4498.54333476","1.34367974","-0.09130480","-0.03111792","325.69619979","325.67941046","0.01678933"
"44.00000000","Deep","1","1","10.04771736","10.00000000","1","1","4499.76926090","4498.52511401","1.24414689","-0.09341408","-0.00525211","328.61787626","328.60053518","0.01734108"
"45.00000000","Deep","1","1","9.80426169","10.00000000","1","1","4499.46504625","4498.53292600","0.93212025","-0.11033367","0.02090000","331.53969953","331.52165650","0.01804303"
"46.00000000","Deep","1","1","9.60999559","10.00000000","1","1","4499.17979511","4498.56691401","0.61288110","-0.12347239","0.04705211","334.46155565","334.44279140","0.01876425"
"47.00000000","Deep","1","1","9.57097204","10.00000000","1","1","4499.50283623","4498.62693476","0.87590147","-0.08946185","0.07291792","337.38354408","337.36395683","0.01958725"
"48.00000000","Deep","1","1","9.35860095","10.00000000","1","1","4499.22681639","4498.71255995","0.51425643","-0.10322134","0.09821424","340.30592199","340.28516959","0.02075240"
