"time_s","state","frame_valid","cn0_valid","cn0_db_hz","truth_cn0_db_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","carrier_rate_hz_s","truth_doppler_rate_hz_s","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","Deep","1","0","0.00000000","30.00000000","0","0","4499.90000000","4500.02039999","-0.12039999","0.00000000","1.01999825","200.10844026","200.05844169","0.04999857"
"1.00000000","Deep","1","0","0.00000000","30.00000000","0","0","4499.90000000","4501.01818334","-1.11818334","0.00000000","1.01454194","202.97201299","202.92240880","0.04960419"
"2.00000000","Deep","1","0","0.00000000","30.00000000","1","1","4502.17648552","4502.02545049","0.15103504","1.28902449","0.99818764","205.89451907","205.84547580","0.04904327"
"3.00000000","Deep","1","0","0.00000000","30.00000000","1","1","4503.02304547","4503.01098506","0.01206041","0.99694114","0.97111656","208.81660082","208.76919039","0.04741043"
"4.00000000","Deep","1","1","29.46567798","30.00000000","1","1","4504.01454695","4503.96420901","0.05033795","0.99412588","0.93362550","211.73910197","211.69353501","0.04556695"
"5.00000000","Deep","1","1","29.49408744","30.00000000","1","1","4504.89220449","4504.87489850","0.01730599","0.95441326","0.88612544","214.66193404","214.61848535","0.04344869"
"6.00000000","Deep","1","1","29.52858754","30.00000000","1","1","4505.79278184","4505.73329595","0.05948590","0.93887431","0.82913703","217.58570343","217.54401057","0.04169286"
"7.00000000","Deep","1","1","29.54617031","30.00000000","1","1","4506.59853674","4506.53021689","0.06831985","0.90233117","0.76328486","220.51029007","220.47007372","0.04021635"
"8.00000000","Deep","1","1","29.51605461","30.00000000","1","1","4507.35508979","4507.25715065","0.09793914","0.86560387","0.68929064","223.43523238","223.39663206","0.03860032"
"9.00000000","Deep","1","1","29.48180987","30.00000000","1","1","4507.99971222","4507.90635356","0.09335867","0.81071143","0.60796528","226.36060363","226.32363760","0.03696602"
"10.00000000","Deep","1","1","29.51574707","30.00000000","1","1","4508.60623627","4508.47093379","0.13530248","0.76117915","0.52020002","229.28624975","229.25103758","0.03521217"
"11.00000000","Deep","1","1","29.53286040","30.00000000","1","1","4509.09372777","4508.94492690","0.14880087","0.69559918","0.42695666","232.21235151","232.17877505","0.03357646"
"12.00000000","Deep","1","1","29.53770544","30.00000000","1","1","4509.49154224","4509.32336114","0.16818110","0.62438204","0.32925701","235.13914716","235.10678952","0.03235765"
"13.00000000","Deep","1","1","29.48959290","30.00000000","1","1","4509.75860468","4509.60231195","0.15629273","0.53926533","0.22817170","238.06614396","238.03501761","0.03112635"
"14.00000000","Deep","1","1","29.45771576","30.00000000","1","1","4510.01387844","4509.77894495","0.23493349","0.47209861","0.12480847","240.99328455","240.96339374","0.02989081"
"15.00000000","Deep","1","1","29.41817303","30.00000000","1","1","4510.48597705","4509.85154700","0.63443005","0.47209861","0.02030000","243.92080053","243.89185086","0.02894967"
"16.00000000","Deep","1","1","29.40306435","30.00000000","1","1","4511.19738045","4509.81954495","1.37783550","0.51789814","-0.08420847","246.84880473","246.82032115","0.02848357"
"17.00000000","Deep","1","1","29.32694060","30.00000000","1","1","4511.73630675","4509.68351195","2.05279480","0.52190461","-0.18757170","249.77697538","249.74873683","0.02823855"
"18.00000000","Deep","1","1","29.05796340","30.00000000","1","1","4512.30908204","4509.44516114","2.86392090","0.53370843","-0.28865701","252.70543485","252.67703083","0.02840402"
"19.00000000","Deep","1","1","28.66564317","30.00000000","1","1","4512.84786383","4509.10732690","3.74053693","0.53463143","-0.38635666","255.63475863","255.60513758","0.02962105"
"20.00000000","Deep","1","1","27.99799525","30.00000000","1","1","4513.41938530","4508.67393379","4.74545151","0.54270124","-0.47960002","258.56436311","258.53299368","0.03136943"
"21.00000000","Deep","1","1","27.07175460","30.00000000","1","1","4513.67761888","4508.14995356","5.52766532","0.48102652","-0.56736528","261.49395221","261.46053866","0.03341355"
"22.00000000","Deep","1","1","25.83019635","30.00000000","1","1","4514.31442853","4507.54135065","6.77307787","0.51553402","-0.64869064","264.42369198","264.38771556","0.03597643"
"23.00000000","Deep","1","1","24.14499042","30.00000000","1","1","4514.93537425","4506.85501689","8.08035736","0.53758208","-0.72268486","267.35370399","267.31447163","0.03923236"
"24.00000000","Deep","1","1","23.53536105","30.00000000","1","1","4515.43254577","4506.09869595","9.33384983","0.52954241","-0.78853703","270.28449844","270.24075887","0.04373957"
"25.00000000","Deep","1","1","24.38339437","30.00000000","1","1","4516.13320895","4505.28089850","10.85231045","0.56407423","-0.84552544","273.21593871","273.16653455","0.04940417"
"26.00000000","Deep","1","1","23.93457060","30.00000000","1","1","4516.65215648","4504.41080901","12.24134747","0.55471972","-0.89302550","276.14481114","276.09176170","0.05304945"
"27.00000000","Deep","1","1","22.94435262","30.00000000","1","1","4517.15905486","4503.49818506","13.66086980","0.54613794","-0.93051656","279.07325160","279.01640951","0.05684209"
"28.00000000","Deep","1","1","21.65794937","30.00000000","1","1","4517.73962700","4502.55325049","15.18637651","0.55182880","-0.95758764","282.00635773","281.94045364","0.06590408"
"29.00000000","Deep","1","1","20.05633575","30.00000000","1","1","4518.33369651","4501.58658334","16.74711317","0.55783194","-0.97394194","284.93965941","284.86387655","0.07578286"
"30.00000000","Deep","1","1","18.17705152","30.00000000","1","1","4518.98986205","4500.60900000","18.38086205","0.57566462","-0.97940004","287.87255476","287.78666762","0.08588714"
"31.00000000","Deep","1","1","15.91106749","7.00000000","1","1","4519.68112884","4499.63143666","20.04969218","0.59768360","-0.97390194","290.80531209","290.70882331","0.09648878"
"32.00000000","Deep","1","1","13.41649553","7.00000000","1","1","4520.25054738","4498.66482951","21.58571786","0.59282601","-0.95750764","293.73770830","293.63034719","0.10736111"
"33.00000000","Deep","1","1","10.84854648","7.00000000","1","1","4520.81366393","4497.71999494","23.09366899","0.58842682","-0.93039656","296.67197148","296.55124988","0.12072160"
"34.00000000","Deep","1","1","9.35140013","7.00000000","1","1","4521.39384041","4496.80751099","24.58632942","0.58715870","-0.89286550","299.60763037","299.47154899","0.13608138"
"35.00000000","Deep","1","1","9.15338104","7.00000000","1","1","4522.00368712","4495.93760150","26.06608562","0.59040402","-0.84532544","302.54521033","302.39126885","0.15394148"
"36.00000000","Deep","1","1","9.26891414","7.00000000","1","1","4522.58811103","4495.12002405","27.46808698","0.58960871","-0.78829703","305.48355593","305.31044032","0.17311561"
"37.00000000","Deep","1","1","8.91969879","7.00000000","1","1","4523.19704139","4494.36396311","28.83307828","0.59199476","-0.72240486","308.41830582","308.22910039","0.18920543"
"38.00000000","Deep","1","1","7.08877643","7.00000000","1","1","4523.83515959","4493.67792935","30.15723024","0.59684944","-0.64837064","311.35374691","311.14729180","0.20645511"
"39.00000000","Deep","1","1","2.95866002","7.00000000","1","1","4524.47218445","4493.06966644","31.40251801","0.60340070","-0.56700528","314.29071213","314.06506259","0.22564954"
"40.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4525.08723500","4492.54606621","32.54116879","0.60522412","-0.47920002","317.22775729","316.98246554","0.24529175"
"41.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4525.69376209","4492.11309310","33.58066898","0.60542265","-0.38591666","320.16470666","319.89955762","0.26514904"
"42.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4526.29723921","4491.77571886","34.52152035","0.60515457","-0.28817701","323.10402926","322.81639935","0.28762990"
"43.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4526.91090220","4491.53786805","35.37303415","0.60622718","-0.18705170","326.04506344","325.73305413","0.31200931"
"44.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4527.52984241","4491.40237505","36.12746736","0.60772051","-0.08364847","328.98445259","328.64958758","0.33486501"
"45.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4528.13331992","4491.37095300","36.76236692","0.60721663","0.02090000","331.92373331","331.56606677","0.35766655"
"46.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4528.73860557","4491.44417505","37.29443052","0.60697667","0.12544847","334.86418765","334.48255953","0.38162812"
"47.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4529.34798099","4491.62146805","37.72651294","0.60724164","0.22885170","337.80462078","337.39913368","0.40548710"
"48.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4529.94940665","4491.90111886","38.04828778","0.60661898","0.32997701","340.74380079","340.31585632","0.42794447"
"49.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4530.55156749","4492.28029310","38.27127439","0.60612730","0.42771666","343.68421809","343.23279305","0.45142504"
"50.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4531.16788193","4492.75506621","38.41281572","0.60724541","0.52100002","346.62629441","346.15000727","0.47628713"
"51.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4531.78380479","4493.32046644","38.46333835","0.60814050","0.60880528","349.56693095","349.06755951","0.49937144"
"52.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4532.39560819","4493.97052935","38.42507884","0.60854984","0.69017064","352.50673505","351.98550673","0.52122832"
"53.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4532.99015208","4494.69836311","38.29178897","0.60705317","0.76420486","355.44736888","354.90390171","0.54346716"
"54.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4533.60799063","4495.49622405","38.11176658","0.60819909","0.83009703","358.38850109","357.82279250","0.56570859"
"55.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4534.23663244","4496.35560150","37.88103094","0.61034402","0.88712544","361.33352089","360.74222182","0.59129907"
"56.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4534.82852335","4497.26731099","37.56121236","0.60842879","0.93466550","364.27851170","363.66222669","0.61628502"
"57.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4535.43354768","4498.22159494","37.21195274","0.60804639","0.97219656","367.22218079","366.58283794","0.63934286"
"58.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4536.05697770","4499.20822951","36.84874818","0.60970223","0.99930764","370.16665240","369.50407992","0.66257248"
"59.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4536.67936930","4500.21663666","36.46273264","0.61095526","1.01570194","373.11215238","372.42597022","0.68618216"
"60.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4537.29374137","4501.23600000","36.05774137","0.61125107","1.02120004","376.05673450","375.34851948","0.70821501"
"61.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4537.89560316","4502.25538334","35.64021982","0.61029968","1.01574194","379.00082809","378.27173126","0.72909682"
"62.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4538.50718647","4503.26385049","35.24333598","0.61037607","0.99938764","381.94789599","381.19560203","0.75229396"
"63.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4539.11512960","4504.25058506","34.86454454","0.61010342","0.97231656","384.89600268","384.12012117","0.77588151"
"64.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4539.73701782","4505.20500901","34.53200882","0.61125150","0.93482550","387.84305757","387.04527112","0.79778645"
"65.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4540.35338140","4506.11689850","34.23648290","0.61178792","0.88732544","390.79080351","389.97102756","0.81977596"
"66.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4540.99092501","4506.97649595","34.01442906","0.61441957","0.83033703","393.74012600","392.89735966","0.84276634"
"67.00000000","Deep","1","0","-4.69001383","7.00000000","1","1","4541.61043845","4507.77461689","33.83582156","0.61493475","0.76448486","396.68919808","395.82423047","0.86496761"
"68.00000000","Deep","1","1","-4.87771795","7.00000000","1","1","4542.20184531","4508.50275065","33.69909466","0.61252437","0.69049064","399.63767356","398.75159726","0.88607630"
"69.00000000","Deep","1","0","-8.74729408","7.00000000","1","1","4542.81457033","4509.15315356","33.66141678","0.61253542","0.60916528","402.58653897","401.67941202","0.90712695"
"70.00000000","Deep","1","0","-8.74729408","7.00000000","1","1","4543.42714882","4509.71893379","33.70821503","0.61254118","0.52140002","405.53580139","404.60762199","0.92817939"
"71.00000000","Deep","1","0","-8.74729408","7.00000000","1","1","4544.03933626","4510.19412690","33.84520936","0.61250574","0.42815666","408.48620010","407.53617024","0.95002986"
"72.00000000","Deep","1","0","-8.74729408","7.00000000","1","1","4544.64737289","4510.57376114","34.07361175","0.61208603","0.33045701","411.43718038","410.46499627","0.97218411"
"73.00000000","Deep","1","0","-8.74729408","7.00000000","1","1","4545.25461863","4510.85391195","34.40070669","0.61165600","0.22937170","414.38957678","413.39403670","0.99554008"
"74.00000000","Deep","1","0","-9.36496991","7.00000000","1","1","4545.87139514","4511.03174495","34.83965018","0.61209567","0.12600847","417.34144158","416.32322595","1.01821563"
"75.00000000","Deep","1","1","-7.18482311","7.00000000","1","1","4546.48403520","4511.10554700","35.37848820","0.61215606","0.02150000","420.28998704","419.25249696","1.03749008"
"76.00000000","Deep","1","1","-9.13113389","7.00000000","1","1","4547.08871603","4511.07474495","36.01397108","0.61158590","-0.08300847","423.23945356","422.18178193","1.05767163"
"77.00000000","Deep","1","0","-9.59976332","7.00000000","1","1","4547.69818697","4510.93991195","36.75827503","0.61141167","-0.18637170","426.19011165","425.11101306","1.07909858"
"78.00000000","Deep","1","0","-9.59976332","7.00000000","1","1","4548.31061261","4510.70276114","37.60785148","0.61148771","-0.28745701","429.14011394","428.04012330","1.09999064"
"79.00000000","Deep","1","1","-9.71517436","7.00000000","1","1","4548.92104705","4510.36612690","38.55492015","0.61140675","-0.38515666","432.08980998","430.96904706","1.12076293"
"80.00000000","Deep","1","1","-9.40781810","7.00000000","1","1","4549.53640508","4509.93393379","39.60247129","0.61172470","-0.47840002","435.04012504","433.89772095","1.14240408"
"81.00000000","Deep","1","1","-7.32092093","7.00000000","1","1","4550.13751251","4509.41115356","40.72635895","0.61086527","-0.56616528","437.99089391","436.82608450","1.16480941"
"82.00000000","Deep","1","1","-3.10829962","7.00000000","1","1","4550.72457268","4508.80375065","41.92082203","0.60900852","-0.64749064","440.94372215","439.75408075","1.18964139"
"83.00000000","Deep","1","1","-3.78714104","7.00000000","1","1","4551.35082564","4508.11861689","43.23220875","0.61040499","-0.72148486","443.89753369","442.68165696","1.21587674"
"84.00000000","Deep","1","1","-2.53527411","7.00000000","1","1","4551.98934987","4507.36349595","44.62585392","0.61328963","-0.78733703","446.85409173","445.60876510","1.24532663"
"85.00000000","Deep","1","1","-1.56415819","7.00000000","1","1","4552.61855780","4506.54689850","46.07165930","0.61508524","-0.84432544","449.80905236","448.53536247","1.27368989"
"86.00000000","Deep","1","1","-0.63914949","7.00000000","1","1","4553.27070548","4505.67800901","47.59269647","0.61893662","-0.89182550","452.76142717","451.46141209","1.30001508"
"87.00000000","Deep","1","1","0.35173727","7.00000000","1","1","4553.84346305","4504.76658506","49.07687800","0.61395097","-0.92931656","455.71492877","454.38688314","1.32804563"
"88.00000000","Deep","1","1","1.11039387","7.00000000","1","1","4554.44744965","4503.82285049","50.62459917","0.61275223","-0.95638764","458.66931122","457.31175131","1.35755992"
"89.00000000","Deep","1","1","-0.14710713","7.00000000","1","1","4555.01177512","4502.85738334","52.15439178","0.60718988","-0.97274194","461.62406739","460.23599902","1.38806836"
"90.00000000","Deep","1","1","-1.17218943","7.00000000","1","1","4555.57475028","4501.88100000","53.69375028","0.60221084","-0.97820004","464.57918386","463.15961567","1.41956819"
"91.00000000","Deep","1","1","-2.52720531","7.00000000","1","1","4556.14700714","4500.90463666","55.24237048","0.59863354","-0.97270194","467.53523448","466.08259773","1.45263675"
"92.00000000","Deep","1","1","-1.51896451","7.00000000","1","1","4556.71948842","4499.93922951","56.78025890","0.59550222","-0.95630764","470.49212038","469.00494874","1.48717164"
"93.00000000","Deep","1","1","-0.64937023","7.00000000","1","1","4557.30656173","4498.99559494","58.31096678","0.59443690","-0.92919656","473.45123735","471.92667936","1.52455798"
"94.00000000","Deep","1","1","-4.60252012","7.00000000","1","1","4557.91477574","4498.08431099","59.83046474","0.59605797","-0.89166550","476.40984729","474.84780717","1.56204012"
"95.00000000","Deep","1","0","-5.81749756","7.00000000","1","1","4558.51359125","4497.21560150","61.29798975","0.59637611","-0.84412544","479.36751630","477.76835652","1.59915978"
"96.00000000","Deep","1","0","-5.81749756","7.00000000","1","1","4559.10610169","4496.39922405","62.70687763","0.59592298","-0.78709703","482.32479274","480.68835824","1.63643449"
"97.00000000","Deep","1","0","-5.81749756","7.00000000","1","1","4559.69375166","4495.64436311","64.04938855","0.59503994","-0.72120486","485.28192943","483.60784935","1.67408008"
"98.00000000","Deep","1","0","-5.81749756","7.00000000","1","1","4560.28297295","4494.95952935","65.32344360","0.59444496","-0.64717064","488.24327808","486.52687258","1.71640550"
"99.00000000","Deep","1","1","-6.94394414","7.00000000","1","1","4560.87443146","4494.35246644","66.52196501","0.59415030","-0.56580528","491.20596786","489.44547597","1.76049190"
"100.00000000","Deep","1","1","-5.69756004","7.00000000","1","1","4561.47440302","4493.83006621","67.64433681","0.59471788","-0.47800002","494.16862256","492.36371230","1.80491026"
"101.00000000","Deep","1","1","-6.89735363","7.00000000","1","1","4562.07312122","4493.39829310","68.67482812","0.59509266","-0.38471666","497.13190380","495.28163853","1.85026527"
"102.00000000","Deep","1","0","-6.73329729","7.00000000","1","1","4562.66691205","4493.06211886","69.60479319","0.59497294","-0.28697701","500.09651807","498.19931520","1.89720287"
"103.00000000","Deep","1","0","-6.73329729","7.00000000","1","1","4563.25237691","4492.82546805","70.42690886","0.59407751","-0.18585170","503.06151609","501.11680569","1.94471040"
"104.00000000","Deep","1","1","-6.58083374","7.00000000","1","1","4563.84200913","4492.69117505","71.15083408","0.59367233","-0.08244847","506.02689453","504.03417563","1.99271890"
"105.00000000","Deep","1","1","-8.95635790","7.00000000","1","1","4564.43980043","4492.66095300","71.77884743","0.59403389","0.02210000","508.99141568","506.95149209","2.03992359"
"106.00000000","Deep","1","1","-7.21965608","7.00000000","1","1","4565.03086947","4492.73537505","72.29549442","0.59377660","0.12664847","511.95549056","509.86882290","2.08666766"
"107.00000000","Deep","1","0","-8.26112146","7.00000000","1","1","4565.62209986","4492.91386805","72.70823180","0.59352561","0.23005170","514.91871284","512.78623589","2.13247695"
"108.00000000","Deep","1","1","-8.17798343","7.00000000","1","1","4566.21813184","4493.19471886","73.02341298","0.59372945","0.33117701","517.88201029","515.70379814","2.17821215"
"109.00000000","Deep","1","0","-8.72649109","7.00000000","1","1","4566.81662662","4493.57509310","73.24153351","0.59415291","0.42891666","520.84460076","518.62157526","2.22302550"
"110.00000000","Deep","1","1","-9.38433285","7.00000000","1","1","4567.41007046","4494.05106621","73.35900425","0.59409126","0.52220002","523.80817100","521.53963065","2.26854035"
"111.00000000","Deep","1","1","-5.43715843","7.00000000","1","1","4567.99808305","4494.61766644","73.38041661","0.59355379","0.61000528","526.77449385","524.45802484","2.31646901"
"112.00000000","Deep","1","1","-3.02031504","7.00000000","1","1","4568.59206341","4495.26892935","73.32313406","0.59356376","0.69137064","529.74067281","527.37681478","2.36385802"
"113.00000000","Deep","1","1","0.13306798","7.00000000","1","1","4569.20368822","4495.99796311","73.20572512","0.59525043","0.76540486","532.70645195","530.29605327","2.41039868"
"114.00000000","Deep","1","1","0.31763337","7.00000000","1","1","4569.79693240","4496.79702405","72.99990835","0.59464071","0.83129703","535.67362871","533.21578834","2.45784037"
"115.00000000","Deep","1","1","-1.37107208","7.00000000","1","1","4570.44143604","4497.65760150","72.78383454","0.60052460","0.88832544","538.64186259","536.13606273","2.50579987"
"116.00000000","Deep","1","1","-2.11402013","7.00000000","1","1","4571.04510163","4498.57051099","72.47459063","0.60085624","0.93586550","541.60994987","539.05691344","2.55303643"
"117.00000000","Deep","1","1","-0.74836576","7.00000000","1","1","4571.63164654","4499.52599494","72.10565160","0.59926930","0.97339656","544.57828130","541.97837131","2.59990999"
"118.00000000","Deep","1","1","-1.02824803","7.00000000","1","1","4572.25046174","4500.51382951","71.73663222","0.60137421","1.00050764","547.54522681","544.90046070","2.64476611"
"119.00000000","Deep","1","1","-2.98043849","7.00000000","1","1","4572.87659530","4501.52343666","71.35315864","0.60412751","1.01690194","550.51304276","547.82319918","2.68984358"
"120.00000000","Deep","1","1","-2.49623614","7.00000000","1","1","4573.47816807","4502.54400000","70.93416807","0.60380391","1.02240004","553.48311969","550.74659740","2.73652229"
