scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_28db_fp31p25_cp0p3,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0,0.00000000,0.31885789,0,1,0.00000000,0.00000000,0.00000000,-0.03192455,4468.75000000,201.07717391,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00010000,0,100.00000060,0.50000200,1.00000000,1.00000000,4500.00092360,-31.25092360,0.04618032,-0.04618032,200.78260878,0.29456514,28.00000000
pullin_28db_fp31p25_cp0p3,1.00000000,50,PullIn,0,1,1,M2M4,1000,29.11465363,0,0.00000000,0,0.00000000,0.22008510,1,1,0.00000000,0.84156599,0.68542617,-0.01781269,4500.04007606,239.12141256,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00074062,0.00009122,1,3.11323605,0.49957960,0.16045000,1.00000000,4500.04617798,-0.00610192,0.04616406,-0.04542344,239.13063557,-0.00922301,28.00000000
pullin_28db_fp31p25_cp0p3,2.00000000,100,Lock,0,1,0,NWPR,1500,0.00000000,0,0.00000000,0,0.00000000,0.98884080,0,1,2.01409222,-0.44257924,1.81504112,0.09163553,4499.61480048,278.04435657,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,-0.01692953,0.00008255,0,0.89195606,0.47985643,1.00000000,1.00000000,4500.09230423,-0.47750375,0.04607652,-0.06300605,278.26167251,-0.21731594,28.00000000
pullin_28db_fp31p25_cp0p3,3.00000000,150,Lock,0,1,0,NWPR,1500,0.00000000,1,27.67018855,1,26.62809566,0.85811140,1,0,6.45888702,0.15610020,0.54891411,0.10002514,4500.26857638,317.32556691,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.21184663,0.00007470,0,0.10708552,0.18770948,1.00000000,1.00000000,4500.13830723,0.13026915,0.04591762,0.16592901,317.39311007,-0.06754316,28.00000000
pullin_28db_fp31p25_cp0p3,4.00000000,200,Lock,1,1,0,NWPR,200,0.00000000,1,28.77368572,1,28.16834943,0.81075474,1,1,-3.67697351,-0.00221107,0.46558903,0.05361829,4500.17921950,356.47463729,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.02633574,0.00006760,0,0.04896601,0.04854940,1.00000000,1.00000000,4500.18411585,-0.00489634,0.04568784,-0.01935210,356.52494686,-0.05030957,28.00000000
pullin_28db_fp31p25_cp0p3,5.00000000,250,Strong,0,1,0,NWPR,200,0.00000000,1,27.22412115,1,27.21756632,0.84121549,1,1,-3.00932310,0.00819678,0.49807612,0.00227650,4500.23578614,395.63638287,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04056355,0.00006118,0,0.03573105,0.02769390,1.00000000,1.00000000,4500.22965952,0.00612662,0.04538788,-0.00482433,395.65718088,-0.02079801,28.00000000
pullin_28db_fp31p25_cp0p3,6.00000000,300,Strong,0,1,1,NWPR,200,27.32038093,1,27.28871560,1,27.35983794,0.84567412,1,1,-0.82596641,0.03106821,0.32629438,0.00630275,4500.26763948,434.79369947,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03792269,0.00005537,0,0.03095415,0.02185952,1.00000000,1.00000000,4500.27486850,-0.00722902,0.04501860,-0.00709591,434.78980953,0.00388994,28.00000000
pullin_28db_fp31p25_cp0p3,7.00000000,350,Strong,0,1,1,NWPR,200,27.47171356,1,27.14656026,1,27.58265319,0.81137485,1,1,3.26681261,0.06467713,0.31089312,-0.00316964,4500.33492342,473.94685728,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04608972,0.00005011,0,0.02906421,0.01940473,1.00000000,1.00000000,4500.31967397,0.01524944,0.04458108,0.00150864,473.92282960,0.02402768,28.00000000
pullin_28db_fp31p25_cp0p3,8.00000000,400,Strong,0,1,1,NWPR,200,27.54689647,1,26.37570404,1,27.45173050,0.83210078,1,1,1.18451276,-0.02473807,0.32658869,-0.00907606,4500.37239358,513.10030863,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04453063,0.00004535,0,0.02831392,0.01799650,1.00000000,1.00000000,4500.36400832,0.00838526,0.04407656,0.00045406,513.05623728,0.04407136,28.00000000
pullin_28db_fp31p25_cp0p3,9.00000000,450,Strong,0,1,1,NWPR,200,27.44177388,1,26.49036528,1,26.62757970,0.84656131,1,1,-1.47120674,-0.02450988,0.34931720,-0.01683109,4500.42598129,552.24911943,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04665106,0.00004104,0,0.02883992,0.01710864,1.00000000,1.00000000,4500.40780525,0.01817604,0.04350650,0.00314457,552.19002818,0.05909125,28.00000000
