time_s,event,from_state,to_state
1.22000000,SyncLocked,PullIn,PullIn
9.42000000,StateRequested,PullIn,Lock
9.44000000,StateCommitted,PullIn,Lock
19.42000000,StateRequested,Lock,Sync
19.44000000,StateCommitted,Lock,Sync
29.92000000,StateRequested,Sync,Track
29.94000000,StateCommitted,Sync,Track
105.02000000,StateRequested,Track,Weak
105.04000000,StateCommitted,Track,Weak
202.78000000,StateRequested,Weak,Track
202.80000000,StateCommitted,Weak,Track
284.84000000,StateRequested,Track,Weak
284.86000000,StateCommitted,Track,Weak
382.24000000,StateRequested,Weak,Track
382.26000000,StateCommitted,Weak,Track
