time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.20000000,60,StateRequested,PullIn,Lock
1.22000000,61,StateCommitted,PullIn,Lock
5.10000000,255,StateRequested,Lock,Strong
5.12000000,256,StateCommitted,Lock,Strong
196.60000000,9830,StateRequested,Strong,LongFast
196.62000000,9831,StateCommitted,Strong,LongFast
199.80000000,9990,StateRequested,LongFast,LongLock
199.82000000,9991,StateCommitted,LongFast,LongLock
203.00000000,10150,StateRequested,LongLock,Medium
203.02000000,10151,StateCommitted,LongLock,Medium
289.08000000,14454,StateRequested,Medium,Weak
289.10000000,14455,StateCommitted,Medium,Weak
315.00000000,15750,StateRequested,Weak,Deep
315.02000000,15751,StateCommitted,Weak,Deep
624.60000000,31230,StateRequested,Deep,Weak
624.62000000,31231,StateCommitted,Deep,Weak
661.72000000,33086,StateRequested,Weak,Medium
661.74000000,33087,StateCommitted,Weak,Medium
734.68000000,36734,StateRequested,Medium,Strong
734.70000000,36735,StateCommitted,Medium,Strong
