time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,pli,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,PullIn,1,0,M2M4,0.00000000,0.31572468,0,0,4437.50030000,4500.00092360,-62.50062360,200.41631717,200.11795545,0.29836172,40.00000000
1.00000000,PullIn,1,1,M2M4,38.72890395,0.07658032,1,1,4513.07431006,4500.04616798,13.02814208,205.86632825,205.89780221,-0.03147396,40.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,0.43237129,0,1,4502.92178979,4500.09226423,2.82952556,211.79391823,211.79566489,-0.00174666,40.00000000
3.00000000,Lock,1,1,NWPR,39.30515017,0.15713216,0,1,4500.07786228,4500.13821723,-0.06035495,217.69137098,217.69358790,-0.00221691,40.00000000
4.00000000,Lock,1,1,NWPR,39.56917006,0.04272059,0,1,4500.18073144,4500.18395585,-0.00322441,223.59590805,223.59157100,0.00433705,40.00000000
5.00000000,Lock,1,1,NWPR,39.54160446,0.01430438,1,1,4500.09428162,4500.22940952,-0.13512790,229.49517137,229.48961387,0.00555750,40.00000000
6.00000000,Strong,1,1,NWPR,39.39083590,0.44106688,1,1,4499.90427161,4500.27450850,-0.37023688,235.38924417,235.38771609,0.00152808,40.00000000
7.00000000,Strong,1,1,NWPR,39.37127283,0.39908710,1,1,4500.41855031,4500.31918397,0.09936634,241.28886933,241.28587714,0.00299219,40.00000000
8.00000000,Strong,1,1,NWPR,39.41717695,0.49339142,1,1,4500.38907436,4500.36336832,0.02570604,247.18658262,247.18409644,0.00248618,40.00000000
9.00000000,Strong,1,1,NWPR,39.35387003,0.60854318,1,1,4500.37180823,4500.40699525,-0.03518702,253.08332952,253.08237328,0.00095624,40.00000000
10.00000000,Strong,1,1,NWPR,39.31956517,0.73503197,1,1,4500.82911659,4500.45000000,0.37911659,258.98085447,258.98070690,0.00014757,40.00000000
11.00000000,Strong,1,1,NWPR,39.50960494,0.86297558,1,1,4500.14840833,4500.49231952,-0.34391119,264.87846432,264.87909644,-0.00063211,40.00000000
12.00000000,Strong,1,1,NWPR,39.54349554,0.94265969,1,1,4500.40010369,4500.53389263,-0.13378894,270.77797656,270.77754096,0.00043560,40.00000000
13.00000000,Strong,1,1,NWPR,39.62909104,0.88526289,1,1,4500.53599763,4500.57466020,-0.03866257,276.67584267,276.67603945,-0.00019678,40.00000000
14.00000000,Strong,1,1,NWPR,39.65398103,0.68149187,1,1,4500.45975238,4500.61456530,-0.15481292,282.57474997,282.57459081,0.00015916,40.00000000
15.00000000,Strong,1,1,NWPR,39.46750656,0.41788869,1,1,4500.40913271,4500.65355339,-0.24442068,288.47272050,288.47319387,-0.00047337,40.00000000
16.00000000,Strong,1,1,NWPR,39.45138361,0.34410846,1,1,4500.55127316,4500.69157241,-0.14029925,294.37291482,294.37184740,0.00106741,40.00000000
17.00000000,Strong,1,1,NWPR,39.46939554,0.32503163,1,1,4500.64345934,4500.72857298,-0.08511364,300.27090289,300.27055010,0.00035278,40.00000000
18.00000000,Strong,1,1,NWPR,39.49354088,0.25628982,1,1,4500.87207029,4500.76450850,0.10756179,306.16973896,306.16930060,0.00043835,40.00000000
19.00000000,Strong,1,1,NWPR,39.37353676,0.24955779,1,1,4500.60147688,4500.79933528,-0.19785840,312.06967206,312.06809748,0.00157458,40.00000000
