time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,pli,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Deep,1,0,NWPR,0.00000000,1.00000000,0,0,4499.90030000,4500.00092360,-0.10062360,200.16795282,200.11795545,0.04999737,7.00000000
1.00000000,Deep,1,0,NWPR,0.00000000,0.39570778,0,1,4499.70053482,4500.04616798,-0.34563316,205.94819927,205.89780221,0.05039705,7.00000000
2.00000000,Deep,1,0,NWPR,0.00000000,0.42846419,0,1,4499.31985751,4500.09226423,-0.77240673,211.84483538,211.79566489,0.04917049,7.00000000
3.00000000,Deep,1,0,NWPR,0.00000000,0.11985331,1,1,4499.46826955,4500.13821723,-0.66994768,217.73714150,217.69358790,0.04355360,7.00000000
4.00000000,Deep,1,0,NWPR,0.00000000,0.06409615,1,1,4499.46126516,4500.18395585,-0.72269069,223.63734966,223.59157100,0.04577866,7.00000000
5.00000000,Deep,1,0,NWPR,0.00000000,0.14566891,1,1,4499.53676988,4500.22940952,-0.69263965,229.53134053,229.48961387,0.04172666,7.00000000
6.00000000,Deep,1,0,NWPR,0.00000000,0.31295240,1,1,4499.88456530,4500.27450850,-0.38994320,235.42060722,235.38771609,0.03289113,7.00000000
7.00000000,Deep,1,0,NWPR,0.00000000,0.12413614,1,1,4499.88548227,4500.31918397,-0.43370170,241.31499088,241.28587714,0.02911373,7.00000000
8.00000000,Deep,1,0,NWPR,0.00000000,0.18601377,1,1,4500.10126032,4500.36336832,-0.26210800,247.21220969,247.18409644,0.02811325,7.00000000
9.00000000,Deep,1,0,NWPR,0.00000000,0.14507656,1,1,4500.18198791,4500.40699525,-0.22500734,253.11456233,253.08237328,0.03218905,7.00000000
10.00000000,Deep,1,1,NWPR,2.83716492,0.07937831,1,1,4500.06596721,4500.45000000,-0.38403279,259.00745754,258.98070690,0.02675064,7.00000000
11.00000000,Deep,1,1,NWPR,2.78545003,0.13196955,1,1,4500.34983972,4500.49231952,-0.14247980,264.91180091,264.87909644,0.03270448,7.00000000
12.00000000,Deep,1,1,NWPR,3.22914032,0.33390056,1,1,4500.14538928,4500.53389263,-0.38850335,270.81912766,270.77754096,0.04158670,7.00000000
13.00000000,Deep,1,1,NWPR,3.10315737,0.13751155,1,1,4500.12942408,4500.57466020,-0.44523611,276.71263864,276.67603945,0.03659919,7.00000000
14.00000000,Deep,1,1,NWPR,2.23001694,0.07458694,1,1,4500.27328940,4500.61456530,-0.34127590,282.60941461,282.57459081,0.03482380,7.00000000
15.00000000,Deep,1,1,NWPR,0.67542792,0.08933036,1,1,4500.26269368,4500.65355339,-0.39085971,288.51362999,288.47319387,0.04043612,7.00000000
16.00000000,Deep,1,0,NWPR,-3.33180438,0.20569902,1,1,4500.48606245,4500.69157241,-0.20550996,294.40668267,294.37184740,0.03483527,7.00000000
17.00000000,Deep,1,0,NWPR,-4.55674924,0.14931886,1,1,4500.53956357,4500.72857298,-0.18900941,300.30349308,300.27055010,0.03294298,7.00000000
18.00000000,Deep,1,1,NWPR,-5.85242857,0.44246829,1,1,4500.23050706,4500.76450850,-0.53400144,306.19308074,306.16930060,0.02378013,7.00000000
19.00000000,Deep,1,0,NWPR,-6.88492093,0.32356341,1,1,4500.24000278,4500.79933528,-0.55933250,312.09089227,312.06809748,0.02279479,7.00000000
20.00000000,Deep,1,0,NWPR,-6.88492093,0.14846291,1,1,4500.03912766,4500.83301270,-0.79388505,317.98299363,317.96693925,0.01605438,7.00000000
21.00000000,Deep,1,0,NWPR,-6.88492093,0.20590263,1,1,4499.63952677,4500.86550326,-1.22597649,323.87883652,323.86582439,0.01301214,7.00000000
22.00000000,Deep,1,0,NWPR,-6.88492093,0.20212373,1,1,4499.71985863,4500.89677273,-1.17691410,329.77941875,329.76475131,0.01466744,7.00000000
23.00000000,Deep,1,0,NWPR,-6.88492093,0.15917211,1,1,4499.54756900,4500.92679021,-1.37922121,335.67319531,335.66371839,0.00947692,7.00000000
24.00000000,Deep,1,1,NWPR,-6.77853435,0.19140918,1,1,4499.80263222,4500.95552826,-1.15289603,341.57452818,341.56272399,0.01180419,7.00000000
25.00000000,Deep,1,1,NWPR,-2.47479528,0.18736932,1,1,4499.88758216,4500.98296291,-1.09538075,347.47084555,347.46176639,0.00907916,7.00000000
26.00000000,Deep,1,1,NWPR,-0.28911206,0.09533611,1,1,4500.35860881,4501.00907380,-0.65046499,353.37310795,353.36084389,0.01226407,7.00000000
27.00000000,Deep,1,1,NWPR,2.22662392,0.08303729,1,1,4500.59847841,4501.03384417,-0.43536576,359.27356344,359.25995473,0.01360872,7.00000000
28.00000000,Deep,1,1,NWPR,3.32320514,0.20909951,1,1,4500.71582620,4501.05726095,-0.34143475,365.17550960,365.15909715,0.01641245,7.00000000
29.00000000,Deep,1,1,NWPR,2.92258739,0.22726598,1,1,4500.81257908,4501.07931477,-0.26673569,371.07751680,371.05826936,0.01924743,7.00000000
30.00000000,Deep,1,1,NWPR,3.38564436,0.21639338,1,1,4500.73883862,4501.10000000,-0.36116138,376.97322376,376.95746959,0.01575417,7.00000000
31.00000000,Deep,1,1,NWPR,3.81368759,0.23008635,1,1,4500.84595739,4501.11931477,-0.27335737,382.87389338,382.85669603,0.01719735,7.00000000
32.00000000,Deep,1,1,NWPR,5.03929863,0.09753141,1,1,4500.63217803,4501.13726095,-0.50508292,388.77494880,388.75594688,0.01900192,7.00000000
33.00000000,Deep,1,1,NWPR,6.28545586,0.06137008,1,1,4500.78894282,4501.15384417,-0.36490135,394.67465640,394.65522036,0.01943604,7.00000000
34.00000000,Deep,1,1,NWPR,6.85491308,0.06936659,1,1,4501.14832507,4501.16907380,-0.02074873,400.57388624,400.55451469,0.01937155,7.00000000
35.00000000,Deep,1,1,NWPR,6.61113606,0.06913899,1,1,4501.23623830,4501.18296291,0.05327539,406.47907585,406.45382809,0.02524776,7.00000000
36.00000000,Deep,1,1,NWPR,7.12266468,0.14576668,1,1,4501.17108174,4501.19552826,-0.02444652,412.36845327,412.35315884,0.01529444,7.00000000
37.00000000,Deep,1,1,NWPR,7.38931218,0.19913911,1,1,4501.23000330,4501.20679021,0.02321309,418.26133492,418.25250519,0.00882973,7.00000000
38.00000000,Deep,1,1,NWPR,7.46858460,0.10088944,1,1,4500.92801279,4501.21677273,-0.28875994,424.15114482,424.15186546,-0.00072064,7.00000000
39.00000000,Deep,1,1,NWPR,7.87936652,0.08900423,1,1,4500.80706748,4501.22550326,-0.41843579,430.04715998,430.05123799,-0.00407801,7.00000000
40.00000000,Deep,1,1,NWPR,7.82208847,0.23073712,1,1,4501.16478263,4501.23301270,-0.06823007,435.93540146,435.95062116,-0.01521970,7.00000000
41.00000000,Deep,1,1,NWPR,7.68764856,0.10658840,1,1,4501.22070367,4501.23933528,-0.01863162,441.83764214,441.85001339,-0.01237125,7.00000000
42.00000000,Deep,1,1,NWPR,6.60760771,0.22456451,1,1,4501.15238004,4501.24450850,-0.09212845,447.73253817,447.74941315,-0.01687498,7.00000000
43.00000000,Deep,1,1,NWPR,5.11835359,0.10043535,1,1,4501.17965955,4501.24857298,-0.06891343,453.63034436,453.64881896,-0.01847460,7.00000000
44.00000000,Deep,1,1,NWPR,4.15885701,0.19386036,1,1,4501.35275990,4501.25157241,0.10118749,459.53377021,459.54822939,-0.01445917,7.00000000
45.00000000,Deep,1,1,NWPR,1.39442331,0.34167010,1,1,4501.51525239,4501.25355339,0.26169900,465.43605412,465.44764308,-0.01158896,7.00000000
46.00000000,Deep,1,1,NWPR,-0.26316242,0.13017510,1,1,4501.68169907,4501.25456530,0.42713377,471.33125122,471.34705872,-0.01580750,7.00000000
47.00000000,Deep,1,1,NWPR,-0.03132561,0.20716769,1,1,4501.79062420,4501.25466020,0.53596401,477.22521462,477.24647509,-0.02126047,7.00000000
48.00000000,Deep,1,1,NWPR,0.67490049,0.09006563,1,1,4501.72247689,4501.25389263,0.46858426,483.11794322,483.14589101,-0.02794779,7.00000000
49.00000000,Deep,1,1,NWPR,1.72313863,0.07638958,1,1,4501.71846315,4501.25231952,0.46614363,489.02271948,489.04530539,-0.02258591,7.00000000
50.00000000,Deep,1,1,NWPR,3.31915570,0.16468300,1,1,4501.56208548,4501.25000000,0.31208548,494.91502456,494.94471721,-0.02969265,7.00000000
51.00000000,Deep,1,1,NWPR,3.92731227,0.23509732,1,1,4501.43785231,4501.24699525,0.19085706,500.81412041,500.84412553,-0.03000512,7.00000000
52.00000000,Deep,1,1,NWPR,3.78064753,0.17638287,1,1,4501.41108179,4501.24336832,0.16771347,506.71825524,506.74352951,-0.02527426,7.00000000
53.00000000,Deep,1,1,NWPR,4.16163512,0.17958100,1,1,4501.43055555,4501.23918397,0.19137158,512.62179854,512.64292835,-0.02112981,7.00000000
54.00000000,Deep,1,1,NWPR,5.78339012,0.21477916,1,1,4501.28537162,4501.23450850,0.05086313,518.52535890,518.54232139,-0.01696248,7.00000000
55.00000000,Deep,1,1,NWPR,7.17264233,0.19324520,1,1,4501.29415522,4501.22940952,0.06474569,524.42532270,524.44170801,-0.01638530,7.00000000
56.00000000,Deep,1,1,NWPR,7.57313592,0.08273479,1,1,4501.45882800,4501.22395585,0.23487215,530.32835227,530.34108770,-0.01273543,7.00000000
57.00000000,Deep,1,1,NWPR,7.79332484,0.12047863,1,1,4501.34836081,4501.21821723,0.13014358,536.23063034,536.24046006,-0.00982972,7.00000000
58.00000000,Deep,1,1,NWPR,7.29876092,0.07159067,1,1,4501.27327970,4501.21226423,0.06101547,542.12337450,542.13982475,-0.01645024,7.00000000
59.00000000,Deep,1,1,NWPR,7.08650308,0.15718911,1,1,4501.42304727,4501.20616798,0.21687930,548.01845496,548.03918153,-0.02072657,7.00000000
60.00000000,Deep,1,1,NWPR,7.20461452,0.29977325,1,1,4501.32061013,4501.20000000,0.12061013,553.91323076,553.93853027,-0.02529951,7.00000000
61.00000000,Deep,1,1,NWPR,7.48812948,0.33802089,1,1,4501.32964190,4501.19383202,0.13580988,559.80337960,559.83787091,-0.03449131,7.00000000
