time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,pli,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Medium,1,0,NWPR,0.00000000,1.00000000,0,0,4499.50000000,4500.00092360,-0.50092360,200.16794233,200.11795545,0.04998688,24.00000000
1.00000000,Medium,1,0,NWPR,0.00000000,0.12242010,1,1,4499.40535806,4500.04616798,-0.64080992,205.94289155,205.89780221,0.04508934,24.00000000
2.00000000,Medium,1,0,NWPR,0.00000000,0.30042626,1,1,4499.38744638,4500.09226423,-0.70481785,211.81232737,211.79566489,0.01666248,24.00000000
3.00000000,Medium,1,0,NWPR,0.00000000,0.11198438,1,1,4499.65491921,4500.13821723,-0.48329802,217.68250538,217.69358790,-0.01108252,24.00000000
4.00000000,Medium,1,1,NWPR,23.11258324,0.21788182,1,1,4499.97009011,4500.18395585,-0.21386574,223.59256421,223.59157100,0.00099321,24.00000000
5.00000000,Medium,1,1,NWPR,23.12599600,0.15175042,1,1,4499.82459552,4500.22940952,-0.40481400,229.49025442,229.48961387,0.00064055,24.00000000
6.00000000,Medium,1,1,NWPR,23.07495016,0.28426927,1,1,4500.05295282,4500.27450850,-0.22155568,235.38006912,235.38771609,-0.00764697,24.00000000
7.00000000,Medium,1,1,NWPR,22.95808580,0.12048475,1,1,4500.11949598,4500.31918397,-0.19968799,241.28773418,241.28587714,0.00185704,24.00000000
8.00000000,Medium,1,1,NWPR,22.86085607,0.45766079,1,1,4500.32059165,4500.36336832,-0.04277667,247.18885291,247.18409644,0.00475647,24.00000000
9.00000000,Medium,1,1,NWPR,22.72801989,0.57009853,1,1,4500.53860515,4500.40699525,0.13160990,253.10918785,253.08237328,0.02681457,24.00000000
10.00000000,Medium,1,1,NWPR,22.69364194,0.23468889,1,1,4500.55874217,4500.45000000,0.10874217,259.00073634,258.98070690,0.02002944,24.00000000
11.00000000,Medium,1,1,NWPR,22.76197617,0.41091577,1,1,4499.94968392,4500.49231952,-0.54263560,264.88733831,264.87909644,0.00824188,24.00000000
12.00000000,Medium,1,1,NWPR,22.77881030,0.35557918,1,1,4500.46804459,4500.53389263,-0.06584804,270.76311247,270.77754096,-0.01442849,24.00000000
13.00000000,Medium,1,1,NWPR,22.95846653,0.59506695,1,1,4500.67052751,4500.57466020,0.09586731,276.66429690,276.67603945,-0.01174255,24.00000000
14.00000000,Medium,1,1,NWPR,23.10172172,0.61972666,1,1,4500.70600556,4500.61456530,0.09144026,282.56620587,282.57459081,-0.00838494,24.00000000
15.00000000,Medium,1,1,NWPR,23.20566837,0.41053032,1,1,4500.78533755,4500.65355339,0.13178416,288.47454287,288.47319387,0.00134900,24.00000000
16.00000000,Medium,1,1,NWPR,23.21143726,0.40123975,1,1,4500.80859918,4500.69157241,0.11702677,294.38357837,294.37184740,0.01173096,24.00000000
17.00000000,Medium,1,1,NWPR,23.00533817,0.22833367,1,1,4500.92246777,4500.72857298,0.19389479,300.28176575,300.27055010,0.01121565,24.00000000
18.00000000,Medium,1,1,NWPR,22.94693297,0.17140308,1,1,4501.03280178,4500.76450850,0.26829328,306.17068915,306.16930060,0.00138855,24.00000000
19.00000000,Medium,1,1,NWPR,22.85169034,0.26649686,1,1,4500.92958664,4500.79933528,0.13025136,312.06192950,312.06809748,-0.00616798,24.00000000
