"time_s","state","frame_valid","cn0_valid","cn0_method","cn0_db_hz","truth_cn0_db_hz","pli","pll_enabled","pll_control_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","PullIn","1","0","M2M4","0.00000000","24.00000000","0.39053165","0","0.00000000","0","1","4437.50000000","4500.00092360","-62.50092360","200.35762987","200.05844156","0.29918831"
"1.00000000","PullIn","1","0","M2M4","0.00000000","24.00000000","0.10025880","0","-0.00000000","1","1","4507.44474289","4500.04616798","7.39857491","203.02916367","202.92209291","0.10707075"
"2.00000000","PullIn","1","0","M2M4","19.21742423","24.00000000","0.03614092","0","-0.00000000","1","1","4498.76925949","4500.09226423","-1.32300474","205.64342974","205.84421579","-0.20078604"
"3.00000000","PullIn","1","0","M2M4","19.71637974","24.00000000","0.05227630","0","0.00000000","1","1","4496.56216365","4500.13821723","-3.57605358","208.54946188","208.76636855","-0.21690667"
"4.00000000","PullIn","1","0","M2M4","19.94111734","24.00000000","0.02475059","0","-0.00000000","1","1","4502.46092677","4500.18395585","2.27697092","211.73003453","211.68855109","0.04148344"
"5.00000000","Lock","1","0","NWPR","0.00000000","24.00000000","0.96467509","1","0.03008163","0","0","4499.49974535","4500.22940952","-0.72966417","214.83826509","214.61076324","0.22750186"
"6.00000000","Lock","1","0","NWPR","0.00000000","24.00000000","0.41471523","1","-1.09506841","1","0","4497.84865708","4500.27450850","-2.42585142","217.46973191","217.53300479","-0.06327288"
"7.00000000","Lock","1","0","NWPR","0.00000000","24.00000000","0.57007980","1","1.12084380","1","1","4501.56502956","4500.31918397","1.24584558","220.41009869","220.45527549","-0.04517680"
"8.00000000","Strong","1","0","NWPR","0.00000000","24.00000000","0.64237569","1","0.36284436","1","1","4501.00315683","4500.36336832","0.63978851","223.34643302","223.37757505","-0.03114203"
"9.00000000","Strong","1","1","NWPR","23.35844481","24.00000000","0.65987133","1","-0.26158174","1","1","4500.33769141","4500.40699525","-0.06930384","226.25814334","226.29990312","-0.04175979"
