"time_s","state","frame_valid","cn0_valid","cn0_method","cn0_db_hz","truth_cn0_db_hz","pli","pll_enabled","pll_control_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","PullIn","1","0","M2M4","0.00000000","40.00000000","0.28388082","0","0.00000000","0","0","4437.50000000","4500.00092360","-62.50092360","200.35762987","200.05844156","0.29918831"
"1.00000000","PullIn","1","1","M2M4","39.25840276","40.00000000","0.05992540","0","-0.00000000","1","1","4512.41012942","4500.04616798","12.36396145","202.89402368","202.92209291","-0.02806923"
"2.00000000","PullIn","1","1","M2M4","39.48549729","40.00000000","0.11334580","0","-0.00000000","1","1","4500.25528219","4500.09226423","0.16301796","205.84695905","205.84421579","0.00274327"
"3.00000000","PullIn","1","1","M2M4","39.66567750","40.00000000","0.08212885","0","0.00000000","1","1","4499.04917189","4500.13821723","-1.08904534","208.77152596","208.76636855","0.00515741"
"4.00000000","Lock","1","0","NWPR","0.00000000","40.00000000","0.91470874","1","-0.08427462","1","1","4500.25698787","4500.18395585","0.07303203","211.68434793","211.68855109","-0.00420316"
"5.00000000","Strong","1","0","NWPR","0.00000000","40.00000000","0.89587574","1","-0.02200414","1","1","4500.21030941","4500.22940952","-0.01910011","214.59952619","214.61076324","-0.01123705"
"6.00000000","Strong","1","1","NWPR","39.35452965","40.00000000","0.94485569","1","-0.09850393","1","1","4500.34679713","4500.27450850","0.07228864","217.51645502","217.53300479","-0.01654977"
"7.00000000","Strong","1","1","NWPR","39.37504457","40.00000000","0.97548003","1","-0.19819534","1","1","4500.25994224","4500.31918397","-0.05924173","220.43833532","220.45527549","-0.01694018"
"8.00000000","Strong","1","1","NWPR","39.48592187","40.00000000","0.97641106","1","0.05706672","1","1","4500.40422868","4500.36336832","0.04086035","223.35747801","223.37757505","-0.02009704"
"9.00000000","Strong","1","1","NWPR","39.47307002","40.00000000","0.98598998","1","-0.02952061","1","1","4500.39218531","4500.40699525","-0.01480994","226.27784472","226.29990312","-0.02205841"
"10.00000000","Strong","1","1","NWPR","39.57372296","40.00000000","0.99005509","1","0.27770573","1","1","4500.72778562","4500.45000000","0.27778562","229.19918207","229.22225933","-0.02307726"
"11.00000000","Strong","1","1","NWPR","39.59194442","40.00000000","0.99205409","1","-0.21234804","1","1","4500.28327808","4500.49231952","-0.20904144","232.12253505","232.14464324","-0.02210819"
"12.00000000","Strong","1","1","NWPR","39.54703635","40.00000000","0.99244514","1","-0.16343943","1","1","4500.35233332","4500.53389263","-0.18155931","235.04595203","235.06705439","-0.02110235"
"13.00000000","Strong","1","1","NWPR","39.38204350","40.00000000","0.99348006","1","-0.27774677","1","1","4500.28808523","4500.57466020","-0.28657497","237.97053803","237.98949227","-0.01895424"
"14.00000000","Strong","1","1","NWPR","39.46072714","40.00000000","0.99267924","1","0.19057258","1","1","4500.82068669","4500.61456530","0.20612139","240.89509628","240.91195635","-0.01686008"
"15.00000000","Strong","1","1","NWPR","39.55265952","40.00000000","0.99264830","1","0.02933682","1","1","4500.68729580","4500.65355339","0.03374241","243.81791558","243.83444605","-0.01653048"
"16.00000000","Strong","1","1","NWPR","39.40875616","40.00000000","0.99039273","1","0.07991358","1","1","4500.75823342","4500.69157241","0.06666101","246.74190352","246.75696076","-0.01505724"
"17.00000000","Strong","1","1","NWPR","39.31364627","40.00000000","0.99288159","1","0.02759406","1","1","4500.75507867","4500.72857298","0.02650569","249.66733887","249.67949982","-0.01216096"
"18.00000000","Strong","1","1","NWPR","39.34151178","40.00000000","0.99175237","1","-0.22905274","1","1","4500.52774526","4500.76450850","-0.23676323","252.59212028","252.60206257","-0.00994229"
"19.00000000","Strong","1","1","NWPR","39.35982203","40.00000000","0.99157313","1","0.41191239","1","1","4501.21828181","4500.79933528","0.41894652","255.51584632","255.52464830","-0.00880197"
"20.00000000","Strong","1","1","NWPR","39.33980498","40.00000000","0.99241935","1","0.10117262","1","1","4500.93476040","4500.83301270","0.10174770","258.44076122","258.44725627","-0.00649504"
"21.00000000","Strong","1","1","NWPR","39.46006939","40.00000000","0.99345261","1","0.03453825","1","1","4500.90942886","4500.86550326","0.04392560","261.36597531","261.36988572","-0.00391040"
"22.00000000","Strong","1","1","NWPR","39.48835559","40.00000000","0.99232284","1","-0.10109679","1","1","4500.79624915","4500.89677273","-0.10052358","264.28941861","264.29253588","-0.00311726"
"23.00000000","Strong","1","1","NWPR","39.65136726","40.00000000","0.99222832","1","-0.40986776","1","1","4500.52364372","4500.92679021","-0.40314649","267.21224267","267.21520593","-0.00296327"
