time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,PullIn,1,0,M2M4,0.00000000,0,0.00000000,0.11333468,0,0.00000000,0,0,4437.50000000,4500.00092360,-62.50092360,200.35762987,200.05844156,0.29918831,40.00000000
1.00000000,PullIn,1,1,M2M4,39.25286371,0,0.00000000,0.06076226,0,0.00000000,1,1,4512.28780447,4500.04616798,12.24163649,202.89619520,202.92209291,-0.02589771,40.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,1,39.23688833,0.43480749,1,-1.45567728,0,1,4500.22644585,4500.09226423,0.13418162,205.85783630,205.84421579,0.01362052,40.00000000
3.00000000,Lock,1,1,NWPR,39.33350200,1,39.28903986,0.36395528,1,-0.13674627,1,1,4500.15815340,4500.13821723,0.01993616,208.76988905,208.76636855,0.00352050,40.00000000
4.00000000,Strong,1,1,NWPR,39.33145806,1,39.71979143,0.63282437,1,0.44814507,1,1,4500.26397075,4500.18395585,0.08001491,211.68340509,211.68855109,-0.00514600,40.00000000
5.00000000,Strong,1,1,NWPR,39.39781971,1,39.22712848,0.79129940,1,0.13037344,1,1,4500.52517674,4500.22940952,0.29576721,214.59953607,214.61076324,-0.01122717,40.00000000
6.00000000,Strong,1,1,NWPR,39.39145086,1,39.17065108,0.87003632,1,-0.01111705,1,1,4500.19609766,4500.27450850,-0.07841084,217.51787202,217.53300479,-0.01513277,40.00000000
7.00000000,Strong,1,1,NWPR,39.31574736,1,38.66624730,0.94445995,1,0.11202284,1,1,4500.44905993,4500.31918397,0.12987596,220.43884116,220.45527549,-0.01643434,40.00000000
8.00000000,Strong,1,1,NWPR,39.24660857,1,39.23611562,0.97462595,1,-0.01227233,1,1,4500.34599896,4500.36336832,-0.01736936,223.35935046,223.37757505,-0.01822459,40.00000000
9.00000000,Strong,1,1,NWPR,39.35829920,1,39.11804626,0.98498124,1,0.06377928,1,1,4500.48803026,4500.40699525,0.08103501,226.28195167,226.29990312,-0.01795145,40.00000000
