time_s,frame_id,event,from_state,to_state
1.10000000,55,SyncLocked,PullIn,PullIn
1.48000000,74,StateRequested,PullIn,Lock
1.50000000,75,StateCommitted,PullIn,Lock
3.64000000,182,StateRequested,Lock,Strong
3.66000000,183,StateCommitted,Lock,Strong
98.06000000,4903,StateRequested,Strong,LongFast
98.08000000,4904,StateCommitted,Strong,LongFast
101.90000000,5095,StateRequested,LongFast,LongLock
101.92000000,5096,StateCommitted,LongFast,LongLock
105.10000000,5255,StateRequested,LongLock,Medium
105.12000000,5256,StateCommitted,LongLock,Medium
195.98000000,9799,StateRequested,Medium,Weak
196.00000000,9800,StateCommitted,Medium,Weak
285.90000000,14295,StateRequested,Weak,Deep
285.92000000,14296,StateCommitted,Weak,Deep
372.90000000,18645,StateRequested,Deep,Weak
372.92000000,18646,StateCommitted,Deep,Weak
383.14000000,19157,StateRequested,Weak,Medium
383.16000000,19158,StateCommitted,Weak,Medium
458.02000000,22901,StateRequested,Medium,Strong
458.04000000,22902,StateCommitted,Medium,Strong
