time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Deep,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,0,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.10844026,200.05844156,0.04999870,14.00000000
1.00000000,Deep,1,0,NWPR,0.00000000,1,19.28281087,0.35038291,0,0.00000000,1,1,4499.95422355,4500.04616798,-0.09194443,202.97119182,202.92209291,0.04909891,14.00000000
2.00000000,Deep,1,0,NWPR,0.00000000,1,12.90245241,0.48722143,0,0.00000000,1,1,4499.96178404,4500.09226423,-0.13048019,205.89497042,205.84421579,0.05075464,14.00000000
3.00000000,Deep,1,0,NWPR,0.00000000,1,9.94819387,0.35915606,0,-0.00000000,1,1,4499.96853329,4500.13821723,-0.16968394,208.82298377,208.76636855,0.05661522,14.00000000
4.00000000,Deep,1,0,NWPR,0.00000000,1,16.71470014,0.09710509,0,-0.00000000,1,1,4499.97302904,4500.18395585,-0.21092680,211.73899786,211.68855109,0.05044677,14.00000000
5.00000000,Deep,1,0,NWPR,0.00000000,1,0.00000000,0.02586139,0,0.00000000,1,1,4500.06447266,4500.22940952,-0.16493686,214.65562820,214.61076324,0.04486496,14.00000000
6.00000000,Deep,1,0,NWPR,0.00000000,1,16.63261823,0.19050536,0,-0.00000000,1,1,4500.09216228,4500.27450850,-0.18234622,217.57449519,217.53300479,0.04149041,14.00000000
7.00000000,Deep,1,0,NWPR,0.00000000,1,0.00000000,0.26466358,0,0.00000000,1,1,4500.10762998,4500.31918397,-0.21155400,220.49286886,220.45527549,0.03759336,14.00000000
8.00000000,Deep,1,0,NWPR,0.00000000,1,9.38784240,0.05210793,0,-0.00000000,1,1,4500.01603980,4500.36336832,-0.34732852,223.41586323,223.37757505,0.03828818,14.00000000
9.00000000,Deep,1,0,NWPR,0.00000000,1,10.44729676,0.04985068,0,-0.00000000,1,1,4499.91863195,4500.40699525,-0.48836330,226.34203692,226.29990312,0.04213380,14.00000000
10.00000000,Deep,1,1,NWPR,13.55841950,1,3.04256404,0.11096023,0,0.00000000,1,1,4499.95422467,4500.45000000,-0.49577533,229.26326066,229.22225933,0.04100134,14.00000000
11.00000000,Deep,1,1,NWPR,13.76272994,1,15.05129963,0.19679343,0,0.00000000,1,1,4500.05312236,4500.49231952,-0.43919716,232.18259186,232.14464324,0.03794862,14.00000000
12.00000000,Deep,1,1,NWPR,13.70533116,1,16.71334565,0.09212771,0,0.00000000,1,1,4500.02931317,4500.53389263,-0.50457945,235.10419749,235.06705439,0.03714311,14.00000000
13.00000000,Deep,1,1,NWPR,13.71901838,1,7.65420549,0.06016733,0,0.00000000,1,1,4500.20281271,4500.57466020,-0.37184749,238.02606553,237.98949227,0.03657326,14.00000000
14.00000000,Deep,1,1,NWPR,13.95692827,1,15.58278644,0.21183786,0,-0.00000000,1,1,4500.23653713,4500.61456530,-0.37802817,240.94657859,240.91195635,0.03462223,14.00000000
15.00000000,Deep,1,1,NWPR,14.11824701,1,12.56767417,0.18645652,0,-0.00000000,1,1,4500.39818060,4500.65355339,-0.25537279,243.86585211,243.83444605,0.03140606,14.00000000
16.00000000,Deep,1,1,NWPR,14.36945477,1,0.00000000,0.07403630,0,-0.00000000,1,1,4500.26983906,4500.69157241,-0.42173335,246.78654322,246.75696076,0.02958246,14.00000000
17.00000000,Deep,1,1,NWPR,14.42573233,1,16.95285235,0.18924270,0,0.00000000,1,1,4500.26837909,4500.72857298,-0.46019390,249.70355547,249.67949982,0.02405565,14.00000000
18.00000000,Deep,1,1,NWPR,14.54512050,1,17.04949916,0.08160011,0,0.00000000,1,1,4500.31365413,4500.76450850,-0.45085437,252.62572702,252.60206257,0.02366445,14.00000000
19.00000000,Deep,1,1,NWPR,14.62049400,1,13.29547487,0.21247167,0,-0.00000000,1,1,4500.32317408,4500.79933528,-0.47616120,255.54654046,255.52464830,0.02189216,14.00000000
20.00000000,Deep,1,1,NWPR,14.58970489,1,17.05861239,0.14967949,0,0.00000000,1,1,4500.35117602,4500.83301270,-0.48183668,258.46361599,258.44725627,0.01635973,14.00000000
21.00000000,Deep,1,1,NWPR,14.41769018,1,0.00000000,0.14836232,0,0.00000000,1,1,4500.39605878,4500.86550326,-0.46944448,261.38176389,261.36988572,0.01187817,14.00000000
22.00000000,Deep,1,1,NWPR,14.19226397,1,19.37201815,0.18994796,0,0.00000000,1,1,4500.40772479,4500.89677273,-0.48904794,264.30285795,264.29253588,0.01032207,14.00000000
23.00000000,Deep,1,1,NWPR,14.11971778,1,15.88902796,0.14734310,0,-0.00000000,1,1,4500.37292267,4500.92679021,-0.55386754,267.22505957,267.21520593,0.00985364,14.00000000
24.00000000,Deep,1,1,NWPR,13.97611907,1,16.04323195,0.16196459,0,0.00000000,1,1,4500.49525718,4500.95552826,-0.46027108,270.14071261,270.13789507,0.00281755,14.00000000
25.00000000,Deep,1,1,NWPR,13.81812628,1,14.39121455,0.15798494,0,0.00000000,1,1,4500.54882859,4500.98296291,-0.43413432,273.05687491,273.06060244,-0.00372753,14.00000000
26.00000000,Deep,1,1,NWPR,13.74420048,1,18.36561998,0.15312725,0,-0.00000000,1,1,4500.65058088,4501.00907380,-0.35849292,275.97617410,275.98332720,-0.00715310,14.00000000
27.00000000,Deep,1,1,NWPR,13.87360989,1,12.15294874,0.11076615,0,0.00000000,1,1,4500.73200347,4501.03384417,-0.30184070,278.89870545,278.90606848,-0.00736303,14.00000000
28.00000000,Deep,1,1,NWPR,13.66759326,1,7.99951697,0.22622422,0,0.00000000,1,1,4500.83153259,4501.05726095,-0.22572835,281.82342448,281.82882540,-0.00540092,14.00000000
29.00000000,Deep,1,1,NWPR,13.54288816,1,15.40161014,0.07343366,0,0.00000000,1,1,4500.88687232,4501.07931477,-0.19244245,284.74407390,284.75159709,-0.00752319,14.00000000
30.00000000,Deep,1,1,NWPR,13.52286292,1,11.97044004,0.17690800,0,0.00000000,1,1,4500.80173459,4501.10000000,-0.29826541,287.66620505,287.67438266,-0.00817761,14.00000000
31.00000000,Deep,1,1,NWPR,13.39656279,1,9.36628605,0.07038908,0,0.00000000,1,1,4500.76832567,4501.11931477,-0.35098910,290.58518624,290.59718121,-0.01199498,14.00000000
