time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Lock,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.24392748,0,0,4500.14734775,4500.00092360,0.14642416,200.10844026,200.05844156,0.04999870,30.00000000
1.00000000,Lock,1,0,NWPR,0.00000000,1,30.13002831,0.96082464,1,0.25421640,1,1,4500.22993564,4500.04616798,0.18376766,202.92260296,202.92209291,0.00051004,30.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,1,29.15134772,0.95492641,1,0.24216299,1,1,4500.37140359,4500.09226423,0.27913936,205.85995178,205.84421579,0.01573600,30.00000000
3.00000000,Lock,1,0,NWPR,0.00000000,1,29.22795962,0.95000333,1,0.48831191,1,1,4500.81162731,4500.13821723,0.67341008,208.76525798,208.76636855,-0.00111057,30.00000000
4.00000000,Lock,1,1,NWPR,29.29248653,1,29.83133761,0.94376024,1,0.52468529,1,1,4500.94036841,4500.18395585,0.75641256,211.68361626,211.68855109,-0.00493483,30.00000000
5.00000000,Lock,1,1,NWPR,29.29627627,1,28.93964764,0.92865992,1,-0.03371315,1,1,4500.20378818,4500.22940952,-0.02562134,214.60187269,214.61076324,-0.00889055,30.00000000
6.00000000,Lock,1,1,NWPR,29.26641836,1,29.18799914,0.93998043,1,-0.07226793,1,1,4500.18411313,4500.27450850,-0.09039536,217.52242515,217.53300479,-0.01057964,30.00000000
7.00000000,Lock,1,1,NWPR,29.25826787,1,28.03840041,0.94737654,1,0.19039569,1,1,4500.57467099,4500.31918397,0.25548702,220.46839893,220.45527549,0.01312344,30.00000000
8.00000000,Lock,1,1,NWPR,29.24091995,1,29.01310639,0.94748702,1,-0.03628801,1,1,4500.30817162,4500.36336832,-0.05519670,223.37429893,223.37757505,-0.00327612,30.00000000
9.00000000,Lock,1,1,NWPR,29.23556781,1,28.73746306,0.93451185,1,0.17797212,1,1,4500.64345218,4500.40699525,0.23645693,226.31504099,226.29990312,0.01513786,30.00000000
10.00000000,Lock,1,1,NWPR,29.28714272,1,28.62502893,0.92764141,1,-0.34931519,1,1,4499.96364857,4500.45000000,-0.48635143,229.22234055,229.22225933,0.00008122,30.00000000
11.00000000,Lock,1,1,NWPR,29.35670726,1,29.61722287,0.93392878,1,-0.01950656,1,1,4500.45937942,4500.49231952,-0.03294009,232.14747369,232.14464324,0.00283045,30.00000000
12.00000000,Lock,1,1,NWPR,29.47512393,1,29.62592536,0.92346919,1,0.01434615,1,1,4500.53508748,4500.53389263,0.00119485,235.05477104,235.06705439,-0.01228335,30.00000000
13.00000000,Lock,1,1,NWPR,29.48478173,1,28.32857760,0.93377057,1,0.20572561,1,1,4500.85506393,4500.57466020,0.28040373,237.96932954,237.98949227,-0.02016273,30.00000000
14.00000000,Lock,1,1,NWPR,29.46871505,1,29.78662688,0.94702147,1,-0.13763118,1,1,4500.42629240,4500.61456530,-0.18827290,240.88806610,240.91195635,-0.02389025,30.00000000
15.00000000,Lock,1,1,NWPR,29.50895169,1,29.29871369,0.94170704,1,0.22791286,1,1,4500.97355078,4500.65355339,0.31999739,243.82912978,243.83444605,-0.00531628,30.00000000
16.00000000,Lock,1,1,NWPR,29.53173172,1,29.30203633,0.93964343,1,-0.10409864,1,1,4500.54719417,4500.69157241,-0.14437824,246.74814370,246.75696076,-0.00881706,30.00000000
17.00000000,Lock,1,1,NWPR,29.59000865,1,29.76340917,0.93235796,1,0.00576470,1,1,4500.74112438,4500.72857298,0.01255140,249.66714087,249.67949982,-0.01235896,30.00000000
18.00000000,Lock,1,1,NWPR,29.67290866,1,30.19718925,0.93743361,1,-0.09697499,1,1,4500.63963336,4500.76450850,-0.12487514,252.60788443,252.60206257,0.00582186,30.00000000
19.00000000,Lock,1,1,NWPR,29.67102807,1,30.33949631,0.93744167,1,-0.05770844,1,1,4500.71507618,4500.79933528,-0.08425911,255.52592732,255.52464830,0.00127902,30.00000000
20.00000000,Lock,1,1,NWPR,29.67586573,1,30.06616502,0.93706027,1,-0.40034168,1,1,4500.27577057,4500.83301270,-0.55724213,258.42869700,258.44725627,-0.01855926,30.00000000
21.00000000,Lock,1,1,NWPR,29.65087864,1,28.42010130,0.93348503,1,-0.11037082,1,1,4500.71403795,4500.86550326,-0.15146531,261.36244508,261.36988572,-0.00744064,30.00000000
22.00000000,Lock,1,1,NWPR,29.54607571,1,29.12309724,0.93979771,1,0.30457197,1,1,4501.30834959,4500.89677273,0.41157686,264.31783077,264.29253588,0.02529489,30.00000000
23.00000000,Lock,1,1,NWPR,29.43701459,1,30.07058049,0.94155613,1,-0.19855785,1,1,4500.66552858,4500.92679021,-0.26126164,267.19753320,267.21520593,-0.01767273,30.00000000
24.00000000,Lock,1,1,NWPR,29.33196886,1,30.14567376,0.94691904,1,0.03698247,1,1,4501.00653723,4500.95552826,0.05100897,270.12031366,270.13789507,-0.01758140,30.00000000
25.00000000,Lock,1,1,NWPR,29.34408149,1,29.76286328,0.95432440,1,-0.00019533,1,1,4500.97867912,4500.98296291,-0.00428379,273.06324034,273.06060244,0.00263790,30.00000000
26.00000000,Lock,1,1,NWPR,29.39012358,1,29.88833910,0.93682285,1,-0.24630327,1,1,4500.65876319,4501.00907380,-0.35031061,275.98050122,275.98332720,-0.00282598,30.00000000
27.00000000,Lock,1,1,NWPR,29.47849654,1,29.54595267,0.94091673,1,0.22071641,1,1,4501.33309942,4501.03384417,0.29925525,278.89704972,278.90606848,-0.00901876,30.00000000
28.00000000,Lock,1,1,NWPR,29.51607572,1,28.82904884,0.94991226,1,0.10058275,1,1,4501.18832628,4501.05726095,0.13106533,281.84061435,281.82882540,0.01178894,30.00000000
29.00000000,Lock,1,1,NWPR,29.47922904,1,29.45992819,0.92369230,1,-0.05868291,1,1,4500.99653800,4501.07931477,-0.08277677,284.73636208,284.75159709,-0.01523501,30.00000000
30.00000000,Lock,1,1,NWPR,29.45372093,1,29.65800503,0.93495621,1,0.24591089,1,1,4501.43628899,4501.10000000,0.33628899,287.66474887,287.67438266,-0.00963380,30.00000000
31.00000000,Lock,1,1,NWPR,29.38219420,1,28.59824677,0.93909950,1,0.33796436,1,1,4501.57893173,4501.11931477,0.45961697,290.62220193,290.59718121,0.02502072,30.00000000
32.00000000,Lock,1,1,NWPR,29.39100994,1,28.84853078,0.93717633,1,-0.02561179,1,1,4501.11228382,4501.13726095,-0.02497713,293.53365632,293.51999186,0.01366446,30.00000000
