time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,LongLock,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.10844026,200.05844156,0.04999870,20.00000000
1.00000000,LongLock,1,0,NWPR,0.00000000,1,22.31169830,0.44531272,1,-0.29132975,1,1,4499.76616096,4500.04616798,-0.28000702,202.97300472,202.92209291,0.05091181,20.00000000
2.00000000,LongLock,1,0,NWPR,0.00000000,1,19.36594960,0.53388860,1,-0.45609407,1,1,4499.87857463,4500.09226423,-0.21368960,205.90944012,205.84421579,0.06522434,20.00000000
3.00000000,LongLock,1,0,NWPR,0.00000000,1,17.46550469,0.27924868,1,0.06694428,1,1,4500.84725915,4500.13821723,0.70904191,208.84105375,208.76636855,0.07468519,20.00000000
4.00000000,LongLock,1,1,NWPR,19.32453706,1,20.91379542,0.19094563,1,-0.54712931,1,1,4500.27405802,4500.18395585,0.09010217,211.70551682,211.68855109,0.01696573,20.00000000
5.00000000,LongLock,1,1,NWPR,19.48397302,1,17.42551141,0.14821093,1,0.00000000,1,1,4501.40985872,4500.22940952,1.18044920,214.57533243,214.61076324,-0.03543081,20.00000000
6.00000000,LongLock,1,1,NWPR,19.25058099,1,20.56477050,0.20968270,1,0.00000000,1,1,4501.58791839,4500.27450850,1.31340989,217.44489774,217.53300479,-0.08810705,20.00000000
7.00000000,LongLock,1,1,NWPR,19.10312961,1,13.67200324,0.10876960,1,0.05741345,1,1,4501.66229974,4500.31918397,1.34311577,220.40519014,220.45527549,-0.05008535,20.00000000
8.00000000,LongLock,1,1,NWPR,19.04099000,1,18.55222334,0.12169361,1,0.24592576,1,1,4501.78176861,4500.36336832,1.41840028,223.34576228,223.37757505,-0.03181278,20.00000000
9.00000000,LongLock,1,1,NWPR,18.97289260,1,17.35318939,0.10302880,1,-0.38686327,1,1,4500.88227485,4500.40699525,0.47527960,226.32695378,226.29990312,0.02705065,20.00000000
10.00000000,LongLock,1,1,NWPR,19.18718560,1,16.67769848,0.20870789,1,-0.38362638,1,1,4500.41750314,4500.45000000,-0.03249686,229.24105764,229.22225933,0.01879832,20.00000000
11.00000000,LongLock,1,1,NWPR,19.43372324,1,20.48420863,0.12054786,1,0.00000000,1,1,4501.00221915,4500.49231952,0.50989963,232.14954369,232.14464324,0.00490045,20.00000000
12.00000000,LongLock,1,1,NWPR,19.72544178,1,20.50262981,0.08780853,1,-0.38949656,1,1,4500.47752662,4500.53389263,-0.05636601,235.03074237,235.06705439,-0.03631201,20.00000000
13.00000000,LongLock,1,1,NWPR,19.74534942,1,16.35985938,0.21351830,1,0.55990202,1,1,4501.28277722,4500.57466020,0.70811702,237.94412110,237.98949227,-0.04537117,20.00000000
14.00000000,LongLock,1,1,NWPR,19.75014674,1,20.94232280,0.16230846,1,-0.56247034,1,1,4499.78421557,4500.61456530,-0.83034973,240.87046289,240.91195635,-0.04149346,20.00000000
15.00000000,LongLock,1,1,NWPR,19.81643374,1,19.45428306,0.29816217,1,0.05442528,1,1,4500.40624358,4500.65355339,-0.24730981,243.84882431,243.83444605,0.01437825,20.00000000
16.00000000,LongLock,1,1,NWPR,19.81079736,1,16.58677149,0.01325263,1,-0.05528722,1,1,4500.02983105,4500.69157241,-0.66174136,246.80053480,246.75696076,0.04357404,20.00000000
17.00000000,LongLock,1,1,NWPR,19.80436889,1,20.53461945,0.08304041,1,0.00000000,1,1,4500.06237754,4500.72857298,-0.66619544,249.67688216,249.67949982,-0.00261766,20.00000000
18.00000000,LongLock,1,1,NWPR,19.84319113,1,21.78183677,0.29277344,1,0.22750554,1,1,4500.85460365,4500.76450850,0.09009515,252.61533751,252.60206257,0.01327493,20.00000000
19.00000000,LongLock,1,1,NWPR,19.80666116,1,20.59843600,0.35755199,1,0.47023723,1,1,4501.48696405,4500.79933528,0.68762876,255.53174532,255.52464830,0.00709702,20.00000000
20.00000000,LongLock,1,1,NWPR,19.83420140,1,21.08368219,0.12348026,1,0.34759436,1,1,4501.57344987,4500.83301270,0.74043717,258.40176486,258.44725627,-0.04549140,20.00000000
21.00000000,LongLock,1,1,NWPR,19.83553972,1,15.35968048,0.13207052,1,0.19635384,1,1,4501.63443790,4500.86550326,0.76893464,261.31850009,261.36988572,-0.05138563,20.00000000
22.00000000,LongLock,1,1,NWPR,19.60817316,1,21.36660601,0.15590489,1,0.14600786,1,1,4501.61815443,4500.89677273,0.72138170,264.26757995,264.29253588,-0.02495592,20.00000000
23.00000000,LongLock,1,1,NWPR,19.35161338,1,20.72174550,0.11072106,1,-0.30675336,1,1,4501.19675034,4500.92679021,0.26996013,267.19323216,267.21520593,-0.02197377,20.00000000
24.00000000,LongLock,1,1,NWPR,19.13226316,1,21.43272389,0.26327361,1,-0.37475080,1,1,4500.78815923,4500.95552826,-0.16736903,270.11158337,270.13789507,-0.02631169,20.00000000
25.00000000,LongLock,1,1,NWPR,19.21881162,1,19.82936364,0.49113464,1,-0.50420587,1,1,4500.58803421,4500.98296291,-0.39492871,273.00105741,273.06060244,-0.05954503,20.00000000
26.00000000,LongLock,1,1,NWPR,19.37791330,1,21.42434825,0.19714131,1,-0.20085849,1,1,4501.04038594,4501.00907380,0.03131213,275.93711408,275.98332720,-0.04621312,20.00000000
27.00000000,LongLock,1,1,NWPR,19.55512857,1,19.26576590,0.41173007,1,0.33748666,1,1,4500.71292667,4501.03384417,-0.32091750,278.86794279,278.90606848,-0.03812569,20.00000000
28.00000000,LongLock,1,1,NWPR,19.49513768,1,17.39520368,0.10166379,1,-0.57668739,1,1,4499.72157392,4501.05726095,-1.33568703,281.85373068,281.82882540,0.02490528,20.00000000
29.00000000,LongLock,1,1,NWPR,19.34043960,1,19.82028308,0.19068146,1,0.00000000,1,1,4500.39858909,4501.07931477,-0.68072568,284.73285245,284.75159709,-0.01874465,20.00000000
30.00000000,LongLock,1,1,NWPR,19.27450993,1,19.48999843,0.21574180,1,0.04891956,1,1,4500.11253978,4501.10000000,-0.98746022,287.65236532,287.67438266,-0.02201734,20.00000000
31.00000000,LongLock,1,1,NWPR,19.04152691,1,16.52655554,0.14713113,1,-0.00827736,1,1,4500.07474523,4501.11931477,-1.04456954,290.59574461,290.59718121,-0.00143660,20.00000000
32.00000000,LongLock,1,1,NWPR,19.23854533,1,18.91127234,0.26424000,1,-0.39094380,1,1,4498.91667235,4501.13726095,-2.22058860,293.52993182,293.51999186,0.00993996,20.00000000
33.00000000,LongLock,1,1,NWPR,19.39576201,1,17.25503055,0.06965208,1,0.00000000,1,1,4498.59037152,4501.15384417,-2.56347265,296.45721575,296.44281372,0.01440202,20.00000000
