time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,PullIn,1,0,M2M4,0.00000000,0,0.00000000,0.28324390,0,0.00000000,0,1,4437.50000000,4500.00092360,-62.50092360,200.35762987,200.05844156,0.29918831,24.00000000
1.00000000,PullIn,1,0,M2M4,0.00000000,0,0.00000000,0.12535709,0,0.00000000,1,1,4512.98774573,4500.04616798,12.94157775,203.04020334,202.92209291,0.11811042,24.00000000
2.00000000,PullIn,1,1,M2M4,22.51346295,0,0.00000000,0.03583241,0,0.00000000,1,1,4503.84541932,4500.09226423,3.75315509,205.72351668,205.84421579,-0.12069911,24.00000000
3.00000000,Lock,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,-1.55465381,0,0,4501.41265158,4500.13821723,1.27443435,208.69405550,208.76636855,-0.07231305,24.00000000
4.00000000,Lock,1,0,NWPR,0.00000000,1,24.22762359,0.10857158,1,1.66225971,1,1,4501.57565443,4500.18395585,1.39169858,211.69825674,211.68855109,0.00970565,24.00000000
5.00000000,Strong,1,0,NWPR,0.00000000,1,22.18652313,0.33406485,1,1.09527915,1,1,4499.96751838,4500.22940952,-0.26189114,214.60926952,214.61076324,-0.00149372,24.00000000
6.00000000,Strong,1,0,NWPR,0.00000000,1,23.58096996,0.63528816,1,1.22039158,1,1,4500.99662679,4500.27450850,0.72211829,217.54110289,217.53300479,0.00809811,24.00000000
7.00000000,Strong,1,1,NWPR,23.10356707,1,20.85782509,0.45548424,1,0.14903101,1,1,4500.81625702,4500.31918397,0.49707304,220.47663738,220.45527549,0.02136188,24.00000000
8.00000000,Strong,1,1,NWPR,23.15241562,1,23.05303881,0.57314293,1,-0.63761123,1,1,4500.28007872,4500.36336832,-0.08328960,223.40169842,223.37757505,0.02412336,24.00000000
9.00000000,Strong,1,1,NWPR,23.15322780,1,22.25368135,0.66807600,1,0.03512750,1,1,4500.74750724,4500.40699525,0.34051199,226.33226817,226.29990312,0.03236505,24.00000000
10.00000000,Strong,1,1,NWPR,23.26529736,1,21.89775396,0.72484565,1,-0.68080154,1,1,4499.67447769,4500.45000000,-0.77552231,229.25580007,229.22225933,0.03354074,24.00000000
