time_s,frame_id,event,from_state,to_state,command_id
0.56000000,28,SyncLocked,PullIn,PullIn,28
1.38000000,69,StateRequested,PullIn,Lock,70
1.40000000,70,StateCommitted,PullIn,Lock,70
2.66000000,133,StateRequested,Lock,Strong,134
2.68000000,134,StateCommitted,Lock,Strong,134
55.52000000,2776,StateRequested,Strong,LongFast,2777
55.54000000,2777,StateCommitted,Strong,LongFast,2777
58.72000000,2936,StateRequested,LongFast,LongLock,2937
58.74000000,2937,StateCommitted,LongFast,LongLock,2937
61.92000000,3096,StateRequested,LongLock,Medium,3097
61.94000000,3097,StateCommitted,LongLock,Medium,3097
90.72000000,4536,StateRequested,Medium,Weak,4537
90.74000000,4537,StateCommitted,Medium,Weak,4537
156.96000000,7848,StateRequested,Weak,Medium,7849
156.98000000,7849,StateCommitted,Weak,Medium,7849
174.88000000,8744,StateRequested,Medium,Strong,8745
174.90000000,8745,StateCommitted,Medium,Strong,8745
