time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.38000000,69,StateRequested,PullIn,Lock
1.40000000,70,StateCommitted,PullIn,Lock
2.68000000,134,StateRequested,Lock,Strong
2.70000000,135,StateCommitted,Lock,Strong
98.94000000,4947,StateRequested,Strong,LongFast
98.96000000,4948,StateCommitted,Strong,LongFast
102.14000000,5107,StateRequested,LongFast,LongLock
102.16000000,5108,StateCommitted,LongFast,LongLock
105.34000000,5267,StateRequested,LongLock,Medium
105.36000000,5268,StateCommitted,LongLock,Medium
184.02000000,9201,StateRequested,Medium,Weak
184.04000000,9202,StateCommitted,Medium,Weak
372.50000000,18625,StateRequested,Weak,Medium
372.52000000,18626,StateCommitted,Weak,Medium
457.94000000,22897,StateRequested,Medium,Strong
457.96000000,22898,StateCommitted,Medium,Strong
