time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Weak,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,0,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.83259130,200.78260878,0.04998253,14.00000000
1.00000000,Weak,1,0,NWPR,0.00000000,1,15.08124953,0.34681934,0,0.00000000,1,1,4499.93192163,4500.04616798,-0.11424635,239.17979394,239.13063554,0.04915840,14.00000000
2.00000000,Weak,1,0,NWPR,0.00000000,1,11.88019527,0.28689113,0,0.00000000,1,1,4500.55368278,4500.09226423,0.46141855,278.31423753,278.26167228,0.05256525,14.00000000
3.00000000,Weak,1,0,NWPR,0.00000000,1,14.63617360,0.05165893,0,-0.00000000,1,1,4500.44180364,4500.13821723,0.30358641,317.44604340,317.39310928,0.05293411,14.00000000
4.00000000,Weak,1,0,NWPR,0.00000000,1,16.54144946,0.10983925,0,-0.00000000,1,1,4500.45400740,4500.18395585,0.27005156,356.59148130,356.52494500,0.06653630,14.00000000
5.00000000,Weak,1,0,NWPR,0.00000000,1,7.08998485,0.09948589,0,-0.00000000,1,1,4500.35740958,4500.22940952,0.12800006,395.72024483,395.65717726,0.06306757,14.00000000
6.00000000,Weak,1,0,NWPR,0.00000000,1,7.45918278,0.11948192,0,0.00000000,1,1,4500.49989924,4500.27450850,0.22539074,434.84095454,434.78980327,0.05115127,14.00000000
7.00000000,Weak,1,0,NWPR,0.00000000,1,11.85642182,0.09103858,0,0.00000000,1,1,4500.32635977,4500.31918397,0.00717580,473.97300891,473.92281965,0.05018926,14.00000000
8.00000000,Weak,1,0,NWPR,0.00000000,1,10.24085280,0.14145927,0,0.00000000,1,1,4500.33299270,4500.36336832,-0.03037562,513.09315803,513.05622244,0.03693559,14.00000000
9.00000000,Weak,1,0,NWPR,0.00000000,1,12.57189569,0.11937115,0,0.00000000,1,1,4500.20370456,4500.40699525,-0.20329069,552.23100588,552.19000705,0.04099882,14.00000000
10.00000000,Weak,1,0,NWPR,0.00000000,1,15.79723987,0.20267722,0,-0.00000000,1,1,4499.79908617,4500.45000000,-0.65091383,591.37029935,591.32416838,0.04613097,14.00000000
11.00000000,Weak,1,1,NWPR,13.42411233,1,10.60904569,0.16281615,0,-0.00000000,1,1,4499.85725306,4500.49231952,-0.63506646,630.49648402,630.45870072,0.03778330,14.00000000
12.00000000,Weak,1,1,NWPR,13.22082092,1,14.04020084,0.12605433,0,0.00000000,1,1,4499.75990357,4500.53389263,-0.77398906,669.61531893,669.59359786,0.02172107,14.00000000
13.00000000,Weak,1,1,NWPR,13.03415469,1,7.62094792,0.11548984,0,0.00000000,1,1,4499.46542898,4500.57466020,-1.10923122,708.72841177,708.72885304,-0.00044127,14.00000000
14.00000000,Weak,1,1,NWPR,12.66754111,1,6.01210877,0.15101378,0,0.00000000,1,1,4499.83390386,4500.61456530,-0.78066144,747.84991600,747.86445901,-0.01454301,14.00000000
15.00000000,Weak,1,1,NWPR,12.34754964,1,14.36113941,0.22632540,0,0.00000000,1,1,4500.13722606,4500.65355339,-0.51632733,786.99117108,787.00040804,-0.00923695,14.00000000
16.00000000,Weak,1,1,NWPR,12.48299293,1,11.42710849,0.06646022,0,-0.00000000,1,1,4500.38434215,4500.69157241,-0.30723026,826.11645280,826.13669191,-0.02023911,14.00000000
17.00000000,Weak,1,1,NWPR,12.60792838,1,8.57885260,0.12779045,0,0.00000000,1,1,4500.53626094,4500.72857298,-0.19231204,865.23184321,865.27330200,-0.04145879,14.00000000
18.00000000,Weak,1,1,NWPR,12.59575764,1,12.85445576,0.12893462,0,0.00000000,1,1,4500.73131564,4500.76450850,-0.03319285,904.35824596,904.41022923,-0.05198326,14.00000000
