time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,truth_cn0_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips
0.02000000,PullIn,1,0,M2M4,0.00000000,40.00000000,0.31572468,0,0.00000000,0,0,4437.50000000,4500.00092360,-62.50092360,200.41631717,200.11795545,0.29836172
1.00000000,PullIn,1,1,M2M4,38.73149006,40.00000000,0.07610655,0,-0.00000000,1,1,4513.06945314,4500.04616798,13.02328516,205.86619388,205.89780221,-0.03160833
2.00000000,Lock,1,0,NWPR,0.00000000,40.00000000,0.41924465,1,-0.25563947,0,1,4502.92089088,4500.09226423,2.82862665,211.79385662,211.79566489,-0.00180827
3.00000000,Lock,1,1,NWPR,39.30619990,40.00000000,0.39940513,1,-0.30421250,0,1,4500.07914660,4500.13821723,-0.05907063,217.69141095,217.69358790,-0.00217695
4.00000000,Lock,1,1,NWPR,39.57016421,40.00000000,0.59083675,1,0.56864232,0,1,4500.18120685,4500.18395585,-0.00274899,223.59590896,223.59157100,0.00433796
5.00000000,Lock,1,1,NWPR,39.54252413,40.00000000,0.74540731,1,-0.10110201,1,1,4500.09530766,4500.22940952,-0.13410186,229.49526319,229.48961387,0.00564931
6.00000000,Strong,1,1,NWPR,39.39163800,40.00000000,0.87289343,1,-0.26096355,1,1,4499.89995782,4500.27450850,-0.37455068,235.38942172,235.38771609,0.00170563
7.00000000,Strong,1,1,NWPR,39.37218982,40.00000000,0.94737167,1,0.06991549,1,1,4500.42254944,4500.31918397,0.10336546,241.28909490,241.28587714,0.00321775
8.00000000,Strong,1,1,NWPR,39.42062959,40.00000000,0.97707338,1,0.03003831,1,1,4500.37708518,4500.36336832,0.01371686,247.18685769,247.18409644,0.00276126
9.00000000,Strong,1,1,NWPR,39.35690911,40.00000000,0.98600713,1,-0.05394776,1,1,4500.36920381,4500.40699525,-0.03779144,253.08364554,253.08237328,0.00127226
10.00000000,Strong,1,1,NWPR,39.31787251,40.00000000,0.99128970,1,0.36817311,1,1,4500.83088088,4500.45000000,0.38088088,258.98118314,258.98070690,0.00047624
11.00000000,Strong,1,1,NWPR,39.50836151,40.00000000,0.99192757,1,-0.32215417,1,1,4500.14953589,4500.49231952,-0.34278363,264.87875421,264.87909644,-0.00034223
12.00000000,Strong,1,1,NWPR,39.54323226,40.00000000,0.99393875,1,-0.13768841,1,1,4500.40035918,4500.53389263,-0.13353345,270.77824586,270.77754096,0.00070489
13.00000000,Strong,1,1,NWPR,39.62909672,40.00000000,0.99434333,1,-0.05507992,1,1,4500.54052644,4500.57466020,-0.03413376,276.67604876,276.67603945,0.00000931
14.00000000,Strong,1,1,NWPR,39.65694691,40.00000000,0.99323889,1,-0.16351886,1,1,4500.45770947,4500.61456530,-0.15685583,282.57493110,282.57459081,0.00034029
15.00000000,Strong,1,1,NWPR,39.46914740,40.00000000,0.99288526,1,-0.22631415,1,1,4500.41069181,4500.65355339,-0.24286158,288.47288874,288.47319387,-0.00030514
16.00000000,Strong,1,1,NWPR,39.45120737,40.00000000,0.99486163,1,-0.14361833,1,1,4500.55075485,4500.69157241,-0.14081756,294.37303598,294.37184740,0.00118857
17.00000000,Strong,1,1,NWPR,39.46958332,40.00000000,0.99475342,1,-0.07912448,1,1,4500.64212939,4500.72857298,-0.08644359,300.27102073,300.27055010,0.00047063
18.00000000,Strong,1,1,NWPR,39.49011647,40.00000000,0.99470876,1,0.08874753,1,1,4500.87485792,4500.76450850,0.11034942,306.16982378,306.16930060,0.00052317
