time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.20000000,60,StateRequested,PullIn,Lock
1.22000000,61,StateCommitted,PullIn,Lock
5.10000000,255,StateRequested,Lock,Strong
5.12000000,256,StateCommitted,Lock,Strong
127.86000000,6393,StateRequested,Strong,LongFast
127.88000000,6394,StateCommitted,Strong,LongFast
131.06000000,6553,StateRequested,LongFast,LongLock
131.08000000,6554,StateCommitted,LongFast,LongLock
134.90000000,6745,StateRequested,LongLock,Medium
134.92000000,6746,StateCommitted,LongLock,Medium
259.70000000,12985,StateRequested,Medium,Weak
259.72000000,12986,StateCommitted,Medium,Weak
374.58000000,18729,StateRequested,Weak,Deep
374.60000000,18730,StateCommitted,Weak,Deep
693.18000000,34659,StateRequested,Deep,Weak
693.20000000,34660,StateCommitted,Deep,Weak
791.42000000,39571,StateRequested,Weak,Medium
791.44000000,39572,StateCommitted,Weak,Medium
797.82000000,39891,StateRequested,Medium,Strong
797.84000000,39892,StateCommitted,Medium,Strong
