time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,pli,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,PullIn,1,0,M2M4,0.00000000,0.06184427,0,0,4437.50030000,4500.00092360,-62.50062360,200.41631717,200.11795545,0.29836172,40.00000000
1.00000000,PullIn,1,1,M2M4,39.19077347,0.05766948,1,1,4512.35734183,4500.04616798,12.31117385,205.86540122,205.89780221,-0.03240099,40.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,0.39369490,0,1,4501.98156762,4500.09226423,1.88930338,211.79375935,211.79566489,-0.00190554,40.00000000
3.00000000,Lock,1,1,NWPR,39.21895533,0.12192951,0,1,4499.99466446,4500.13821723,-0.14355278,217.69047608,217.69358790,-0.00311182,40.00000000
4.00000000,Lock,1,1,NWPR,39.32605741,0.03535870,0,1,4499.93801641,4500.18395585,-0.24593944,223.59888665,223.59157100,0.00731564,40.00000000
5.00000000,Lock,1,1,NWPR,39.36777917,0.02402130,1,1,4500.36336022,4500.22940952,0.13395070,229.49182914,229.48961387,0.00221527,40.00000000
6.00000000,Strong,1,1,NWPR,39.33436108,0.37451949,1,1,4500.09552793,4500.27450850,-0.17898056,235.38311195,235.38771609,-0.00460414,40.00000000
7.00000000,Strong,1,1,NWPR,39.38238504,0.19476140,1,1,4500.44429443,4500.31918397,0.12511045,241.27934851,241.28587714,-0.00652863,40.00000000
8.00000000,Strong,1,1,NWPR,39.40457086,0.18236880,1,1,4499.94270229,4500.36336832,-0.42066603,247.17786449,247.18409644,-0.00623195,40.00000000
9.00000000,Strong,1,1,NWPR,39.28468137,0.16036642,1,1,4500.42144116,4500.40699525,0.01444591,253.07637894,253.08237328,-0.00599434,40.00000000
10.00000000,Strong,1,1,NWPR,39.30968699,0.15561413,1,1,4500.68505068,4500.45000000,0.23505068,258.97330343,258.98070690,-0.00740346,40.00000000
11.00000000,Strong,1,1,NWPR,39.38818421,0.14134311,1,1,4500.46157838,4500.49231952,-0.03074114,264.87056712,264.87909644,-0.00852931,40.00000000
12.00000000,Strong,1,1,NWPR,39.31667352,0.14316698,1,1,4500.13808219,4500.53389263,-0.39581044,270.76912271,270.77754096,-0.00841825,40.00000000
13.00000000,Strong,1,1,NWPR,39.47316602,0.13120604,1,1,4500.64065345,4500.57466020,0.06599325,276.66695365,276.67603945,-0.00908580,40.00000000
14.00000000,Strong,1,1,NWPR,39.48111381,0.11656925,1,1,4500.72098911,4500.61456530,0.10642381,282.56726613,282.57459081,-0.00732468,40.00000000
15.00000000,Strong,1,1,NWPR,39.54307798,0.12828143,1,1,4500.49688016,4500.65355339,-0.15667323,288.46770846,288.47319387,-0.00548541,40.00000000
16.00000000,Strong,1,1,NWPR,39.40579091,0.09161545,1,1,4500.61363064,4500.69157241,-0.07794177,294.36683871,294.37184740,-0.00500870,40.00000000
17.00000000,Strong,1,1,NWPR,39.36295704,0.10848599,1,1,4501.00972910,4500.72857298,0.28115612,300.26549136,300.27055010,-0.00505874,40.00000000
18.00000000,Strong,1,1,NWPR,39.53955864,0.12668362,1,1,4500.38574349,4500.76450850,-0.37876501,306.16515698,306.16930060,-0.00414363,40.00000000
19.00000000,Strong,1,1,NWPR,39.43669751,0.09286075,1,1,4500.77764855,4500.79933528,-0.02168673,312.06379037,312.06809748,-0.00430711,40.00000000
