time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.20000000,60,StateRequested,PullIn,Lock
1.22000000,61,StateCommitted,PullIn,Lock
5.10000000,255,StateRequested,Lock,Strong
5.12000000,256,StateCommitted,Lock,Strong
193.66000000,9683,StateRequested,Strong,LongFast
193.68000000,9684,StateCommitted,Strong,LongFast
196.86000000,9843,StateRequested,LongFast,LongLock
196.88000000,9844,StateCommitted,LongFast,LongLock
200.06000000,10003,StateRequested,LongLock,Medium
200.08000000,10004,StateCommitted,LongLock,Medium
291.58000000,14579,StateRequested,Medium,Weak
291.60000000,14580,StateCommitted,Medium,Weak
313.66000000,15683,StateRequested,Weak,Deep
313.68000000,15684,StateCommitted,Weak,Deep
619.06000000,30953,StateRequested,Deep,Weak
619.08000000,30954,StateCommitted,Deep,Weak
660.34000000,33017,StateRequested,Weak,Medium
660.36000000,33018,StateCommitted,Weak,Medium
734.90000000,36745,StateRequested,Medium,Strong
734.92000000,36746,StateCommitted,Medium,Strong
