time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,pli,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,PullIn,1,0,M2M4,0.00000000,0.06184427,0,0,4437.50000000,4500.00092360,-62.50092360,200.41631717,200.11795545,0.29836172,40.00000000
1.00000000,PullIn,1,1,M2M4,39.18779164,0.05762320,1,1,4512.33374381,4500.04616798,12.28757583,205.86566015,205.89780221,-0.03214206,40.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,0.39448976,0,1,4501.98303061,4500.09226423,1.89076638,211.79440091,211.79566489,-0.00126399,40.00000000
3.00000000,Lock,1,1,NWPR,39.23135801,0.11735121,0,1,4499.99607959,4500.13821723,-0.14213764,217.69023992,217.69358790,-0.00334798,40.00000000
4.00000000,Lock,1,1,NWPR,39.32852524,0.03220114,0,1,4499.93815429,4500.18395585,-0.24580156,223.59844510,223.59157100,0.00687410,40.00000000
5.00000000,Lock,1,1,NWPR,39.37139601,0.03048985,1,1,4500.36400400,4500.22940952,0.13459448,229.49184220,229.48961387,0.00222833,40.00000000
6.00000000,Strong,1,1,NWPR,39.33597643,0.37101773,1,1,4500.09250528,4500.27450850,-0.18200322,235.38329709,235.38771609,-0.00441900,40.00000000
7.00000000,Strong,1,1,NWPR,39.38213031,0.19665440,1,1,4500.44512246,4500.31918397,0.12593848,241.27966364,241.28587714,-0.00621350,40.00000000
8.00000000,Strong,1,1,NWPR,39.40491327,0.18092190,1,1,4499.94646747,4500.36336832,-0.41690085,247.17823485,247.18409644,-0.00586158,40.00000000
9.00000000,Strong,1,1,NWPR,39.29053676,0.15907935,1,1,4500.42229077,4500.40699525,0.01529552,253.07676285,253.08237328,-0.00561043,40.00000000
10.00000000,Strong,1,1,NWPR,39.31042708,0.15454797,1,1,4500.67425937,4500.45000000,0.22425937,258.97374632,258.98070690,-0.00696058,40.00000000
11.00000000,Strong,1,1,NWPR,39.39014000,0.14032574,1,1,4500.45976429,4500.49231952,-0.03255523,264.87102946,264.87909644,-0.00806698,40.00000000
12.00000000,Strong,1,1,NWPR,39.31975746,0.14259089,1,1,4500.13756023,4500.53389263,-0.39633240,270.76951229,270.77754096,-0.00802867,40.00000000
13.00000000,Strong,1,1,NWPR,39.47841600,0.13111768,1,1,4500.63776987,4500.57466020,0.06310968,276.66729311,276.67603945,-0.00874634,40.00000000
14.00000000,Strong,1,1,NWPR,39.48541860,0.11621429,1,1,4500.72415146,4500.61456530,0.10958616,282.56760336,282.57459081,-0.00698745,40.00000000
15.00000000,Strong,1,1,NWPR,39.54476028,0.12783526,1,1,4500.49335303,4500.65355339,-0.16020036,288.46801059,288.47319387,-0.00518328,40.00000000
16.00000000,Strong,1,1,NWPR,39.40793826,0.09159019,1,1,4500.61342549,4500.69157241,-0.07814692,294.36713743,294.37184740,-0.00470998,40.00000000
17.00000000,Strong,1,1,NWPR,39.36611979,0.10823209,1,1,4501.00853516,4500.72857298,0.27996218,300.26574880,300.27055010,-0.00480130,40.00000000
18.00000000,Strong,1,1,NWPR,39.54119600,0.12689135,1,1,4500.38532951,4500.76450850,-0.37917899,306.16535578,306.16930060,-0.00394482,40.00000000
19.00000000,Strong,1,1,NWPR,39.43701723,0.09284690,1,1,4500.77699734,4500.79933528,-0.02233794,312.06395274,312.06809748,-0.00414474,40.00000000
20.00000000,Strong,1,1,NWPR,39.48077318,0.09745798,1,1,4501.01776892,4500.83301270,0.18475621,317.96328674,317.96693925,-0.00365252,40.00000000
