time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.20000000,60,StateRequested,PullIn,Lock
1.22000000,61,StateCommitted,PullIn,Lock
5.10000000,255,StateRequested,Lock,Strong
5.12000000,256,StateCommitted,Lock,Strong
127.88000000,6394,StateRequested,Strong,LongFast
127.90000000,6395,StateCommitted,Strong,LongFast
131.08000000,6554,StateRequested,LongFast,LongLock
131.10000000,6555,StateCommitted,LongFast,LongLock
134.28000000,6714,StateRequested,LongLock,Medium
134.30000000,6715,StateCommitted,LongLock,Medium
259.08000000,12954,StateRequested,Medium,Weak
259.10000000,12955,StateCommitted,Medium,Weak
371.40000000,18570,StateRequested,Weak,Deep
371.42000000,18571,StateCommitted,Weak,Deep
682.80000000,34140,StateRequested,Deep,Weak
682.82000000,34141,StateCommitted,Deep,Weak
791.28000000,39564,StateRequested,Weak,Medium
791.30000000,39565,StateCommitted,Weak,Medium
797.68000000,39884,StateRequested,Medium,Strong
797.70000000,39885,StateCommitted,Medium,Strong
