time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.20000000,60,StateRequested,PullIn,Lock
1.22000000,61,StateCommitted,PullIn,Lock
5.10000000,255,StateRequested,Lock,Strong
5.12000000,256,StateCommitted,Lock,Strong
127.24000000,6362,StateRequested,Strong,LongFast
127.26000000,6363,StateCommitted,Strong,LongFast
130.44000000,6522,StateRequested,LongFast,LongLock
130.46000000,6523,StateCommitted,LongFast,LongLock
133.64000000,6682,StateRequested,LongLock,Medium
133.66000000,6683,StateCommitted,LongLock,Medium
361.16000000,18058,StateRequested,Medium,Weak
361.18000000,18059,StateCommitted,Medium,Weak
496.84000000,24842,StateRequested,Weak,Deep
496.86000000,24843,StateCommitted,Weak,Deep
821.44000000,41072,StateRequested,Deep,Weak
821.46000000,41073,StateCommitted,Deep,Weak
831.68000000,41584,StateRequested,Weak,Medium
831.70000000,41585,StateCommitted,Weak,Medium
838.08000000,41904,StateRequested,Medium,Strong
838.10000000,41905,StateCommitted,Medium,Strong
