time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,pli,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Deep,1,0,NWPR,0.00000000,1.00000000,0,0,4499.90030000,4500.00092360,-0.10062360,200.16795282,200.11795545,0.04999737,5.00000000
1.00000000,Deep,1,0,NWPR,0.00000000,0.40584783,0,1,4499.68352141,4500.04616798,-0.36264657,205.94785721,205.89780221,0.05005500,5.00000000
2.00000000,Deep,1,0,NWPR,0.00000000,0.39234912,0,1,4499.33325618,4500.09226423,-0.75900805,211.84498331,211.79566489,0.04931842,5.00000000
3.00000000,Deep,1,0,NWPR,0.00000000,0.10178891,1,1,4499.48868080,4500.13821723,-0.64953643,217.73763802,217.69358790,0.04405012,5.00000000
4.00000000,Deep,1,0,NWPR,0.00000000,0.03170034,1,1,4499.47214117,4500.18395585,-0.71181468,223.63905552,223.59157100,0.04748452,5.00000000
5.00000000,Deep,1,0,NWPR,0.00000000,0.17527075,1,1,4499.52911167,4500.22940952,-0.70029785,229.53217898,229.48961387,0.04256511,5.00000000
6.00000000,Deep,1,0,NWPR,0.00000000,0.32014630,1,1,4499.26382566,4500.27450850,-1.01068283,235.42111007,235.38771609,0.03339398,5.00000000
7.00000000,Deep,1,0,NWPR,0.00000000,0.14991600,1,1,4499.29526080,4500.31918397,-1.02392318,241.31455244,241.28587714,0.02867530,5.00000000
8.00000000,Deep,1,0,NWPR,0.00000000,0.19535775,1,1,4499.39535009,4500.36336832,-0.96801823,247.20694488,247.18409644,0.02284844,5.00000000
9.00000000,Deep,1,0,NWPR,0.00000000,0.19582213,1,1,4499.59852235,4500.40699525,-0.80847290,253.10725343,253.08237328,0.02488016,5.00000000
10.00000000,Deep,1,1,NWPR,-1.68011280,0.03243828,1,1,4499.43801783,4500.45000000,-1.01198217,259.00075053,258.98070690,0.02004364,5.00000000
