time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,pli,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Deep,1,0,NWPR,0.00000000,1.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.16795282,200.11795545,0.04999737,10.00000000
1.00000000,Deep,1,0,NWPR,0.00000000,0.30433751,1,1,4499.83446597,4500.04616798,-0.21170201,205.94958499,205.89780221,0.05178278,10.00000000
2.00000000,Deep,1,0,NWPR,0.00000000,0.25353070,1,1,4499.83649647,4500.09226423,-0.25576776,211.84558349,211.79566489,0.04991859,10.00000000
3.00000000,Deep,1,0,NWPR,0.00000000,0.28688974,1,1,4499.90613000,4500.13821723,-0.23208723,217.73844087,217.69358790,0.04485297,10.00000000
4.00000000,Deep,1,0,NWPR,0.00000000,0.11421956,1,1,4499.79863598,4500.18395585,-0.38531986,223.63391285,223.59157100,0.04234184,10.00000000
5.00000000,Deep,1,0,NWPR,0.00000000,0.10610445,1,1,4499.68501208,4500.22940952,-0.54439745,229.53184900,229.48961387,0.04223513,10.00000000
6.00000000,Deep,1,0,NWPR,0.00000000,0.10191951,1,1,4499.92938765,4500.27450850,-0.34512085,235.42582496,235.38771609,0.03810887,10.00000000
7.00000000,Deep,1,0,NWPR,0.00000000,0.03114056,1,1,4499.99740019,4500.31918397,-0.32178379,241.32659627,241.28587714,0.04071912,10.00000000
8.00000000,Deep,1,0,NWPR,0.00000000,0.17795218,1,1,4500.00371744,4500.36336832,-0.35965088,247.22712356,247.18409644,0.04302712,10.00000000
9.00000000,Deep,1,0,NWPR,0.00000000,0.18282488,1,1,4500.06923681,4500.40699525,-0.33775844,253.13315033,253.08237328,0.05077705,10.00000000
10.00000000,Deep,1,1,NWPR,6.66637094,0.03455239,1,1,4500.12503928,4500.45000000,-0.32496072,259.02970584,258.98070690,0.04899894,10.00000000
11.00000000,Deep,1,1,NWPR,6.68670290,0.16277974,1,1,4500.21156781,4500.49231952,-0.28075171,264.92895400,264.87909644,0.04985756,10.00000000
12.00000000,Deep,1,1,NWPR,6.74654425,0.23066702,1,1,4500.31887299,4500.53389263,-0.21501963,270.82590902,270.77754096,0.04836806,10.00000000
13.00000000,Deep,1,1,NWPR,6.71834514,0.15737908,1,1,4500.25416931,4500.57466020,-0.32049089,276.72270420,276.67603945,0.04666475,10.00000000
14.00000000,Deep,1,1,NWPR,6.38390687,0.09487840,1,1,4500.39674520,4500.61456530,-0.21782010,282.62110007,282.57459081,0.04650926,10.00000000
15.00000000,Deep,1,1,NWPR,5.89519664,0.17556722,1,1,4500.25896280,4500.65355339,-0.39459059,288.52670992,288.47319387,0.05351605,10.00000000
16.00000000,Deep,1,1,NWPR,4.93562635,0.17945887,1,1,4500.27483808,4500.69157241,-0.41673433,294.42520583,294.37184740,0.05335843,10.00000000
17.00000000,Deep,1,1,NWPR,3.46880468,0.19162043,1,1,4500.32061612,4500.72857298,-0.40795686,300.32369617,300.27055010,0.05314606,10.00000000
18.00000000,Deep,1,1,NWPR,3.60189188,0.45461292,1,1,4500.42514254,4500.76450850,-0.33936595,306.22333496,306.16930060,0.05403435,10.00000000
19.00000000,Deep,1,1,NWPR,3.74343103,0.40043841,1,1,4500.47835297,4500.79933528,-0.32098231,312.12089201,312.06809748,0.05279453,10.00000000
20.00000000,Deep,1,1,NWPR,2.35925839,0.24504152,1,1,4500.78520464,4500.83301270,-0.04780806,318.01851870,317.96693925,0.05157945,10.00000000
