"time_s","state","frame_valid","cn0_valid","cn0_method","cn0_db_hz","truth_cn0_db_hz","pli","pll_enabled","pll_control_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","PullIn","1","0","M2M4","0.00000000","40.00000000","0.35231261","0","0.00000000","0","0","4437.50000000","4500.00092360","-62.50092360","200.35762987","200.05844156","0.29918831"
"1.00000000","PullIn","1","1","M2M4","39.34262921","40.00000000","0.12412221","0","-0.00000000","1","1","4513.03229458","4500.04616798","12.98612660","202.89477793","202.92209291","-0.02731498"
"2.00000000","PullIn","1","1","M2M4","39.60477394","40.00000000","0.11206595","0","-0.00000000","1","1","4500.34842476","4500.09226423","0.25616053","205.84859340","205.84421579","0.00437762"
"3.00000000","Lock","1","0","NWPR","0.00000000","40.00000000","0.85247517","1","1.75954011","1","1","4499.95765355","4500.13821723","-0.18056369","208.76315076","208.76636855","-0.00321779"
"4.00000000","Strong","1","1","NWPR","39.58108241","40.00000000","0.56705378","1","0.47892878","1","1","4500.21034946","4500.18395585","0.02639361","211.68033255","211.68855109","-0.00821854"
"5.00000000","Strong","1","1","NWPR","39.67006167","40.00000000","0.80147194","1","0.39713621","1","1","4500.28267566","4500.22940952","0.05326614","214.60407357","214.61076324","-0.00668967"
"6.00000000","Strong","1","1","NWPR","39.60140915","40.00000000","0.84424193","1","-0.33098270","1","1","4500.05873891","4500.27450850","-0.21576959","217.52436368","217.53300479","-0.00864111"
"7.00000000","Strong","1","1","NWPR","39.58234357","40.00000000","0.92072643","1","0.17309292","1","1","4500.40780818","4500.31918397","0.08862421","220.44517489","220.45527549","-0.01010060"
"8.00000000","Strong","1","1","NWPR","39.48045687","40.00000000","0.96153096","1","-0.24817868","1","1","4500.13533081","4500.36336832","-0.22803751","223.36703226","223.37757505","-0.01054279"
"9.00000000","Strong","1","1","NWPR","39.45964813","40.00000000","0.98022201","1","0.06338879","1","1","4500.42931965","4500.40699525","0.02232440","226.29145730","226.29990312","-0.00844582"
"10.00000000","Strong","1","1","NWPR","39.67324690","40.00000000","0.98757371","1","0.16399392","1","1","4500.59646897","4500.45000000","0.14646897","229.21454382","229.22225933","-0.00771551"
"11.00000000","Strong","1","1","NWPR","39.61174589","40.00000000","0.99075102","1","0.12240647","1","1","4500.61838475","4500.49231952","0.12606524","232.13691245","232.14464324","-0.00773078"
"12.00000000","Strong","1","1","NWPR","39.60651870","40.00000000","0.99266204","1","0.09137525","1","1","4500.63847231","4500.53389263","0.10457968","235.05962111","235.06705439","-0.00743327"
"13.00000000","Strong","1","1","NWPR","39.66372542","40.00000000","0.99330619","1","0.40709265","1","1","4500.99686291","4500.57466020","0.42220272","237.98255696","237.98949227","-0.00693531"
"14.00000000","Strong","1","1","NWPR","39.61168510","40.00000000","0.99137421","1","0.22467790","1","1","4500.84243770","4500.61456530","0.22787239","240.90581394","240.91195635","-0.00614241"
"15.00000000","Strong","1","1","NWPR","39.58756207","40.00000000","0.99227525","1","-0.62726796","1","1","4500.03205425","4500.65355339","-0.62149914","243.82630725","243.83444605","-0.00813880"
"16.00000000","Strong","1","1","NWPR","39.64759765","40.00000000","0.99295675","1","-0.06461380","1","1","4500.60389923","4500.69157241","-0.08767318","246.74927094","246.75696076","-0.00768982"
"17.00000000","Strong","1","1","NWPR","39.69679823","40.00000000","0.99296370","1","-0.19800194","1","1","4500.52086430","4500.72857298","-0.20770869","249.67421919","249.67949982","-0.00528064"
"18.00000000","Strong","1","1","NWPR","39.55776661","40.00000000","0.99356668","1","0.14017278","1","1","4500.90390963","4500.76450850","0.13940114","252.59833590","252.60206257","-0.00372667"
"19.00000000","Strong","1","1","NWPR","39.52847765","40.00000000","0.99253829","1","0.46558989","1","1","4501.27959045","4500.79933528","0.48025517","255.52282526","255.52464830","-0.00182303"
"20.00000000","Strong","1","1","NWPR","39.67579327","40.00000000","0.99216704","1","0.36524831","1","1","4501.22217528","4500.83301270","0.38916258","258.44793212","258.44725627","0.00067585"
"21.00000000","Strong","1","1","NWPR","39.69646688","40.00000000","0.99366271","1","0.17074925","1","1","4501.02910788","4500.86550326","0.16360461","261.37038137","261.36988572","0.00049565"
"22.00000000","Strong","1","1","NWPR","39.61097294","40.00000000","0.99320739","1","-0.21631061","1","1","4500.67476405","4500.89677273","-0.22200868","264.29259962","264.29253588","0.00006375"
"23.00000000","Strong","1","1","NWPR","39.50358621","40.00000000","0.99513075","1","0.11281882","1","1","4501.03226045","4500.92679021","0.10547024","267.21562031","267.21520593","0.00041438"
"24.00000000","Strong","1","1","NWPR","39.55910438","40.00000000","0.99246715","1","0.14614213","1","1","4501.10680175","4500.95552826","0.15127349","270.13829477","270.13789507","0.00039970"
"25.00000000","Strong","1","1","NWPR","39.50435957","40.00000000","0.99307746","1","0.10899497","1","1","4501.08840755","4500.98296291","0.10544463","273.06052213","273.06060244","-0.00008031"
"26.00000000","Strong","1","1","NWPR","39.50692761","40.00000000","0.99280322","1","-0.11021807","1","1","4500.89275416","4501.00907380","-0.11631964","275.98566535","275.98332720","0.00233815"
