time_s,frame_id,event,from_state,to_state,command_id
1.32000000,66,SyncLocked,PullIn,PullIn,66
2.18000000,109,StateRequested,PullIn,Lock,110
2.20000000,110,StateCommitted,PullIn,Lock,110
3.26000000,163,StateRequested,Lock,Strong,164
3.28000000,164,StateCommitted,Lock,Strong,164
54.48000000,2724,StateRequested,Strong,LongFast,2725
54.50000000,2725,StateCommitted,Strong,LongFast,2725
57.68000000,2884,StateRequested,LongFast,LongLock,2885
57.70000000,2885,StateCommitted,LongFast,LongLock,2885
60.88000000,3044,StateRequested,LongLock,Medium,3045
60.90000000,3045,StateCommitted,LongLock,Medium,3045
94.48000000,4724,StateRequested,Medium,Weak,4725
94.50000000,4725,StateCommitted,Medium,Weak,4725
158.16000000,7908,StateRequested,Weak,Medium,7909
158.18000000,7909,StateCommitted,Weak,Medium,7909
174.48000000,8724,StateRequested,Medium,Strong,8725
174.50000000,8725,StateCommitted,Medium,Strong,8725
