time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Aided,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,0,0.00000000,0,0,4499.90030000,4500.00092360,-0.10062360,200.10844026,200.05844156,0.04999870,24.00000000
1.00000000,Aided,1,0,NWPR,0.00000000,1,24.92613891,0.78808687,0,0.00000000,1,1,4499.92598737,4500.04616798,-0.12018061,202.95887724,202.92209291,0.03678432,24.00000000
2.00000000,Aided,1,0,NWPR,0.00000000,1,23.06520190,0.60780884,0,0.00000000,1,1,4499.98031993,4500.09226423,-0.11194430,205.87773749,205.84421579,0.03352170,24.00000000
3.00000000,Aided,1,0,NWPR,0.00000000,1,22.78779434,0.57013407,0,0.00000000,1,1,4500.04273096,4500.13821723,-0.09548628,208.80614005,208.76636855,0.03977150,24.00000000
4.00000000,Aided,1,1,NWPR,23.24974724,1,24.12142346,0.44732356,0,0.00000000,1,1,4500.10352456,4500.18395585,-0.08043129,211.71049487,211.68855109,0.02194379,24.00000000
5.00000000,Aided,1,1,NWPR,23.31717785,1,22.27615999,0.46556749,0,-0.00000000,1,1,4500.14142310,4500.22940952,-0.08798642,214.61950889,214.61076324,0.00874565,24.00000000
6.00000000,Aided,1,1,NWPR,23.22684545,1,23.66754979,0.59871261,0,-0.00000000,1,1,4500.25057865,4500.27450850,-0.02392985,217.53364229,217.53300479,0.00063750,24.00000000
7.00000000,Aided,1,1,NWPR,23.18143670,1,20.66380690,0.72415287,0,-0.00000000,1,1,4500.27099203,4500.31918397,-0.04819194,220.44844056,220.45527549,-0.00683493,24.00000000
8.00000000,Aided,1,1,NWPR,23.16008604,1,22.90506043,0.78521889,0,-0.00000000,1,1,4500.37652954,4500.36336832,0.01316122,223.36932962,223.37757505,-0.00824543,24.00000000
9.00000000,Aided,1,1,NWPR,23.14950092,1,21.97476617,0.78405166,0,-0.00000000,1,1,4500.43347244,4500.40699525,0.02647719,226.28943680,226.29990312,-0.01046633,24.00000000
10.00000000,Aided,1,1,NWPR,23.25650959,1,21.92523799,0.77517071,0,-0.00000000,1,1,4500.42796312,4500.45000000,-0.02203688,229.21259559,229.22225933,-0.00966373,24.00000000
11.00000000,Aided,1,1,NWPR,23.38316369,1,24.27673514,0.80566517,0,-0.00000000,1,1,4500.48543053,4500.49231952,-0.00688898,232.13726784,232.14464324,-0.00737539,24.00000000
12.00000000,Aided,1,1,NWPR,23.56190357,1,23.95580542,0.76512733,0,-0.00000000,1,1,4500.59549159,4500.53389263,0.06159896,235.05264254,235.06705439,-0.01441184,24.00000000
