time_s,frame_id,event,from_state,to_state
1.10000000,55,SyncLocked,PullIn,PullIn
1.48000000,74,StateRequested,PullIn,Lock
1.50000000,75,StateCommitted,PullIn,Lock
3.64000000,182,StateRequested,Lock,Strong
3.66000000,183,StateCommitted,Lock,Strong
188.92000000,9446,StateRequested,Strong,LongFast
188.94000000,9447,StateCommitted,Strong,LongFast
192.12000000,9606,StateRequested,LongFast,LongLock
192.14000000,9607,StateCommitted,LongFast,LongLock
195.32000000,9766,StateRequested,LongLock,Medium
195.34000000,9767,StateCommitted,LongLock,Medium
267.64000000,13382,StateRequested,Medium,Weak
267.66000000,13383,StateCommitted,Medium,Weak
509.88000000,25494,StateRequested,Weak,Medium
509.90000000,25495,StateCommitted,Weak,Medium
