time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,PullIn,1,0,M2M4,0.00000000,0,0.00000000,0.11333468,0,0.00000000,0,0,4437.50030000,4500.00092360,-62.50062360,200.35762987,200.05844156,0.29918831,40.00000000
1.00000000,PullIn,1,1,M2M4,39.25363387,0,0.00000000,0.06036812,0,0.00000000,1,1,4512.29080647,4500.04616798,12.24463849,202.89614285,202.92209291,-0.02595007,40.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,1,39.23761533,0.43370825,1,-1.46004162,0,1,4500.22641513,4500.09226423,0.13415090,205.85783459,205.84421579,0.01361880,40.00000000
3.00000000,Lock,1,1,NWPR,39.33456724,1,39.29543754,0.36768251,1,-0.13980655,1,1,4500.15790862,4500.13821723,0.01969138,208.76985214,208.76636855,0.00348359,40.00000000
4.00000000,Strong,1,1,NWPR,39.33200456,1,39.72028805,0.63430331,1,0.44868095,1,1,4500.26367343,4500.18395585,0.07971759,211.68336477,211.68855109,-0.00518632,40.00000000
5.00000000,Strong,1,1,NWPR,39.39722768,1,39.22881728,0.79097325,1,0.12950228,1,1,4500.52466593,4500.22940952,0.29525641,214.59950671,214.61076324,-0.01125653,40.00000000
6.00000000,Strong,1,1,NWPR,39.39034291,1,39.17018804,0.86993544,1,-0.01070861,1,1,4500.19635161,4500.27450850,-0.07815689,217.51785121,217.53300479,-0.01515358,40.00000000
7.00000000,Strong,1,1,NWPR,39.31485030,1,38.66817336,0.94443085,1,0.11239014,1,1,4500.44949271,4500.31918397,0.13030873,220.43881901,220.45527549,-0.01645649,40.00000000
8.00000000,Strong,1,1,NWPR,39.24653731,1,39.23600570,0.97462743,1,-0.01131781,1,1,4500.34695281,4500.36336832,-0.01641551,223.35933449,223.37757505,-0.01824056,40.00000000
9.00000000,Strong,1,1,NWPR,39.35854059,1,39.11880767,0.98498032,1,0.06398912,1,1,4500.48823463,4500.40699525,0.08123938,226.28194176,226.29990312,-0.01796137,40.00000000
10.00000000,Strong,1,1,NWPR,39.46348553,1,38.97335538,0.98858937,1,-0.30915383,1,1,4500.11157878,4500.45000000,-0.33842122,229.20464721,229.22225933,-0.01761211,40.00000000
11.00000000,Strong,1,1,NWPR,39.52838709,1,39.22980565,0.99121948,1,-0.10832189,1,1,4500.39219181,4500.49231952,-0.10012771,232.12790518,232.14464324,-0.01673806,40.00000000
