time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Deep,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,0,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.10844026,200.05844156,0.04999870,12.00000000
1.00000000,Deep,1,0,NWPR,0.00000000,1,18.59364919,0.30393301,0,0.00000000,1,1,4499.91850203,4500.04616798,-0.12766594,202.97152642,202.92209291,0.04943351,12.00000000
2.00000000,Deep,1,0,NWPR,0.00000000,1,10.33701508,0.42553132,0,-0.00000000,1,1,4499.92439455,4500.09226423,-0.16786968,205.89650302,205.84421579,0.05228723,12.00000000
3.00000000,Deep,1,0,NWPR,0.00000000,1,0.98681052,0.24782648,0,-0.00000000,1,1,4499.93971678,4500.13821723,-0.19850045,208.82543417,208.76636855,0.05906562,12.00000000
4.00000000,Deep,1,0,NWPR,0.00000000,1,15.56538038,0.06601643,0,-0.00000000,1,1,4499.92295534,4500.18395585,-0.26100051,211.74118915,211.68855109,0.05263806,12.00000000
5.00000000,Deep,1,0,NWPR,0.00000000,1,0.00000000,0.02415691,0,-0.00000000,1,1,4499.99148940,4500.22940952,-0.23792012,214.65844014,214.61076324,0.04767690,12.00000000
6.00000000,Deep,1,0,NWPR,0.00000000,1,15.82000466,0.13229348,0,0.00000000,1,1,4499.96804569,4500.27450850,-0.30646280,217.57686814,217.53300479,0.04386335,12.00000000
7.00000000,Deep,1,0,NWPR,0.00000000,1,0.00000000,0.18039899,0,-0.00000000,1,1,4499.98689060,4500.31918397,-0.33229338,220.49500864,220.45527549,0.03973315,12.00000000
8.00000000,Deep,1,0,NWPR,0.00000000,1,0.00000000,0.11155476,0,0.00000000,1,1,4499.88273069,4500.36336832,-0.48063763,223.41952767,223.37757505,0.04195262,12.00000000
9.00000000,Deep,1,0,NWPR,0.00000000,1,8.43363044,0.08267812,0,-0.00000000,1,1,4499.79234015,4500.40699525,-0.61465510,226.34652502,226.29990312,0.04662189,12.00000000
10.00000000,Deep,1,1,NWPR,11.64628491,1,0.00000000,0.06211392,0,-0.00000000,1,1,4499.78430759,4500.45000000,-0.66569241,229.26799803,229.22225933,0.04573870,12.00000000
11.00000000,Deep,1,1,NWPR,11.94663792,1,13.46582967,0.13824216,0,0.00000000,1,1,4499.56779838,4500.49231952,-0.92452114,232.18831474,232.14464324,0.04367151,12.00000000
12.00000000,Deep,1,1,NWPR,11.86171912,1,16.09716963,0.09907508,0,-0.00000000,1,1,4499.64248774,4500.53389263,-0.89140489,235.11172126,235.06705439,0.04466687,12.00000000
13.00000000,Deep,1,1,NWPR,11.91310228,1,6.92458376,0.16332027,0,-0.00000000,1,1,4499.47366266,4500.57466020,-1.10099754,238.03365423,237.98949227,0.04416196,12.00000000
14.00000000,Deep,1,1,NWPR,12.27319687,1,14.23812086,0.21307515,0,-0.00000000,1,1,4499.60573068,4500.61456530,-1.00883462,240.95531559,240.91195635,0.04335924,12.00000000
15.00000000,Deep,1,1,NWPR,12.50263390,1,10.73226502,0.27609005,0,-0.00000000,1,1,4499.55633494,4500.65355339,-1.09721845,243.87875935,243.83444605,0.04431330,12.00000000
16.00000000,Deep,1,1,NWPR,12.85994632,1,0.00000000,0.02976096,0,-0.00000000,1,1,4499.43135321,4500.69157241,-1.26021920,246.80008177,246.75696076,0.04312101,12.00000000
17.00000000,Deep,1,1,NWPR,12.90440227,1,15.75768787,0.08388213,0,0.00000000,1,1,4499.45054442,4500.72857298,-1.27802857,249.72049626,249.67949982,0.04099644,12.00000000
18.00000000,Deep,1,1,NWPR,13.01218877,1,15.64789697,0.10606690,0,0.00000000,1,1,4499.24081710,4500.76450850,-1.52369140,252.64408235,252.60206257,0.04201978,12.00000000
19.00000000,Deep,1,1,NWPR,13.09059588,1,11.09821877,0.03399085,0,-0.00000000,1,1,4499.30723939,4500.79933528,-1.49209589,255.56437923,255.52464830,0.03973093,12.00000000
20.00000000,Deep,1,1,NWPR,13.04915068,1,15.97129536,0.17783304,0,0.00000000,1,1,4499.49528770,4500.83301270,-1.33772500,258.48195773,258.44725627,0.03470146,12.00000000
21.00000000,Deep,1,1,NWPR,12.81234460,1,0.00000000,0.18831762,0,0.00000000,1,1,4499.40215526,4500.86550326,-1.46334800,261.40374348,261.36988572,0.03385776,12.00000000
22.00000000,Deep,1,1,NWPR,12.51061863,1,19.01043144,0.15228273,0,-0.00000000,1,1,4499.43023305,4500.89677273,-1.46653968,264.32048285,264.29253588,0.02794697,12.00000000
23.00000000,Deep,1,1,NWPR,12.41643568,1,14.62589045,0.08405953,0,0.00000000,1,1,4499.38746693,4500.92679021,-1.53932328,267.23805059,267.21520593,0.02284466,12.00000000
24.00000000,Deep,1,1,NWPR,12.22427665,1,14.50729336,0.25028174,0,0.00000000,1,1,4499.35902788,4500.95552826,-1.59650038,270.14846991,270.13789507,0.01057484,12.00000000
25.00000000,Deep,1,1,NWPR,11.97432691,1,11.48353057,0.09637491,0,0.00000000,1,1,4499.48485463,4500.98296291,-1.49810829,273.06286463,273.06060244,0.00226219,12.00000000
26.00000000,Deep,1,1,NWPR,11.83423519,1,17.65074859,0.19679620,0,0.00000000,1,1,4499.49903899,4501.00907380,-1.51003481,275.98041199,275.98332720,-0.00291521,12.00000000
27.00000000,Deep,1,1,NWPR,12.05052129,1,8.93023437,0.14388752,0,0.00000000,1,1,4499.41994889,4501.03384417,-1.61389528,278.89685016,278.90606848,-0.00921832,12.00000000
28.00000000,Deep,1,1,NWPR,11.78673760,1,0.00000000,0.18796327,0,0.00000000,1,1,4499.28579787,4501.05726095,-1.77146308,281.81689348,281.82882540,-0.01193192,12.00000000
