time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,LongFast,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.10844026,200.05844156,0.04999870,26.00000000
1.00000000,LongFast,1,0,NWPR,0.00000000,1,26.61932417,0.80714834,1,-0.31525895,1,1,4499.67607837,4500.04616798,-0.37008960,202.91679812,202.92209291,-0.00529479,26.00000000
2.00000000,LongFast,1,0,NWPR,0.00000000,1,25.08650359,0.84790460,1,0.07914354,1,1,4500.02473713,4500.09226423,-0.06752710,205.88257326,205.84421579,0.03835747,26.00000000
3.00000000,LongFast,1,0,NWPR,0.00000000,1,24.85798556,0.83573158,1,0.29391902,1,1,4500.11843876,4500.13821723,-0.01977847,208.78457181,208.76636855,0.01820326,26.00000000
4.00000000,LongFast,1,1,NWPR,25.27079006,1,26.03424050,0.46656996,1,-0.08868926,1,1,4499.65270497,4500.18395585,-0.53125087,211.67087406,211.68855109,-0.01767703,26.00000000
5.00000000,LongFast,1,1,NWPR,25.30847036,1,24.60718183,0.60292758,1,0.22275625,1,1,4500.15917338,4500.22940952,-0.07023614,214.62059060,214.61076324,0.00982736,26.00000000
6.00000000,LongFast,1,1,NWPR,25.24390770,1,25.41683314,0.71481636,1,-0.08680649,1,1,4500.05811331,4500.27450850,-0.21639518,217.51849045,217.53300479,-0.01451434,26.00000000
7.00000000,LongFast,1,1,NWPR,25.21047279,1,23.34045076,0.69582826,1,-0.32095968,1,1,4500.11645866,4500.31918397,-0.20272532,220.48331186,220.45527549,0.02803637,26.00000000
8.00000000,LongFast,1,1,NWPR,25.17445398,1,24.98368218,0.78728786,1,0.44263049,1,1,4501.05062303,4500.36336832,0.68725471,223.33849495,223.37757505,-0.03908010,26.00000000
9.00000000,LongFast,1,1,NWPR,25.15593055,1,24.33089527,0.69770918,1,-0.36753673,1,1,4500.39857113,4500.40699525,-0.00842412,226.31066414,226.29990312,0.01076101,26.00000000
10.00000000,LongFast,1,1,NWPR,25.23403165,1,24.06511575,0.75066865,1,-0.07380012,1,1,4500.50129761,4500.45000000,0.05129761,229.19401326,229.22225933,-0.02824607,26.00000000
11.00000000,LongFast,1,1,NWPR,25.33219606,1,25.75800190,0.53915057,1,-0.15380600,1,1,4500.30079093,4500.49231952,-0.19152859,232.13638778,232.14464324,-0.00825545,26.00000000
12.00000000,LongFast,1,1,NWPR,25.47162465,1,25.46355500,0.67911624,1,-0.42954853,1,1,4500.18535757,4500.53389263,-0.34853505,235.02005106,235.06705439,-0.04700332,26.00000000
