time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Medium,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.10844026,200.05844156,0.04999870,18.00000000
1.00000000,Medium,1,0,NWPR,0.00000000,1,21.11342631,0.39115431,1,0.00000000,1,1,4499.98097167,4500.04616798,-0.06519631,202.97143905,202.92209291,0.04934614,18.00000000
2.00000000,Medium,1,0,NWPR,0.00000000,1,17.29656491,0.54305814,1,0.30106742,1,1,4500.54234573,4500.09226423,0.45008150,205.90377442,205.84421579,0.05955864,18.00000000
3.00000000,Medium,1,0,NWPR,0.00000000,1,15.39674325,0.14925619,1,0.06407721,1,1,4501.26906259,4500.13821723,1.13084536,208.83308795,208.76636855,0.06671940,18.00000000
4.00000000,Medium,1,1,NWPR,17.39613759,1,19.14815597,0.21558255,1,-0.09218149,1,1,4500.69098790,4500.18395585,0.50703205,211.74529767,211.68855109,0.05674659,18.00000000
5.00000000,Medium,1,1,NWPR,17.54369746,1,13.29966881,0.10653190,1,-0.14065754,1,1,4503.34628188,4500.22940952,3.11687235,214.65822192,214.61076324,0.04745869,18.00000000
6.00000000,Medium,1,1,NWPR,17.10794037,1,18.81396016,0.03886018,1,-0.28059698,1,1,4504.69868708,4500.27450850,4.42417858,217.56352112,217.53300479,0.03051633,18.00000000
7.00000000,Medium,1,1,NWPR,16.88616402,1,11.79071158,0.12960766,1,-0.10072768,1,1,4504.07285815,4500.31918397,3.75367417,220.47309254,220.45527549,0.01781704,18.00000000
8.00000000,Medium,1,1,NWPR,16.86238434,1,16.11472884,0.06019225,1,0.00000000,1,1,4502.87654026,4500.36336832,2.51317194,223.39734581,223.37757505,0.01977076,18.00000000
9.00000000,Medium,1,1,NWPR,16.88320515,1,14.47344717,0.07776534,1,0.00000000,1,1,4503.25966753,4500.40699525,2.85267228,226.31172952,226.29990312,0.01182639,18.00000000
10.00000000,Medium,1,1,NWPR,17.24956014,1,13.72391254,0.20025995,1,0.12469032,1,1,4502.08089228,4500.45000000,1.63089228,229.23423281,229.22225933,0.01197349,18.00000000
11.00000000,Medium,1,1,NWPR,17.60652978,1,18.91917512,0.28283375,1,0.00000000,1,1,4500.57835194,4500.49231952,0.08603242,232.15127098,232.14464324,0.00662774,18.00000000
12.00000000,Medium,1,1,NWPR,17.93641508,1,19.07603129,0.29122397,1,0.00000000,1,1,4499.29043573,4500.53389263,-1.24345689,235.06496463,235.06705439,-0.00208976,18.00000000
13.00000000,Medium,1,1,NWPR,17.98571867,1,13.49764715,0.10850198,1,0.04491519,1,1,4498.84587741,4500.57466020,-1.72878279,237.97712786,237.98949227,-0.01236442,18.00000000
14.00000000,Medium,1,1,NWPR,18.01871785,1,19.16784772,0.23856143,1,0.16315521,1,1,4500.30013331,4500.61456530,-0.31443200,240.89314528,240.91195635,-0.01881107,18.00000000
15.00000000,Medium,1,1,NWPR,18.07161017,1,17.83043341,0.21963244,1,0.00000000,1,1,4500.15678172,4500.65355339,-0.49677167,243.81442295,243.83444605,-0.02002310,18.00000000
16.00000000,Medium,1,1,NWPR,18.04146830,1,13.02153081,0.07474869,1,0.28226444,1,1,4500.20843039,4500.69157241,-0.48314202,246.73882344,246.75696076,-0.01813731,18.00000000
