time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Strong,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.43946659,0,0,4500.34562865,4500.00092360,0.34470505,200.10844026,200.05844156,0.04999870,26.00000000
1.00000000,Strong,1,0,NWPR,0.00000000,1,26.57188754,0.88585774,1,0.27281924,1,1,4500.25758003,4500.04616798,0.21141205,202.95836657,202.92209291,0.03627366,26.00000000
2.00000000,Strong,1,0,NWPR,0.00000000,1,25.15325609,0.88702732,1,0.30249845,1,1,4500.42131901,4500.09226423,0.32905478,205.87631752,205.84421579,0.03210173,26.00000000
3.00000000,Strong,1,0,NWPR,0.00000000,1,24.93964768,0.88597658,1,0.90309614,1,1,4501.12083718,4500.13821723,0.98261994,208.79259766,208.76636855,0.02622911,26.00000000
4.00000000,Strong,1,1,NWPR,25.24361971,1,25.93810281,0.87460353,1,0.90063061,1,1,4501.16431241,4500.18395585,0.98035656,211.70470576,211.68855109,0.01615467,26.00000000
5.00000000,Strong,1,1,NWPR,25.29851881,1,24.60575267,0.83986150,1,-0.02717637,1,1,4500.20263883,4500.22940952,-0.02677070,214.61693117,214.61076324,0.00616794,26.00000000
6.00000000,Strong,1,1,NWPR,25.24907497,1,25.51811242,0.86242104,1,0.00282611,1,1,4500.25767196,4500.27450850,-0.01683653,217.53250839,217.53300479,-0.00049640,26.00000000
7.00000000,Strong,1,1,NWPR,25.22746968,1,23.31746275,0.87983073,1,0.30050788,1,1,4500.60361957,4500.31918397,0.28443559,220.45412785,220.45527549,-0.00114765,26.00000000
8.00000000,Strong,1,1,NWPR,25.21175828,1,25.03474381,0.88197769,1,-0.04963641,1,1,4500.30986796,4500.36336832,-0.05350036,223.36974326,223.37757505,-0.00783179,26.00000000
9.00000000,Strong,1,1,NWPR,25.19910552,1,24.19607923,0.85484448,1,0.27495993,1,1,4500.70622907,4500.40699525,0.29923382,226.29367592,226.29990312,-0.00622720,26.00000000
10.00000000,Strong,1,1,NWPR,25.27478042,1,24.18863255,0.84283089,1,-0.57345184,1,1,4499.85626342,4500.45000000,-0.59373658,229.21450713,229.22225933,-0.00775220,26.00000000
11.00000000,Strong,1,1,NWPR,25.36454024,1,25.98597053,0.85785965,1,-0.08302548,1,1,4500.40299729,4500.49231952,-0.08932223,232.13692399,232.14464324,-0.00771925,26.00000000
12.00000000,Strong,1,1,NWPR,25.51147976,1,25.77698212,0.82362807,1,-0.14017479,1,1,4500.53296192,4500.53389263,-0.00093071,235.05192100,235.06705439,-0.01513338,26.00000000
13.00000000,Strong,1,1,NWPR,25.51399408,1,23.99762561,0.84488191,1,0.24614106,1,1,4500.87881719,4500.57466020,0.30415700,237.97044999,237.98949227,-0.01904228,26.00000000
14.00000000,Strong,1,1,NWPR,25.49915420,1,25.97793655,0.87936202,1,-0.17873283,1,1,4500.41697488,4500.61456530,-0.19759043,240.88950923,240.91195635,-0.02244713,26.00000000
15.00000000,Strong,1,1,NWPR,25.54771437,1,25.35981444,0.86087744,1,0.37707693,1,1,4501.00735358,4500.65355339,0.35380019,243.81353748,243.83444605,-0.02090858,26.00000000
16.00000000,Strong,1,1,NWPR,25.56572033,1,24.94921492,0.86180096,1,-0.07181750,1,1,4500.58658057,4500.69157241,-0.10499184,246.73673024,246.75696076,-0.02023052,26.00000000
17.00000000,Strong,1,1,NWPR,25.62080623,1,25.83445184,0.85300945,1,0.07062802,1,1,4500.80470665,4500.72857298,0.07613367,249.66009994,249.67949982,-0.01939988,26.00000000
18.00000000,Strong,1,1,NWPR,25.70441128,1,26.61355817,0.85831609,1,-0.07013772,1,1,4500.70835279,4500.76450850,-0.05615571,252.58874761,252.60206257,-0.01331496,26.00000000
19.00000000,Strong,1,1,NWPR,25.68934432,1,26.48018027,0.85694966,1,-0.15077104,1,1,4500.65706123,4500.79933528,-0.14227405,255.51634683,255.52464830,-0.00830147,26.00000000
20.00000000,Strong,1,1,NWPR,25.70107941,1,26.33054481,0.85986462,1,-0.64564511,1,1,4500.14175911,4500.83301270,-0.69125359,258.43621453,258.44725627,-0.01104174,26.00000000
21.00000000,Strong,1,1,NWPR,25.68083931,1,23.78521866,0.82914683,1,0.01081612,1,1,4500.76751255,4500.86550326,-0.09799071,261.35958181,261.36988572,-0.01030391,26.00000000
22.00000000,Strong,1,1,NWPR,25.54178708,1,25.43992803,0.86218534,1,0.45617382,1,1,4501.34267200,4500.89677273,0.44589927,264.29145149,264.29253588,-0.00108438,26.00000000
23.00000000,Strong,1,1,NWPR,25.40791575,1,26.22899888,0.86003822,1,-0.40846097,1,1,4500.56511316,4500.92679021,-0.36167706,267.21126624,267.21520593,-0.00393969,26.00000000
24.00000000,Strong,1,1,NWPR,25.27992815,1,26.39743429,0.87787060,1,0.00472760,1,1,4501.01582264,4500.95552826,0.06029438,270.13121311,270.13789507,-0.00668196,26.00000000
25.00000000,Strong,1,1,NWPR,25.30987123,1,25.79268537,0.89463181,1,-0.06819252,1,1,4500.92051148,4500.98296291,-0.06245144,273.05805160,273.06060244,-0.00255084,26.00000000
26.00000000,Strong,1,1,NWPR,25.37855755,1,26.29216903,0.86054973,1,-0.40976823,1,1,4500.55897709,4501.00907380,-0.45009671,275.97714142,275.98332720,-0.00618578,26.00000000
27.00000000,Strong,1,1,NWPR,25.48990543,1,25.52440289,0.86163560,1,0.33821954,1,1,4501.36043854,4501.03384417,0.32659437,278.89956092,278.90606848,-0.00650756,26.00000000
