"time_s","state","frame_valid","cn0_valid","cn0_method","cn0_db_hz","truth_cn0_db_hz","pli","pll_enabled","pll_control_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","PullIn","1","0","M2M4","0.00000000","28.00000000","0.43131995","0","0.00000000","0","1","4468.75000000","4500.00092360","-31.25092360","201.07717391","200.78260878","0.29456514"
"1.00000000","PullIn","1","1","M2M4","26.38631930","28.00000000","0.14462981","0","0.00000000","1","1","4506.63376094","4500.04616798","6.58759296","239.11762216","239.13063554","-0.01301338"
"2.00000000","PullIn","1","0","M2M4","26.70226544","28.00000000","0.07992920","0","0.00000000","1","1","4500.32875636","4500.09226423","0.23649212","278.07127197","278.26167228","-0.19040031"
"3.00000000","PullIn","1","1","M2M4","25.91829226","28.00000000","0.08203800","0","-0.00000000","1","1","4499.79099842","4500.13821723","-0.34721881","317.34186128","317.39310928","-0.05124800"
"4.00000000","PullIn","1","1","M2M4","25.19469372","28.00000000","0.10256055","0","0.00000000","1","1","4499.94187348","4500.18395585","-0.24208237","356.62230466","356.52494500","0.09735966"
"5.00000000","PullIn","1","0","M2M4","24.87904183","28.00000000","0.15774329","0","-0.00000000","1","1","4499.99476820","4500.22940952","-0.23464132","395.72304840","395.65717726","0.06587115"
"6.00000000","PullIn","1","1","M2M4","26.57900371","28.00000000","0.16552991","0","0.00000000","1","1","4500.41464525","4500.27450850","0.14013675","434.67773175","434.78980327","-0.11207151"
"7.00000000","Lock","1","0","NWPR","0.00000000","28.00000000","0.77736433","1","-0.37483177","1","1","4499.35091768","4500.31918397","-0.96826629","473.84212577","473.92281965","-0.08069389"
"8.00000000","Lock","1","0","NWPR","0.00000000","28.00000000","0.57417536","1","0.23743082","1","1","4500.38627894","4500.36336832","0.02291062","513.08650256","513.05622244","0.03028012"
"9.00000000","Strong","1","0","NWPR","0.00000000","28.00000000","0.60447757","1","-0.16418561","1","1","4500.50858587","4500.40699525","0.10159062","552.28394979","552.19000705","0.09394274"
"10.00000000","Strong","1","0","NWPR","0.00000000","28.00000000","0.76142863","1","0.01776011","1","1","4500.46437142","4500.45000000","0.01437142","591.46040204","591.32416838","0.13623367"
"11.00000000","Strong","1","1","NWPR","26.94633252","28.00000000","0.75288306","1","-0.35107836","1","1","4499.98446325","4500.49231952","-0.50785627","630.62897933","630.45870072","0.17027861"
"12.00000000","Strong","1","1","NWPR","26.81673674","28.00000000","0.78117099","1","0.09730803","1","1","4500.50381594","4500.53389263","-0.03007668","669.78548027","669.59359786","0.19188241"
"13.00000000","Strong","1","1","NWPR","26.49223685","28.00000000","0.75870614","1","-0.11075248","1","1","4500.44157153","4500.57466020","-0.13308866","708.92859099","708.72885304","0.19973795"
"14.00000000","Strong","1","1","NWPR","26.18656032","28.00000000","0.78404152","1","0.48832223","1","1","4501.15887771","4500.61456530","0.54431240","748.08126396","747.86445901","0.21680495"
"15.00000000","Strong","1","1","NWPR","25.97643019","28.00000000","0.80294121","1","0.27648540","1","1","4500.98566767","4500.65355339","0.33211428","787.21298706","787.00040804","0.21257903"
