"time_s","state","frame_valid","cn0_valid","cn0_method","cn0_db_hz","truth_cn0_db_hz","pli","pll_enabled","pll_control_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","PullIn","1","0","M2M4","0.00000000","40.00000000","0.11582344","0","0.00000000","0","1","4468.75000000","4500.00092360","-31.25092360","201.07717391","200.78260878","0.29456514"
"1.00000000","PullIn","1","1","M2M4","38.59344997","40.00000000","0.10936349","0","0.00000000","1","1","4506.40729589","4500.04616798","6.36112791","239.10613247","239.13063554","-0.02450307"
"2.00000000","Lock","1","0","NWPR","0.00000000","40.00000000","0.52633756","1","-2.71338108","1","1","4499.97054332","4500.09226423","-0.12172091","278.25990757","278.26167228","-0.00176471"
"3.00000000","Strong","1","1","NWPR","39.40070060","40.00000000","0.57494503","1","0.25150536","1","1","4500.49844283","4500.13821723","0.36022560","317.37372017","317.39310928","-0.01938911"
"4.00000000","Strong","1","1","NWPR","39.48691967","40.00000000","0.64600142","1","-0.07555714","1","1","4500.17909953","4500.18395585","-0.00485631","356.49342978","356.52494500","-0.03151522"
"5.00000000","Strong","1","1","NWPR","39.45382277","40.00000000","0.85349131","1","-0.06160393","1","1","4500.16694846","4500.22940952","-0.06246106","395.61920953","395.65717726","-0.03796772"
"6.00000000","Strong","1","1","NWPR","39.47058624","40.00000000","0.93613130","1","0.09408152","1","1","4500.33359508","4500.27450850","0.05908658","434.74830636","434.78980327","-0.04149691"
"7.00000000","Strong","1","1","NWPR","39.50176248","40.00000000","0.96404456","1","0.06773311","1","1","4500.35946070","4500.31918397","0.04027673","473.88012471","473.92281965","-0.04269494"
"8.00000000","Strong","1","1","NWPR","39.43821979","40.00000000","0.97937542","1","0.03832208","1","1","4500.40010172","4500.36336832","0.03673339","513.01592339","513.05622244","-0.04029905"
"9.00000000","Strong","1","1","NWPR","39.24344891","40.00000000","0.98669927","1","-0.08879320","1","1","4500.33328262","4500.40699525","-0.07371263","552.15180204","552.19000705","-0.03820501"
"10.00000000","Strong","1","1","NWPR","39.27304491","40.00000000","0.98914186","1","-0.07039552","1","1","4500.39183029","4500.45000000","-0.05816971","591.28823518","591.32416838","-0.03593320"
"11.00000000","Strong","1","1","NWPR","39.26036797","40.00000000","0.98828833","1","0.11622292","1","1","4500.61924152","4500.49231952","0.12692200","630.42315095","630.45870072","-0.03554977"
"12.00000000","Strong","1","1","NWPR","39.30138423","40.00000000","0.98532025","1","-0.18906924","1","1","4500.33546147","4500.53389263","-0.19843116","669.56069558","669.59359786","-0.03290228"
