time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Aided,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,0,0.00000000,0,0,4499.90030000,4500.00092360,-0.10062360,200.83259130,200.78260878,0.04998253,24.00000000
1.00000000,Aided,1,0,NWPR,0.00000000,1,23.61872811,0.68560110,0,0.00000000,1,1,4499.92992133,4500.04616798,-0.11624665,239.16709075,239.13063554,0.03645521,24.00000000
2.00000000,Aided,1,0,NWPR,0.00000000,1,23.36648707,0.39238326,0,0.00000000,1,1,4499.95700708,4500.09226423,-0.13525715,278.29675963,278.26167228,0.03508735,24.00000000
3.00000000,Aided,1,0,NWPR,0.00000000,1,23.70988622,0.35176698,0,0.00000000,1,1,4499.98351705,4500.13821723,-0.15470019,317.41909839,317.39310928,0.02598911,24.00000000
4.00000000,Aided,1,0,NWPR,0.00000000,1,24.96201567,0.37189106,0,0.00000000,1,1,4500.03124896,4500.18395585,-0.15270689,356.56192099,356.52494500,0.03697599,24.00000000
5.00000000,Aided,1,1,NWPR,23.99527301,1,22.87291663,0.35442060,0,-0.00000000,1,1,4500.20246171,4500.22940952,-0.02694782,395.67681643,395.65717726,0.01963918,24.00000000
6.00000000,Aided,1,1,NWPR,23.78778056,1,21.77888871,0.42766044,0,-0.00000000,1,1,4500.36889473,4500.27450850,0.09438623,434.78632831,434.78980327,-0.00347496,24.00000000
7.00000000,Aided,1,1,NWPR,23.43810362,1,23.70766462,0.52425740,0,-0.00000000,1,1,4500.37087640,4500.31918397,0.05169242,473.90785186,473.92281965,-0.01496779,24.00000000
8.00000000,Aided,1,1,NWPR,23.24511932,1,23.55326785,0.58035012,0,0.00000000,1,1,4500.48190487,4500.36336832,0.11853654,513.03332546,513.05622244,-0.02289697,24.00000000
9.00000000,Aided,1,1,NWPR,23.00627884,1,23.83385005,0.37120933,0,0.00000000,1,1,4500.54170563,4500.40699525,0.13471038,552.15810638,552.19000705,-0.03190067,24.00000000
10.00000000,Aided,1,1,NWPR,23.03855633,1,23.86552017,0.32343730,0,0.00000000,1,1,4500.56569718,4500.45000000,0.11569718,591.30734345,591.32416838,-0.01682492,24.00000000
11.00000000,Aided,1,1,NWPR,23.33862246,1,23.16698512,0.52616323,0,0.00000000,1,1,4500.47590974,4500.49231952,-0.01640977,630.44144289,630.45870072,-0.01725783,24.00000000
12.00000000,Aided,1,1,NWPR,23.45219382,1,23.90252140,0.57598814,0,0.00000000,1,1,4500.58454119,4500.53389263,0.05064857,669.57353581,669.59359786,-0.02006204,24.00000000
13.00000000,Aided,1,1,NWPR,23.51966316,1,23.47692204,0.58135427,0,0.00000000,1,1,4500.55410001,4500.57466020,-0.02056019,708.70093635,708.72885304,-0.02791669,24.00000000
14.00000000,Aided,1,1,NWPR,23.49926048,1,22.25121383,0.61742000,0,-0.00000000,1,1,4500.67490820,4500.61456530,0.06034290,747.84460837,747.86445901,-0.01985064,24.00000000
15.00000000,Aided,1,1,NWPR,23.36951184,1,24.05403776,0.60819835,0,0.00000000,1,1,4500.62301808,4500.65355339,-0.03053531,786.99552644,787.00040804,-0.00488160,24.00000000
16.00000000,Aided,1,1,NWPR,23.32246135,1,22.99256437,0.69732485,0,0.00000000,1,1,4500.69388236,4500.69157241,0.00230994,826.11759655,826.13669191,-0.01909536,24.00000000
17.00000000,Aided,1,1,NWPR,23.25319467,1,21.59649297,0.57933392,0,0.00000000,1,1,4500.60510147,4500.72857298,-0.12347151,865.24501525,865.27330200,-0.02828674,24.00000000
18.00000000,Aided,1,1,NWPR,23.23921056,1,22.95069898,0.45372035,0,0.00000000,1,1,4500.66681536,4500.76450850,-0.09769314,904.37514980,904.41022923,-0.03507942,24.00000000
19.00000000,Aided,1,1,NWPR,23.22766169,1,23.42951817,0.45974427,0,0.00000000,1,1,4500.67572219,4500.79933528,-0.12361309,943.52078644,943.54746415,-0.02667771,24.00000000
20.00000000,Aided,1,1,NWPR,23.19993907,1,22.92629864,0.44367337,0,0.00000000,1,1,4500.73739815,4500.83301270,-0.09561455,982.66924638,982.68499694,-0.01575056,24.00000000
21.00000000,Aided,1,1,NWPR,23.16234317,1,23.30583677,0.38211968,0,-0.00000000,1,1,4500.89385358,4500.86550326,0.02835032,1021.80720246,1021.82281745,-0.01561499,24.00000000
22.00000000,Aided,1,1,NWPR,23.23774144,1,24.82081986,0.62914258,0,0.00000000,1,1,4500.95641589,4500.89677273,0.05964316,1060.95002958,1060.96091520,-0.01088562,24.00000000
23.00000000,Aided,1,1,NWPR,23.47858265,1,23.93434684,0.63734330,0,0.00000000,1,1,4500.96865096,4500.92679021,0.04186074,1100.08349349,1100.09927943,-0.01578595,24.00000000
24.00000000,Aided,1,1,NWPR,23.70529956,1,24.09910808,0.63259723,0,0.00000000,1,1,4501.01247839,4500.95552826,0.05695013,1139.22412028,1139.23789914,-0.01377886,24.00000000
25.00000000,Aided,1,1,NWPR,23.95714785,1,23.66680768,0.61433763,0,0.00000000,1,1,4501.02062879,4500.98296291,0.03766588,1178.37930049,1178.37676310,0.00253739,24.00000000
