time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.38000000,69,StateRequested,PullIn,Lock
1.40000000,70,StateCommitted,PullIn,Lock
2.68000000,134,StateRequested,Lock,Strong
2.70000000,135,StateCommitted,Lock,Strong
189.28000000,9464,StateRequested,Strong,LongFast
189.30000000,9465,StateCommitted,Strong,LongFast
192.48000000,9624,StateRequested,LongFast,LongLock
192.50000000,9625,StateCommitted,LongFast,LongLock
195.68000000,9784,StateRequested,LongLock,Medium
195.70000000,9785,StateCommitted,LongLock,Medium
258.58000000,12929,StateRequested,Medium,Weak
258.60000000,12930,StateCommitted,Medium,Weak
302.42000000,15121,StateRequested,Weak,Deep
302.44000000,15122,StateCommitted,Weak,Deep
463.22000000,23161,StateRequested,Deep,Weak
463.24000000,23162,StateCommitted,Deep,Weak
490.74000000,24537,StateRequested,Weak,Medium
490.76000000,24538,StateCommitted,Weak,Medium
561.46000000,28073,StateRequested,Medium,Strong
561.48000000,28074,StateCommitted,Medium,Strong
