time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,PullIn,1,0,M2M4,0.00000000,0,0.00000000,0.29549724,0,0.00000000,0,0,4468.75000000,4500.00092360,-31.25092360,201.07717391,200.78260878,0.29456514,40.00000000
1.00000000,PullIn,1,1,M2M4,39.03990102,0,0.00000000,0.12148002,0,0.00000000,1,1,4506.41012784,4500.04616798,6.36395986,239.10933877,239.13063554,-0.02129677,40.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,1,40.15977348,0.35114503,1,-2.80129987,1,1,4500.04531673,4500.09226423,-0.04694750,278.27121813,278.26167228,0.00954586,40.00000000
3.00000000,Strong,1,1,NWPR,39.81860985,1,40.21384280,0.52403046,1,0.17944540,1,1,4500.12631372,4500.13821723,-0.01190352,317.40395167,317.39310928,0.01084238,40.00000000
4.00000000,Strong,1,1,NWPR,39.67420224,1,39.28217012,0.71256446,1,0.15594221,1,1,4500.34982724,4500.18395585,0.16587139,356.54006483,356.52494500,0.01511983,40.00000000
5.00000000,Strong,1,1,NWPR,39.43206274,1,38.78332437,0.85547477,1,0.00391704,1,1,4500.34641997,4500.22940952,0.11701044,395.66986767,395.65717726,0.01269041,40.00000000
6.00000000,Strong,1,1,NWPR,39.33571128,1,39.20878213,0.93019679,1,-0.00841248,1,1,4500.35754418,4500.27450850,0.08303568,434.80160995,434.78980327,0.01180668,40.00000000
7.00000000,Strong,1,1,NWPR,39.30524662,1,39.33251711,0.96407705,1,0.04371418,1,1,4500.37938746,4500.31918397,0.06020349,473.93325331,473.92281965,0.01043366,40.00000000
8.00000000,Strong,1,1,NWPR,39.42037338,1,39.45728915,0.97917941,1,0.11513164,1,1,4500.44688857,4500.36336832,0.08352025,513.06542517,513.05622244,0.00920274,40.00000000
9.00000000,Strong,1,1,NWPR,39.49224168,1,40.39225935,0.98486236,1,0.11646543,1,1,4500.49281529,4500.40699525,0.08582004,552.20002853,552.19000705,0.01002148,40.00000000
