time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.38000000,69,StateRequested,PullIn,Lock
1.40000000,70,StateCommitted,PullIn,Lock
2.68000000,134,StateRequested,Lock,Strong
2.70000000,135,StateCommitted,Lock,Strong
122.08000000,6104,StateRequested,Strong,Weak
122.10000000,6105,StateCommitted,Strong,Weak
161.44000000,8072,StateRequested,Weak,Medium
161.46000000,8073,StateCommitted,Weak,Medium
167.84000000,8392,StateRequested,Medium,Strong
167.86000000,8393,StateCommitted,Medium,Strong
271.76000000,13588,StateRequested,Strong,Weak
271.78000000,13589,StateCommitted,Strong,Weak
311.44000000,15572,StateRequested,Weak,Medium
311.46000000,15573,StateCommitted,Weak,Medium
317.84000000,15892,StateRequested,Medium,Strong
317.86000000,15893,StateCommitted,Medium,Strong
422.16000000,21108,StateRequested,Strong,Weak
422.18000000,21109,StateCommitted,Strong,Weak
461.84000000,23092,StateRequested,Weak,Medium
461.86000000,23093,StateCommitted,Weak,Medium
468.24000000,23412,StateRequested,Medium,Strong
468.26000000,23413,StateCommitted,Medium,Strong
