time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Lock,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.30139651,0,1,4500.20562259,4500.00092360,0.20469899,200.83259130,200.78260878,0.04998253,28.00000000
1.00000000,Lock,1,0,NWPR,0.00000000,1,28.74286971,0.86321235,1,-0.37998221,1,1,4499.36407103,4500.04616798,-0.68209694,239.11718574,239.13063554,-0.01344980,28.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,1,29.04577662,0.83825391,1,-0.01304794,1,1,4500.01932667,4500.09226423,-0.07293756,278.28253775,278.26167228,0.02086547,28.00000000
3.00000000,Lock,1,0,NWPR,0.00000000,1,29.12964615,0.81695127,1,-0.59483970,1,1,4499.34578033,4500.13821723,-0.79243690,317.47297300,317.39310928,0.07986371,28.00000000
4.00000000,Lock,1,1,NWPR,27.67086650,1,26.86007492,0.79190286,1,0.53848674,1,1,4500.93162434,4500.18395585,0.74766850,356.56245107,356.52494500,0.03750607,28.00000000
5.00000000,Lock,1,1,NWPR,27.58506312,1,25.62347997,0.77376698,1,0.44200319,1,1,4500.86362447,4500.22940952,0.63421495,395.56575448,395.65717726,-0.09142277,28.00000000
6.00000000,Lock,1,1,NWPR,27.43110424,1,25.59965831,0.76749951,1,0.31373678,1,1,4500.70764604,4500.27450850,0.43313754,434.71864602,434.78980327,-0.07115724,28.00000000
7.00000000,Lock,1,1,NWPR,27.16362340,1,27.17727060,0.75716426,1,0.29347250,1,1,4500.73319044,4500.31918397,0.41400646,473.88326326,473.92281965,-0.03955640,28.00000000
8.00000000,Lock,1,1,NWPR,27.03466894,1,26.76236952,0.83651639,1,0.36673327,1,1,4500.84479886,4500.36336832,0.48143054,513.03436491,513.05622244,-0.02185752,28.00000000
9.00000000,Lock,1,1,NWPR,26.94515485,1,29.14970032,0.83965020,1,0.29796679,1,1,4500.81109791,4500.40699525,0.40410266,552.23867202,552.19000705,0.04866496,28.00000000
10.00000000,Lock,1,1,NWPR,26.98071718,1,27.90689785,0.85744725,1,-0.25722745,1,1,4500.08783233,4500.45000000,-0.36216767,591.35985359,591.32416838,0.03568522,28.00000000
11.00000000,Lock,1,1,NWPR,27.17725483,1,28.51930936,0.84893691,1,-0.20292699,1,1,4500.22567266,4500.49231952,-0.26664686,630.44183296,630.45870072,-0.01686775,28.00000000
12.00000000,Lock,1,1,NWPR,27.26312330,1,27.41834648,0.80644345,1,0.01430506,1,1,4500.59085183,4500.53389263,0.05695920,669.54840838,669.59359786,-0.04518948,28.00000000
13.00000000,Lock,1,1,NWPR,27.30041716,1,28.34024404,0.81694512,1,0.60491582,1,1,4501.41412160,4500.57466020,0.83946141,708.74666467,708.72885304,0.01781163,28.00000000
14.00000000,Lock,1,1,NWPR,27.32038940,1,27.13648557,0.80540249,1,0.04324079,1,1,4500.66691441,4500.61456530,0.05234910,747.93260377,747.86445901,0.06814476,28.00000000
15.00000000,Lock,1,1,NWPR,27.27195704,1,26.42313587,0.79546401,1,-0.05010288,1,1,4500.59324387,4500.65355339,-0.06030952,787.03145693,787.00040804,0.03104890,28.00000000
16.00000000,Lock,1,1,NWPR,27.21607861,1,27.26676721,0.84013263,1,-0.16981524,1,1,4500.46547175,4500.69157241,-0.22610066,826.09914607,826.13669191,-0.03754584,28.00000000
