time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Medium,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.83259130,200.78260878,0.04998253,18.00000000
1.00000000,Medium,1,0,NWPR,0.00000000,1,17.55997512,0.19183670,1,0.00000000,1,1,4500.03417679,4500.04616798,-0.01199119,239.16452672,239.13063554,0.03389118,18.00000000
2.00000000,Medium,1,0,NWPR,0.00000000,1,14.82731423,0.32750328,1,0.05336227,1,1,4499.95855616,4500.09226423,-0.13370807,278.28775950,278.26167228,0.02608722,18.00000000
3.00000000,Medium,1,0,NWPR,0.00000000,1,17.65273374,0.15868075,1,-0.57051606,1,1,4498.21771863,4500.13821723,-1.92049860,317.40648811,317.39310928,0.01337882,18.00000000
4.00000000,Medium,1,0,NWPR,0.00000000,1,17.05528801,0.16096727,1,-0.02455540,1,1,4498.80941553,4500.18395585,-1.37454032,356.52886173,356.52494500,0.00391673,18.00000000
5.00000000,Medium,1,0,NWPR,0.00000000,1,11.24117771,0.12095030,1,0.59152281,1,1,4499.41348463,4500.22940952,-0.81592490,395.64088799,395.65717726,-0.01628926,18.00000000
6.00000000,Medium,1,0,NWPR,0.00000000,1,9.72935291,0.10248040,1,-0.19788264,1,1,4499.03410896,4500.27450850,-1.24039954,434.74474176,434.78980327,-0.04506150,18.00000000
7.00000000,Medium,1,0,NWPR,0.00000000,1,16.98054574,0.07316945,1,0.18104017,1,1,4500.00196368,4500.31918397,-0.31722030,473.87179049,473.92281965,-0.05102916,18.00000000
8.00000000,Medium,1,0,NWPR,0.00000000,1,12.99476631,0.04066427,1,0.00000000,1,1,4498.93721508,4500.36336832,-1.42615325,512.99360751,513.05622244,-0.06261493,18.00000000
9.00000000,Medium,1,0,NWPR,0.00000000,1,10.58334492,0.16438614,1,-0.43583926,1,1,4498.08261736,4500.40699525,-2.32437789,552.11950713,552.19000705,-0.07049992,18.00000000
10.00000000,Medium,1,0,NWPR,0.00000000,1,8.67291268,0.31052944,1,-0.19597599,1,1,4498.07749208,4500.45000000,-2.37250792,591.23695635,591.32416838,-0.08721202,18.00000000
11.00000000,Medium,1,1,NWPR,14.96895464,1,13.25321508,0.01285638,1,-0.28436156,1,1,4499.44865688,4500.49231952,-1.04366264,630.36962064,630.45870072,-0.08908008,18.00000000
12.00000000,Medium,1,1,NWPR,14.69489287,1,16.96156720,0.14593064,1,-0.56948747,1,1,4500.85398157,4500.53389263,0.32008895,669.50668092,669.59359786,-0.08691694,18.00000000
13.00000000,Medium,1,1,NWPR,14.34702919,1,3.56943398,0.17130723,1,0.30595948,1,1,4502.59536664,4500.57466020,2.02070645,708.65474148,708.72885304,-0.07411155,18.00000000
14.00000000,Medium,1,1,NWPR,13.71667726,1,4.64284669,0.07874261,1,0.00000000,1,1,4502.30949143,4500.61456530,1.69492613,747.81306582,747.86445901,-0.05139319,18.00000000
15.00000000,Medium,1,1,NWPR,13.26051835,1,11.72742862,0.08914026,1,0.53099804,1,1,4502.94607962,4500.65355339,2.29252623,786.98243688,787.00040804,-0.01797116,18.00000000
16.00000000,Medium,1,1,NWPR,12.96750278,1,15.43567456,0.19189429,1,-0.31609615,1,1,4501.81325196,4500.69157241,1.12167955,826.13353792,826.13669191,-0.00315399,18.00000000
17.00000000,Medium,1,1,NWPR,12.99323831,1,14.52952259,0.08812613,1,-0.19171557,1,1,4500.85664403,4500.72857298,0.12807105,865.27506370,865.27330200,0.00176170,18.00000000
18.00000000,Medium,1,1,NWPR,12.89927543,1,14.09817217,0.30770700,1,0.12732732,1,1,4502.17955621,4500.76450850,1.41504771,904.41991151,904.41022923,0.00968229,18.00000000
19.00000000,Medium,1,1,NWPR,12.82287169,1,0.00000000,0.18287775,1,0.36419759,1,1,4502.86613026,4500.79933528,2.06679498,943.58701146,943.54746415,0.03954731,18.00000000
20.00000000,Medium,1,1,NWPR,12.78607510,1,13.86935289,0.14794221,1,-0.11382867,1,1,4502.11110977,4500.83301270,1.27809707,982.73111283,982.68499694,0.04611589,18.00000000
21.00000000,Medium,1,1,NWPR,13.07456077,1,17.55112601,0.28948040,1,0.55704918,1,1,4501.44541463,4500.86550326,0.57991137,1021.86700136,1021.82281745,0.04418392,18.00000000
22.00000000,Medium,1,1,NWPR,13.37679063,1,15.50266566,0.12141052,1,0.27933974,1,1,4499.82578929,4500.89677273,-1.07098344,1060.99525440,1060.96091520,0.03433920,18.00000000
23.00000000,Medium,1,1,NWPR,13.60663199,1,16.15204569,0.08827756,1,-0.54282229,1,1,4499.45969708,4500.92679021,-1.46709313,1100.12116182,1100.09927943,0.02188239,18.00000000
24.00000000,Medium,1,1,NWPR,14.12682852,1,18.50315435,0.24295978,1,0.51052731,1,1,4502.16870173,4500.95552826,1.21317347,1139.25746256,1139.23789914,0.01956342,18.00000000
25.00000000,Medium,1,1,NWPR,14.78537584,1,18.30979898,0.15381999,1,0.24732993,1,1,4501.43151078,4500.98296291,0.44854787,1178.41254391,1178.37676310,0.03578081,18.00000000
26.00000000,Medium,1,1,NWPR,15.37880645,1,13.98197605,0.14408695,1,-0.07195296,1,1,4501.67460340,4501.00907380,0.66552959,1217.56549193,1217.51585988,0.04963206,18.00000000
27.00000000,Medium,1,1,NWPR,15.74224831,1,17.40669249,0.02453370,1,0.00000000,1,1,4500.99815378,4501.03384417,-0.03569039,1256.70566248,1256.65517789,0.05048459,18.00000000
28.00000000,Medium,1,1,NWPR,16.00457479,1,16.58125047,0.06730071,1,0.00000000,1,1,4500.39674901,4501.05726095,-0.66051194,1295.83166716,1295.79470542,0.03696174,18.00000000
29.00000000,Medium,1,1,NWPR,16.18643473,1,15.78335149,0.06109132,1,0.13459101,1,1,4500.06086981,4501.07931477,-1.01844495,1334.95764629,1334.93443065,0.02321564,18.00000000
30.00000000,Medium,1,1,NWPR,16.45363880,1,16.14386748,0.00464637,1,-0.25737550,1,1,4498.78097737,4501.10000000,-2.31902263,1374.08020377,1374.07434171,0.00586206,18.00000000
31.00000000,Medium,1,1,NWPR,16.58801782,1,15.09001866,0.24326377,1,0.02184120,1,1,4500.25089272,4501.11931477,-0.86842205,1413.19527083,1413.21442668,-0.01915585,18.00000000
32.00000000,Medium,1,1,NWPR,16.61470165,1,17.72214842,0.12807855,1,-0.20044769,1,1,4500.12894288,4501.13726095,-1.00831807,1452.33773645,1452.35467365,-0.01693720,18.00000000
33.00000000,Medium,1,1,NWPR,16.62106686,1,18.07311808,0.23749390,1,0.27172961,1,1,4500.63461498,4501.15384417,-0.51922919,1491.46652223,1491.49507075,-0.02854852,18.00000000
34.00000000,Medium,1,1,NWPR,16.81150734,1,17.66271585,0.21965736,1,0.00000000,1,1,4500.98164923,4501.16907380,-0.18742457,1530.61367952,1530.63560615,-0.02192662,18.00000000
35.00000000,Medium,1,1,NWPR,16.94102691,1,15.06694153,0.24475179,1,0.23217315,1,1,4501.33040334,4501.18296291,0.14744042,1569.75074021,1569.77626814,-0.02552793,18.00000000
36.00000000,Medium,1,1,NWPR,17.07302758,1,18.89738703,0.26778793,1,0.17396895,1,1,4501.37104533,4501.19552826,0.17551707,1608.88731312,1608.91704514,-0.02973202,18.00000000
37.00000000,Medium,1,1,NWPR,17.22843053,1,17.97716001,0.17058374,1,0.52391091,1,1,4501.31881552,4501.20679021,0.11202531,1648.02416093,1648.05792573,-0.03376479,18.00000000
38.00000000,Medium,1,1,NWPR,17.22977272,1,13.23600720,0.08113349,1,0.11669170,1,1,4500.46530461,4501.21677273,-0.75146812,1687.16847156,1687.19889866,-0.03042709,18.00000000
39.00000000,Medium,1,1,NWPR,17.24126709,1,18.36597201,0.13498756,1,-0.37902757,1,1,4499.54480266,4501.22550326,-1.68070060,1726.31072622,1726.33995293,-0.02922670,18.00000000
