time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,PullIn,1,0,M2M4,0.00000000,0,0.00000000,0.18191756,0,0.00000000,0,1,4468.75000000,4500.00092360,-31.25092360,201.07717391,200.78260878,0.29456514,28.00000000
1.00000000,PullIn,1,1,M2M4,26.89845654,0,0.00000000,0.04563188,0,0.00000000,1,1,4506.48703847,4500.04616798,6.44087049,239.08264316,239.13063554,-0.04799238,28.00000000
2.00000000,Lock,1,0,NWPR,0.00000000,1,27.33986654,0.93924580,1,-0.27706774,0,0,4500.14707589,4500.09226423,0.05481166,278.08965266,278.26167228,-0.17201962,28.00000000
3.00000000,Lock,1,0,NWPR,0.00000000,1,29.46150592,0.76904858,1,-0.04711410,1,0,4499.23890430,4500.13821723,-0.89931293,317.44790815,317.39310928,0.05479886,28.00000000
4.00000000,Lock,1,0,NWPR,0.00000000,1,26.70599615,0.72474582,1,1.33215618,1,1,4500.99754974,4500.18395585,0.81359389,356.57775008,356.52494500,0.05280508,28.00000000
5.00000000,Strong,1,0,NWPR,0.00000000,1,25.84496512,0.51978978,1,0.16693551,1,1,4500.59184558,4500.22940952,0.36243606,395.66170764,395.65717726,0.00453039,28.00000000
6.00000000,Strong,1,1,NWPR,27.24297280,1,25.60820151,0.66431670,1,0.33303070,1,1,4500.48116190,4500.27450850,0.20665340,434.77483636,434.78980327,-0.01496690,28.00000000
7.00000000,Strong,1,1,NWPR,27.15350238,1,27.43854771,0.73398322,1,0.41383193,1,1,4500.51764456,4500.31918397,0.19846059,473.88852538,473.92281965,-0.03429428,28.00000000
8.00000000,Strong,1,1,NWPR,27.10356505,1,26.44054782,0.82465101,1,0.42942010,1,1,4500.69138795,4500.36336832,0.32801963,513.01320669,513.05622244,-0.04301575,28.00000000
9.00000000,Strong,1,1,NWPR,27.00922868,1,28.91205465,0.85210803,1,0.19288599,1,1,4500.63318457,4500.40699525,0.22618932,552.14814973,552.19000705,-0.04185732,28.00000000
10.00000000,Strong,1,1,NWPR,26.96587527,1,28.26636709,0.85701826,1,-0.25289798,1,1,4500.26749482,4500.45000000,-0.18250518,591.28098997,591.32416838,-0.04317840,28.00000000
11.00000000,LongFast,1,1,NWPR,27.09069482,1,25.57616310,0.84645715,1,0.11779124,1,1,4500.30802681,4500.49231952,-0.18429271,630.44040862,630.45870072,-0.01829210,28.00000000
12.00000000,LongFast,1,1,NWPR,27.09069482,1,25.57616310,0.79378679,1,0.00182141,1,1,4500.65017819,4500.53389263,0.11628557,669.58188967,669.59359786,-0.01170819,28.00000000
