time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Strong,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.36108579,0,1,4500.26614882,4500.00092360,0.26522522,200.83259130,200.78260878,0.04998253,26.00000000
1.00000000,Strong,1,0,NWPR,0.00000000,1,27.24500339,0.81149801,1,-0.35354865,1,1,4499.61641809,4500.04616798,-0.42974989,239.16589122,239.13063554,0.03525569,26.00000000
2.00000000,Strong,1,0,NWPR,0.00000000,1,27.34716626,0.77724566,1,-0.05226563,1,1,4500.07230383,4500.09226423,-0.01996040,278.29421869,278.26167228,0.03254641,26.00000000
3.00000000,Strong,1,0,NWPR,0.00000000,1,28.04670777,0.75016277,1,-0.65778058,1,1,4499.50298458,4500.13821723,-0.63523265,317.42508173,317.39310928,0.03197245,26.00000000
4.00000000,Strong,1,1,NWPR,26.00825087,1,25.34938372,0.72323528,1,0.64014519,1,1,4500.83782767,4500.18395585,0.65387183,356.55735831,356.52494500,0.03241331,26.00000000
5.00000000,Strong,1,1,NWPR,25.91339412,1,23.55812214,0.68554150,1,0.55556722,1,1,4500.81114186,4500.22940952,0.58173234,395.66808685,395.65717726,0.01090960,26.00000000
6.00000000,Strong,1,1,NWPR,25.72376918,1,23.23841429,0.67150745,1,0.17807773,1,1,4500.46312005,4500.27450850,0.18861155,434.78759816,434.78980327,-0.00220510,26.00000000
7.00000000,Strong,1,1,NWPR,25.43481472,1,25.32637240,0.67014476,1,0.46174259,1,1,4500.77385201,4500.31918397,0.45466803,473.90787824,473.92281965,-0.01494142,26.00000000
8.00000000,Strong,1,1,NWPR,25.22102837,1,24.50921219,0.76617122,1,0.46621814,1,1,4500.83123558,4500.36336832,0.46786726,513.03261048,513.05622244,-0.02361196,26.00000000
9.00000000,Strong,1,1,NWPR,25.01550081,1,27.37299400,0.77680017,1,0.37521019,1,1,4500.79887756,4500.40699525,0.39188231,552.17170890,552.19000705,-0.01829815,26.00000000
10.00000000,Strong,1,1,NWPR,24.98242760,1,26.49109719,0.81394325,1,-0.21107124,1,1,4500.22927534,4500.45000000,-0.22072466,591.30631867,591.32416838,-0.01784971,26.00000000
11.00000000,Strong,1,1,NWPR,25.15847162,1,26.70657001,0.79440145,1,-0.16520722,1,1,4500.32474395,4500.49231952,-0.16757556,630.43395568,630.45870072,-0.02474504,26.00000000
12.00000000,Strong,1,1,NWPR,25.21651031,1,25.35800385,0.73295527,1,-0.01537658,1,1,4500.53285649,4500.53389263,-0.00103614,669.56503855,669.59359786,-0.02855930,26.00000000
13.00000000,Strong,1,1,NWPR,25.26739919,1,26.24965535,0.74030535,1,0.65433843,1,1,4501.25862519,4500.57466020,0.68396500,708.70529406,708.72885304,-0.02355897,26.00000000
14.00000000,Strong,1,1,NWPR,25.27751278,1,24.95783078,0.73359794,1,0.14454097,1,1,4500.76038519,4500.61456530,0.14581989,747.85425796,747.86445901,-0.01020105,26.00000000
15.00000000,Strong,1,1,NWPR,25.21360062,1,24.59226888,0.73391120,1,-0.19954684,1,1,4500.46526666,4500.65355339,-0.18828673,786.99552947,787.00040804,-0.00487857,26.00000000
16.00000000,Strong,1,1,NWPR,25.18516174,1,25.18750310,0.78960862,1,-0.05634061,1,1,4500.64495693,4500.69157241,-0.04661548,826.12338937,826.13669191,-0.01330254,26.00000000
17.00000000,Strong,1,1,NWPR,25.16541926,1,25.85484034,0.75691519,1,0.38518795,1,1,4501.13517459,4500.72857298,0.40660161,865.25866877,865.27330200,-0.01463323,26.00000000
18.00000000,Strong,1,1,NWPR,25.14763700,1,25.21943807,0.72308652,1,-0.05085169,1,1,4500.69665902,4500.76450850,-0.06784947,904.39351491,904.41022923,-0.01671432,26.00000000
19.00000000,Strong,1,1,NWPR,25.05876045,1,26.03980366,0.78491703,1,-0.48439108,1,1,4500.30474656,4500.79933528,-0.49458872,943.53964606,943.54746415,-0.00781809,26.00000000
20.00000000,Strong,1,1,NWPR,25.03266010,1,24.92313375,0.75496422,1,0.06363999,1,1,4500.89235209,4500.83301270,0.05933939,982.68648921,982.68499694,0.00149226,26.00000000
21.00000000,Strong,1,1,NWPR,25.07468234,1,24.49949811,0.76655093,1,0.24175920,1,1,4501.11197236,4500.86550326,0.24646910,1021.82406162,1021.82281745,0.00124417,26.00000000
22.00000000,Strong,1,1,NWPR,25.15293385,1,26.25465099,0.81913747,1,-0.56616516,1,1,4500.32965017,4500.89677273,-0.56712256,1060.96312542,1060.96091520,0.00221022,26.00000000
23.00000000,Strong,1,1,NWPR,25.38313301,1,27.28394156,0.79355677,1,0.46789502,1,1,4501.43784656,4500.92679021,0.51105635,1100.09910389,1100.09927943,-0.00017555,26.00000000
24.00000000,Strong,1,1,NWPR,25.58692898,1,25.80132189,0.77193382,1,1.06226501,1,1,4502.07907945,4500.95552826,1.12355119,1139.24246961,1139.23789914,0.00457046,26.00000000
25.00000000,Strong,1,1,NWPR,25.79630704,1,27.90460931,0.77634769,1,0.19133633,1,1,4501.17803420,4500.98296291,0.19507129,1178.38840527,1178.37676310,0.01164217,26.00000000
26.00000000,Strong,1,1,NWPR,26.01423698,1,26.58585437,0.70740910,1,-0.00044001,1,1,4501.01024607,4501.00907380,0.00117227,1217.53002418,1217.51585988,0.01416430,26.00000000
27.00000000,Strong,1,1,NWPR,26.00544434,1,25.22751791,0.67151661,1,0.35591772,1,1,4501.40868287,4501.03384417,0.37483870,1256.66581289,1256.65517789,0.01063500,26.00000000
28.00000000,Strong,1,1,NWPR,25.87960896,1,25.58148788,0.68556312,1,0.60916008,1,1,4501.69820492,4501.05726095,0.64094397,1295.80063278,1295.79470542,0.00592736,26.00000000
29.00000000,Strong,1,1,NWPR,25.68995412,1,25.90134012,0.76924529,1,0.38871358,1,1,4501.49859955,4501.07931477,0.41928478,1334.93142447,1334.93443065,-0.00300618,26.00000000
30.00000000,Strong,1,1,NWPR,25.47841346,1,23.52123763,0.72266867,1,-0.32342494,1,1,4500.52562349,4501.10000000,-0.57437651,1374.06855987,1374.07434171,-0.00578184,26.00000000
31.00000000,Strong,1,1,NWPR,25.31409679,1,26.11675374,0.76239292,1,-0.33812268,1,1,4500.68511562,4501.11931477,-0.43419915,1413.20030543,1413.21442668,-0.01412125,26.00000000
32.00000000,Strong,1,1,NWPR,25.23129346,1,24.73434117,0.78854758,1,0.26087153,1,1,4501.46079379,4501.13726095,0.32353284,1452.33989465,1452.35467365,-0.01477900,26.00000000
33.00000000,Strong,1,1,NWPR,25.26812882,1,25.92404322,0.75797041,1,0.29273388,1,1,4501.58615201,4501.15384417,0.43230784,1491.48281467,1491.49507075,-0.01225607,26.00000000
34.00000000,Strong,1,1,NWPR,25.37324422,1,25.48698150,0.77375652,1,-0.17304432,1,1,4501.04939474,4501.16907380,-0.11967906,1530.62812685,1530.63560615,-0.00747930,26.00000000
35.00000000,Strong,1,1,NWPR,25.52285335,1,25.02906463,0.78218163,1,-0.32941637,1,1,4500.81891005,4501.18296291,-0.36405286,1569.76381431,1569.77626814,-0.01245383,26.00000000
36.00000000,Strong,1,1,NWPR,25.65543700,1,25.83292889,0.74449450,1,-0.00048634,1,1,4501.16082234,4501.19552826,-0.03470592,1608.89448692,1608.91704514,-0.02255822,26.00000000
37.00000000,Strong,1,1,NWPR,25.77245541,1,25.15879734,0.77301369,1,0.02522688,1,1,4501.21067711,4501.20679021,0.00388690,1648.04432257,1648.05792573,-0.01360316,26.00000000
38.00000000,Strong,1,1,NWPR,25.64245936,1,24.14375769,0.76039859,1,-0.62922628,1,1,4500.55975411,4501.21677273,-0.65701862,1687.19746327,1687.19889866,-0.00143538,26.00000000
39.00000000,Strong,1,1,NWPR,25.54784155,1,26.91609975,0.72540429,1,0.37227385,1,1,4501.63608482,4501.22550326,0.41058156,1726.33579090,1726.33995293,-0.00416203,26.00000000
40.00000000,Strong,1,1,NWPR,25.47759521,1,25.28200160,0.76463000,1,-0.15271444,1,1,4501.04224463,4501.23301270,-0.19076808,1765.47080410,1765.48107778,-0.01027369,26.00000000
41.00000000,Strong,1,1,NWPR,25.37719738,1,26.28243204,0.75278672,1,0.29231854,1,1,4501.54915081,4501.23933528,0.30981552,1804.61620345,1804.62226275,-0.00605930,26.00000000
42.00000000,Strong,1,1,NWPR,25.37744982,1,23.11896079,0.77204280,1,0.36067767,1,1,4501.62455009,4501.24450850,0.38004159,1843.74858254,1843.76349767,-0.01491514,26.00000000
43.00000000,Strong,1,1,NWPR,25.32867395,1,24.06885791,0.77411438,1,0.17816491,1,1,4501.39934400,4501.24857298,0.15077102,1882.88794138,1882.90477273,-0.01683135,26.00000000
