time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,Weak,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,0,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.83259130,200.78260878,0.04998253,16.00000000
1.00000000,Weak,1,0,NWPR,0.00000000,1,16.77465248,0.40520983,0,0.00000000,1,1,4499.92937297,4500.04616798,-0.11679501,239.17831706,239.13063554,0.04768152,16.00000000
2.00000000,Weak,1,0,NWPR,0.00000000,1,14.51637938,0.36198866,0,0.00000000,1,1,4500.51163030,4500.09226423,0.41936607,278.31227568,278.26167228,0.05060340,16.00000000
3.00000000,Weak,1,0,NWPR,0.00000000,1,16.43432340,0.07771371,0,-0.00000000,1,1,4500.43215884,4500.13821723,0.29394161,317.44319139,317.39310928,0.05008211,16.00000000
4.00000000,Weak,1,0,NWPR,0.00000000,1,17.90791994,0.12155078,0,-0.00000000,1,1,4500.44770689,4500.18395585,0.26375105,356.58782683,356.52494500,0.06288183,16.00000000
5.00000000,Weak,1,0,NWPR,0.00000000,1,12.05891533,0.05195489,0,0.00000000,1,1,4500.39707036,4500.22940952,0.16766083,395.71373919,395.65717726,0.05656194,16.00000000
6.00000000,Weak,1,0,NWPR,0.00000000,1,10.94324514,0.10331360,0,0.00000000,1,1,4500.43680641,4500.27450850,0.16229791,434.83512303,434.78980327,0.04531976,16.00000000
7.00000000,Weak,1,0,NWPR,0.00000000,1,14.43770388,0.08670023,0,0.00000000,1,1,4500.09749105,4500.31918397,-0.22169292,473.96238434,473.92281965,0.03956469,16.00000000
8.00000000,Weak,1,0,NWPR,0.00000000,1,13.65425759,0.08444722,0,-0.00000000,1,1,4500.15664367,4500.36336832,-0.20672465,513.08087721,513.05622244,0.02465478,16.00000000
9.00000000,Weak,1,0,NWPR,0.00000000,1,14.55324288,0.14963604,0,-0.00000000,1,1,4500.15038529,4500.40699525,-0.25660996,552.21356720,552.19000705,0.02356015,16.00000000
10.00000000,Weak,1,0,NWPR,0.00000000,1,17.82198867,0.18830534,0,0.00000000,1,1,4500.25171388,4500.45000000,-0.19828612,591.35623082,591.32416838,0.03206245,16.00000000
11.00000000,Weak,1,1,NWPR,15.53134110,1,14.04291396,0.12354118,0,0.00000000,1,1,4500.25275119,4500.49231952,-0.23956833,630.48429473,630.45870072,0.02559401,16.00000000
12.00000000,Weak,1,1,NWPR,15.40458040,1,16.50601565,0.08524614,0,0.00000000,1,1,4500.16132976,4500.53389263,-0.37256287,669.60709881,669.59359786,0.01350095,16.00000000
13.00000000,Weak,1,1,NWPR,15.29228637,1,13.44236036,0.09266630,0,0.00000000,1,1,4499.99528812,4500.57466020,-0.57937207,708.72336977,708.72885304,-0.00548327,16.00000000
14.00000000,Weak,1,1,NWPR,15.08948814,1,11.17730216,0.11017641,0,0.00000000,1,1,4500.36688248,4500.61456530,-0.24768282,747.85054467,747.86445901,-0.01391434,16.00000000
15.00000000,Weak,1,1,NWPR,14.93158888,1,17.03687973,0.07269558,0,-0.00000000,1,1,4500.54246444,4500.65355339,-0.11108895,786.99428950,787.00040804,-0.00611854,16.00000000
16.00000000,Weak,1,1,NWPR,15.05061271,1,14.27582103,0.29754405,0,0.00000000,1,1,4500.58981996,4500.69157241,-0.10175245,826.12095797,826.13669191,-0.01573394,16.00000000
17.00000000,Weak,1,1,NWPR,15.18563536,1,12.16131994,0.04487471,0,0.00000000,1,1,4500.62164785,4500.72857298,-0.10692513,865.23994040,865.27330200,-0.03336159,16.00000000
18.00000000,Weak,1,1,NWPR,15.18020359,1,15.08649954,0.17095275,0,0.00000000,1,1,4500.72801271,4500.76450850,-0.03649579,904.36549713,904.41022923,-0.04473209,16.00000000
19.00000000,Weak,1,1,NWPR,15.12823301,1,14.71839074,0.16391398,0,0.00000000,1,1,4501.03416254,4500.79933528,0.23482726,943.49962782,943.54746415,-0.04783633,16.00000000
20.00000000,Weak,1,1,NWPR,15.18338903,1,14.04931484,0.03439836,0,-0.00000000,1,1,4501.06460243,4500.83301270,0.23158972,982.64448532,982.68499694,-0.04051162,16.00000000
21.00000000,Weak,1,1,NWPR,14.94442874,1,15.87712378,0.14552489,0,-0.00000000,1,1,4500.71714259,4500.86550326,-0.14836067,1021.78118144,1021.82281745,-0.04163601,16.00000000
22.00000000,Weak,1,1,NWPR,14.85073939,1,16.24030757,0.25467420,0,-0.00000000,1,1,4500.79784258,4500.89677273,-0.09893015,1060.92085871,1060.96091520,-0.04005649,16.00000000
23.00000000,Weak,1,1,NWPR,14.95963650,1,17.35088984,0.28782013,0,0.00000000,1,1,4500.90857780,4500.92679021,-0.01821241,1100.05047309,1100.09927943,-0.04880634,16.00000000
24.00000000,Weak,1,1,NWPR,15.20120735,1,16.73312977,0.27609998,0,0.00000000,1,1,4501.03809809,4500.95552826,0.08256983,1139.18690975,1139.23789914,-0.05098940,16.00000000
25.00000000,Weak,1,1,NWPR,15.46241268,1,16.40938806,0.32104777,0,-0.00000000,1,1,4501.05527372,4500.98296291,0.07231081,1178.33075418,1178.37676310,-0.04600893,16.00000000
26.00000000,Weak,1,1,NWPR,15.57269448,1,16.26411145,0.20529897,0,0.00000000,1,1,4501.03414571,4501.00907380,0.02507191,1217.48113565,1217.51585988,-0.03472423,16.00000000
27.00000000,Weak,1,1,NWPR,15.69640323,1,15.32818564,0.15962883,0,0.00000000,1,1,4500.67479463,4501.03384417,-0.35904954,1256.62748637,1256.65517789,-0.02769153,16.00000000
28.00000000,Weak,1,1,NWPR,15.81941436,1,14.02495429,0.05897658,0,-0.00000000,1,1,4500.44432533,4501.05726095,-0.61293562,1295.75625335,1295.79470542,-0.03845207,16.00000000
29.00000000,Weak,1,1,NWPR,15.88233662,1,14.73889047,0.20843559,0,0.00000000,1,1,4500.51257388,4501.07931477,-0.56674088,1334.88623488,1334.93443065,-0.04819577,16.00000000
30.00000000,Weak,1,1,NWPR,15.85163776,1,14.65011703,0.04253652,0,0.00000000,1,1,4500.86416253,4501.10000000,-0.23583747,1374.02101492,1374.07434171,-0.05332679,16.00000000
31.00000000,Weak,1,1,NWPR,15.84202126,1,14.11479769,0.22360188,0,-0.00000000,1,1,4501.20988638,4501.11931477,0.09057161,1413.15915824,1413.21442668,-0.05526844,16.00000000
32.00000000,Weak,1,1,NWPR,15.81423735,1,15.20608330,0.30003942,0,0.00000000,1,1,4501.18798160,4501.13726095,0.05072065,1452.30090992,1452.35467365,-0.05376373,16.00000000
33.00000000,Weak,1,1,NWPR,15.66991733,1,16.90157018,0.23769671,0,0.00000000,1,1,4501.17138832,4501.15384417,0.01754415,1491.44124876,1491.49507075,-0.05382198,16.00000000
34.00000000,Weak,1,1,NWPR,15.64159020,1,15.09904659,0.31762199,0,0.00000000,1,1,4501.17601360,4501.16907380,0.00693980,1530.57994372,1530.63560615,-0.05566243,16.00000000
35.00000000,Weak,1,1,NWPR,15.58417099,1,12.25744293,0.36365835,0,0.00000000,1,1,4501.10665402,4501.18296291,-0.07630889,1569.71564321,1569.77626814,-0.06062493,16.00000000
36.00000000,Weak,1,1,NWPR,15.55291149,1,16.59757405,0.31933946,0,-0.00000000,1,1,4501.16406085,4501.19552826,-0.03146741,1608.85073721,1608.91704514,-0.06630794,16.00000000
37.00000000,Weak,1,1,NWPR,15.56045983,1,16.09041615,0.28544555,0,0.00000000,1,1,4501.29084764,4501.20679021,0.08405743,1647.99887866,1648.05792573,-0.05904706,16.00000000
38.00000000,Weak,1,1,NWPR,15.48336483,1,9.18838255,0.20713805,0,-0.00000000,1,1,4501.08715068,4501.21677273,-0.12962205,1687.15292755,1687.19889866,-0.04597110,16.00000000
39.00000000,Weak,1,1,NWPR,15.48664472,1,17.47942668,0.12689802,0,-0.00000000,1,1,4500.93937893,4501.22550326,-0.28612433,1726.30360869,1726.33995293,-0.03634423,16.00000000
40.00000000,Weak,1,1,NWPR,15.66002350,1,14.63927011,0.12944836,0,-0.00000000,1,1,4500.92589390,4501.23301270,-0.30711881,1765.45415851,1765.48107778,-0.02691927,16.00000000
41.00000000,Weak,1,1,NWPR,15.80240981,1,14.47738350,0.12325577,0,0.00000000,1,1,4501.15580000,4501.23933528,-0.08353529,1804.58206060,1804.62226275,-0.04020215,16.00000000
42.00000000,Weak,1,1,NWPR,15.87335860,1,15.17154093,0.28187249,0,0.00000000,1,1,4501.44678298,4501.24450850,0.20227449,1843.73077275,1843.76349767,-0.03272492,16.00000000
43.00000000,Weak,1,1,NWPR,15.88048935,1,15.61789780,0.11202719,0,-0.00000000,1,1,4501.25603216,4501.24857298,0.00745918,1882.86618515,1882.90477273,-0.03858758,16.00000000
44.00000000,Weak,1,1,NWPR,15.76427868,1,14.41273078,0.17953398,0,-0.00000000,1,1,4501.29142511,4501.25157241,0.03985270,1922.01711406,1922.04607846,-0.02896441,16.00000000
45.00000000,Weak,1,1,NWPR,15.56003502,1,15.93987136,0.33157666,0,-0.00000000,1,1,4501.28045479,4501.25355339,0.02690140,1961.17209857,1961.18740582,-0.01530725,16.00000000
46.00000000,Weak,1,1,NWPR,15.48244145,1,15.37982787,0.32467869,0,-0.00000000,1,1,4501.17596811,4501.25456530,-0.07859719,2000.31008189,2000.32874615,-0.01866426,16.00000000
47.00000000,Weak,1,1,NWPR,15.39255059,1,15.54295562,0.24839868,0,-0.00000000,1,1,4501.37544781,4501.25466020,0.12078761,2039.44841742,2039.47009125,-0.02167383,16.00000000
48.00000000,Weak,1,1,NWPR,15.31167830,1,15.55111984,0.26151548,0,-0.00000000,1,1,4501.36326881,4501.25389263,0.10937619,2078.58478620,2078.61143339,-0.02664719,16.00000000
49.00000000,Weak,1,1,NWPR,15.40502851,1,18.02684579,0.24157885,0,-0.00000000,1,1,4501.44348980,4501.25231952,0.19117028,2117.73629032,2117.75276531,-0.01647499,16.00000000
50.00000000,Weak,1,1,NWPR,15.33930597,1,15.74997624,0.11855285,0,-0.00000000,1,1,4501.37880546,4501.25000000,0.12880546,2156.89813553,2156.89408026,0.00405527,16.00000000
51.00000000,Weak,1,1,NWPR,15.34340828,1,14.44405925,0.18273870,0,0.00000000,1,1,4501.58310417,4501.24699525,0.33610892,2196.05495199,2196.03537202,0.01957997,16.00000000
52.00000000,Weak,1,1,NWPR,15.33309806,1,13.05580098,0.11904347,0,-0.00000000,1,1,4501.30317289,4501.24336832,0.05980457,2235.19812640,2235.17663490,0.02149150,16.00000000
53.00000000,Weak,1,1,NWPR,15.36669251,1,15.77071331,0.03999242,0,-0.00000000,1,1,4501.24898055,4501.23918397,0.00979657,2274.34192669,2274.31786376,0.02406292,16.00000000
