signal,scenario,category,initial_state,duration_s,tracking_passed,cn0_passed,state_passed,passed,doppler_rms_hz,doppler_p95_hz,code_p95_chips,cn0_bias_db,cn0_rmse_db,fallback_to_pullin_count,transition_divergence_count
GPS L1CA,pullin_24,state_sensitivity,PullIn,300.0,True,True,True,True,0.318278,0.632072,0.023089,-0.659424,0.691808,0,0
GPS L1CA,lock_28,state_sensitivity,Lock,300.0,True,True,True,True,0.382234,0.721817,0.036637,-0.648115,0.663087,0,0
GPS L1CA,lock_30,state_sensitivity,Lock,300.0,True,True,True,True,0.295859,0.577814,0.029948,-0.616373,0.627126,0,0
GPS L1CA,strong_26,state_sensitivity,Strong,300.0,True,True,True,True,0.370346,0.688145,0.017556,-0.640832,0.663489,0,0
GPS L1CA,strong_30,state_sensitivity,Strong,300.0,True,True,True,True,0.220825,0.420788,0.010544,-0.590437,0.601402,0,0
GPS L1CA,longfast_24,state_sensitivity,LongFast,300.0,True,True,True,True,0.739085,1.631095,0.075274,-0.729747,0.758808,0,0
GPS L1CA,longfast_26,state_sensitivity,LongFast,300.0,True,True,True,True,0.352988,0.731625,0.063069,-0.694940,0.716610,0,0
GPS L1CA,longlock_20,state_sensitivity,LongLock,300.0,True,True,True,True,1.564546,3.044355,0.082233,-0.765174,0.833170,0,0
GPS L1CA,longlock_22,state_sensitivity,LongLock,300.0,True,True,True,True,0.811207,1.538110,0.064340,-0.716668,0.762340,0,0
GPS L1CA,medium_16,state_sensitivity,Medium,300.0,False,False,True,False,27.954306,83.417101,0.653052,-1.603845,3.313201,0,0
GPS L1CA,medium_18,state_sensitivity,Medium,300.0,True,True,True,True,1.720152,3.525269,0.051893,-0.753076,0.856506,0,0
GPS L1CA,weak_14,state_sensitivity,Weak,300.0,True,True,True,True,0.548753,1.011913,0.048021,-0.733920,0.910158,0,0
GPS L1CA,weak_16,state_sensitivity,Weak,300.0,True,True,True,True,0.436850,0.856326,0.035506,-0.691577,0.790635,0,0
GPS L1CA,deep_soft_14,state_sensitivity,Deep,300.0,True,True,True,True,0.391750,0.763702,0.030301,-0.715517,0.888366,0,0
GPS L1CA,deep_soft_12,state_sensitivity,Deep,300.0,False,True,True,False,9.999787,14.352817,0.185621,-1.860572,2.354808,0,0
GPS L1CA,deep_known_3,state_sensitivity,Deep,300.0,True,False,True,False,1.784582,3.200938,0.152198,-0.207449,3.588759,0,0
GPS L1CA,aided_known_24,state_sensitivity,Aided,300.0,True,True,True,True,0.065947,0.130023,0.021982,-0.655676,0.687176,0,0
GPS L1CA,auto_step_40_24_18_14_40,transitions,PullIn,540.0,True,True,True,True,0.195860,0.430604,0.050537,-0.769060,1.445398,0,0
GPS L1CA,auto_ramp_40_12_40,transitions,PullIn,600.0,True,True,True,True,0.153594,0.316492,0.064745,-1.029476,1.233025,0,0
GPS L1CA,auto_short_shadows,transitions,PullIn,540.0,True,False,True,False,0.599268,1.185706,0.025295,0.195175,4.269283,0,0
GPS L1CA,auto_ramp_40_12_40_unaided,transitions,PullIn,600.0,False,False,True,False,15.584523,25.224495,0.075363,-3.808911,5.213491,0,0
GPS L5,pullin_28,state_sensitivity,PullIn,300.0,True,True,True,True,0.161736,0.241435,0.021291,-0.512629,0.547881,0,0
GPS L5,lock_28,state_sensitivity,Lock,300.0,True,True,True,True,0.525022,0.976940,0.060652,-0.747029,0.770911,0,0
GPS L5,strong_26,state_sensitivity,Strong,300.0,True,True,True,True,0.502073,0.956547,0.031387,-0.688094,0.734787,0,0
GPS L5,longfast_24,state_sensitivity,LongFast,300.0,True,True,True,True,0.788230,1.603093,0.133196,-0.986718,1.045042,0,0
GPS L5,longlock_20,state_sensitivity,LongLock,300.0,True,True,True,True,1.184472,2.482842,0.121967,-1.209332,1.321047,0,0
GPS L5,medium_16,state_sensitivity,Medium,300.0,False,False,True,False,3.150384,6.724127,0.367567,-4.768549,5.543877,0,0
GPS L5,medium_18,state_sensitivity,Medium,300.0,True,True,True,True,1.566775,2.845817,0.171877,-2.778669,2.984920,0,0
GPS L5,weak_14,state_sensitivity,Weak,300.0,True,True,True,True,0.403533,0.738913,0.115896,-0.794672,1.124367,0,0
GPS L5,weak_16,state_sensitivity,Weak,300.0,True,True,True,True,0.303513,0.528017,0.086016,-0.670760,0.909931,0,0
GPS L5,deep_pilot_12,state_sensitivity,Deep,300.0,True,True,True,True,0.337391,0.624455,0.123718,-1.095784,1.408274,0,0
GPS L5,deep_pilot_10,state_sensitivity,Deep,300.0,False,False,True,False,0.629654,1.201722,0.315168,-3.800162,5.520905,0,0
GPS L5,aided_pilot_24,state_sensitivity,Aided,300.0,True,True,True,True,0.085639,0.156310,0.029687,-0.503005,0.566938,0,0
GPS L5,auto_step_40_28_18_14_40,transitions,PullIn,540.0,True,True,True,True,0.314154,0.786904,0.095476,-0.646138,1.477403,0,0
GPS L5,auto_ramp_40_12_40,transitions,PullIn,600.0,True,True,True,True,0.249179,0.469456,0.107820,-1.219702,1.423918,0,0
GPS L5,auto_short_shadows,transitions,PullIn,540.0,True,False,True,False,0.391786,1.060129,0.088135,-0.421725,3.734325,0,0
